iter	RMSE
0	1.026607758
1	1.01827592
2	1.009728881
3	0.9991076324
4	0.9884826581
5	0.9776657585
6	0.9681235863
7	0.9623996634
8	0.9521597204
9	0.9466185987
10	0.9366466217
11	0.9325417708
12	0.9254765355
13	0.9196266531
14	0.9139296241
15	0.9111404156
16	0.9041781796
17	0.8974454536
18	0.8919303388
19	0.886066275
20	0.8818058577
21	0.875591044
22	0.8712181547
23	0.866687866
24	0.8620248253
25	0.8591735175
26	0.8535770051
27	0.8514184516
28	0.8470412464
29	0.8435171389
30	0.8388079173
31	0.8379598092
32	0.8361248635
33	0.8316627917
34	0.8293153132
35	0.8258298296
36	0.8232307205
37	0.8205091642
38	0.816002119
39	0.8135625458
40	0.8110133125
41	0.8074653494
42	0.8063845289
43	0.80355593
44	0.8015034784
45	0.7988684742
46	0.7953667387
47	0.7922409691
48	0.7894292754
49	0.7874388915
50	0.7858914562
51	0.7839475373
52	0.7830047778
53	0.7806832053
54	0.7778875167
55	0.7759601986
56	0.7736935052
57	0.7719341991
58	0.7692395615
59	0.7675368003
60	0.7657988873
61	0.7635656664
62	0.7627270782
63	0.7609472799
64	0.7591761869
65	0.7585714984
66	0.7552772606
67	0.7535098439
68	0.7522373713
69	0.7503046085
70	0.7489908493
71	0.7475210685
72	0.7466426433
73	0.7458900485
74	0.7415853085
75	0.7392613591
76	0.738442266
77	0.7374613872
78	0.7358364986
79	0.7345711631
80	0.7325395247
81	0.7309907466
82	0.7296707005
83	0.7254139274
84	0.724618297
85	0.7237773019
86	0.7229116247
87	0.7211127626
88	0.7181640348
89	0.7176895015
90	0.7160333799
91	0.714834583
92	0.7132887154
93	0.7125085295
94	0.7114010657
95	0.7108394951
96	0.7094789023
97	0.7077090056
98	0.7051522529
99	0.7036497608
100	0.7013381933
101	0.6989201382
102	0.6978161352
103	0.6953398607
104	0.6937781644
105	0.6929334189
106	0.6920169959
107	0.6913475745
108	0.6896135543
109	0.6875725685
110	0.6861168282
111	0.6843348665
112	0.6823365877
113	0.680458086
114	0.6790270765
115	0.6780747473
116	0.6767416879
117	0.6762203485
118	0.6753282586
119	0.674827754
120	0.6729274219
121	0.6718405213
122	0.6685587516
123	0.665851084
124	0.6645886801
125	0.663539213
126	0.6628399832
127	0.6605503429
128	0.6592364466
129	0.658041261
130	0.6573499231
131	0.6552596382
132	0.6546588778
133	0.6516372196
134	0.6493221621
135	0.6473644295
136	0.6455301372
137	0.6427792062
138	0.6409776926
139	0.6391906569
140	0.6380198773
141	0.6356834772
142	0.6344592146
143	0.6337412256
144	0.6318965505
145	0.6308620208
146	0.6293773367
147	0.6266175906
148	0.6259734493
149	0.6240410883
150	0.6214114135
151	0.6208096631
152	0.6197855575
153	0.6181350998
154	0.616876492
155	0.6142293573
156	0.6100970472
157	0.6090488178
158	0.6081945925
159	0.6073073829
160	0.6052253304
161	0.6029175016
162	0.6022617247
163	0.5995392102
164	0.5988968612
165	0.5955394646
166	0.5946002186
167	0.591557982
168	0.5904663541
169	0.5869260641
170	0.5849056779
171	0.5840433785
172	0.5812282208
173	0.5784630665
174	0.5778402192
175	0.5772525034
176	0.5764584889
177	0.5743151989
178	0.5735553698
179	0.5729478257
180	0.5722920117
181	0.571171015
182	0.5686245087
183	0.56773275
184	0.5665829899
185	0.5643716718
186	0.5633741751
187	0.5610893696
188	0.5605139136
189	0.559579745
190	0.5590228276
191	0.5584793608
192	0.5571102264
193	0.5565781228
194	0.5550182436
195	0.554339127
196	0.5534796389
197	0.5529784538
198	0.5517369302
199	0.5512275517
200	0.5504335697
201	0.5499356687
202	0.5491347197
203	0.5473354896
204	0.5458372797
205	0.5447295584
206	0.5440861221
207	0.5415375001
208	0.5407668761
209	0.538901151
210	0.5373420024
211	0.5366712904
212	0.5359226919
213	0.5354474388
214	0.5347302076
215	0.534291433
216	0.5330101084
217	0.5318190062
218	0.5313963317
219	0.5306668368
220	0.5286294173
221	0.528191469
222	0.5274860053
223	0.5255077535
224	0.5244318474
225	0.5226546874
226	0.5219619498
227	0.5215043027
228	0.5207912925
229	0.5201455359
230	0.5197014451
231	0.5190724731
232	0.5174421131
233	0.516773286
234	0.5159441886
235	0.5142648313
236	0.5138741804
237	0.5134602666
238	0.513009301
239	0.5124007229
240	0.5118730907
241	0.5109704741
242	0.5106029033
243	0.5091835011
244	0.5085904279
245	0.5070881773
246	0.5066319706
247	0.5059735657
248	0.5053384016
249	0.5049995394
250	0.5042338564
251	0.5035894661
252	0.5032050148
253	0.5020341598
254	0.5002247789
255	0.4987749339
256	0.4969781971
257	0.495668493
258	0.4943074155
259	0.4937084284
260	0.4931864729
261	0.4908337731
262	0.4903320938
263	0.4897746452
264	0.4873290778
265	0.4866967526
266	0.486371785
267	0.486041553
268	0.4847479391
269	0.483503134
270	0.4819303414
271	0.4813682631
272	0.4807002731
273	0.4798463186
274	0.4794651211
275	0.4790946735
276	0.4776364792
277	0.4770187504
278	0.4747899885
279	0.4744075987
280	0.4740298716
281	0.4730363664
282	0.4724336667
283	0.4718498727
284	0.4714972225
285	0.470963228
286	0.4705757358
287	0.4699671975
288	0.469534428
289	0.4689546834
290	0.4686107736
291	0.4678021407
292	0.4674121257
293	0.4656470083
294	0.4650403997
295	0.4646673073
296	0.4640894498
297	0.4627682427
298	0.4624157818
299	0.4618965437
300	0.461476687
301	0.4605350515
302	0.4598966733
303	0.4577276206
304	0.4572413584
305	0.4556325699
306	0.4550675743
307	0.4544193474
308	0.454058784
309	0.4537658992
310	0.4521197977
311	0.4517867889
312	0.4514615913
313	0.4500816055
314	0.4488245818
315	0.4483533233
316	0.4480184059
317	0.4476727239
318	0.447231326
319	0.4458287933
320	0.4453739892
321	0.4445214988
322	0.4440576834
323	0.4427604594
324	0.4423713319
325	0.4418649782
326	0.4415338835
327	0.4412136893
328	0.4409016676
329	0.4404518493
330	0.4398274349
331	0.4395022171
332	0.4387611895
333	0.4383798562
334	0.4369498219
335	0.4364786878
336	0.4361398553
337	0.435161075
338	0.4347104904
339	0.4344222551
340	0.4339279667
341	0.4328730641
342	0.4325086916
343	0.4315974099
344	0.4312811517
345	0.4306672921
346	0.4294561215
347	0.4289977837
348	0.4286182301
349	0.427289718
350	0.4257870743
351	0.4249024405
352	0.4240914738
353	0.4234443855
354	0.4215243311
355	0.4212002854
356	0.4202874873
357	0.419071103
358	0.4187953735
359	0.418391614
360	0.4180176885
361	0.4172550731
362	0.4168755439
363	0.4163868522
364	0.4159053369
365	0.4155270285
366	0.415279613
367	0.4149481071
368	0.414534057
369	0.4125464915
370	0.4109761027
371	0.4106864085
372	0.4102064827
373	0.4098933571
374	0.4094454259
375	0.409130132
376	0.408823883
377	0.4082012585
378	0.4077889207
379	0.4073688985
380	0.4070767081
381	0.4057298037
382	0.4045571588
383	0.4041963299
384	0.4039319031
385	0.4026858425
386	0.4024260347
387	0.4021690366
388	0.4010508159
389	0.4006505135
390	0.3998229661
