iter	Passed	Remaining
0	1	5783
1	2	4374
2	3	3902
3	4	3543
4	5	3291
5	6	3127
6	7	3002
7	7	2907
8	8	2882
9	9	2807
10	10	2735
11	10	2675
12	11	2622
13	12	2572
14	12	2528
15	13	2491
16	13	2455
17	14	2423
18	15	2393
19	15	2376
20	16	2353
21	17	2332
22	17	2311
23	18	2296
24	19	2281
25	19	2267
26	20	2254
27	21	2241
28	21	2228
29	22	2217
30	23	2206
31	23	2194
32	24	2185
33	24	2176
34	25	2167
35	26	2160
36	26	2150
37	27	2142
38	28	2135
39	28	2128
40	29	2121
41	30	2114
42	30	2107
43	31	2101
44	31	2095
45	32	2091
46	33	2086
47	33	2080
48	34	2075
49	35	2071
50	35	2066
51	36	2061
52	37	2058
53	37	2054
54	38	2048
55	38	2044
56	39	2039
57	40	2035
58	40	2030
59	41	2026
60	41	2023
61	42	2021
62	43	2017
63	43	2015
64	44	2013
65	45	2011
66	45	2007
67	46	2006
68	47	2004
69	47	2002
70	48	1999
71	49	1998
72	49	1996
73	50	1993
74	51	1990
75	51	1988
76	52	1985
77	52	1982
78	53	1980
79	54	1978
80	54	1975
81	55	1973
82	56	1971
83	56	1969
84	57	1967
85	58	1965
86	58	1963
87	59	1955
88	59	1954
89	60	1952
90	61	1950
91	61	1948
92	62	1947
93	63	1948
94	63	1947
95	64	1945
96	64	1944
97	65	1942
98	66	1941
99	66	1939
100	67	1938
101	68	1937
102	68	1936
103	69	1936
104	70	1936
105	70	1935
106	71	1934
107	72	1933
108	72	1932
109	73	1931
110	74	1930
111	74	1930
112	75	1929
113	76	1928
114	76	1928
115	77	1927
116	78	1926
117	78	1925
118	79	1924
119	80	1924
120	80	1923
121	81	1921
122	82	1920
123	82	1920
124	83	1919
125	84	1918
126	84	1917
127	85	1916
128	86	1915
129	86	1914
130	87	1909
131	87	1908
132	88	1907
133	89	1906
134	89	1905
135	90	1904
136	91	1903
137	91	1901
138	92	1900
139	92	1899
140	93	1898
141	94	1897
142	94	1896
143	95	1895
144	96	1894
145	96	1892
146	97	1891
147	98	1890
148	98	1889
