Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitDescriptorsResults/ABL1_Linear-SVR,0.957805,0.760318,0.413628,3.816554e-09
RDKitDescriptorsResults/ABL1_RBF-SVR,0.575170,0.586199,0.647878,4.706391e-09
RDKitDescriptorsResults/ABL1_DecisionTree,0.777884,0.646118,0.523776,5.829788e-09
RDKitDescriptorsResults/ABL1_ExtraTrees,0.615631,0.654438,0.623108,3.042836e-07
RDKitDescriptorsResults/ABL1_RandomForest,0.627658,0.646498,0.615745,5.451008e-07
RDKitDescriptorsResults/ABL1_KNeighbors,0.804321,0.667324,0.507591,5.915875e-09
RDKitDescriptorsResults/ABL1_PLS,0.972503,0.774801,0.404629,9.134560e-08
RDKitDescriptorsResults/ABL1_PLS-SKLEARN,0.921589,0.735444,0.435799,4.502057e-07
RDKitDescriptorsResults/ABL1_XGBoost,0.489360,0.548443,0.700411,8.704135e-07
RDKitDescriptorsResults/ABL1_CatBoost,0.538001,0.584466,0.670633,2.390908e-06
RDKitDescriptorsResults/ABL1_DNN,0.874346,0.772814,0.464721,1.026864e-05
RDKitDescriptorsResults/ACK1_Linear-SVR,0.937325,0.777342,0.149954,6.830746e-09
RDKitDescriptorsResults/ACK1_RBF-SVR,0.729754,0.681431,0.338197,6.838201e-09
RDKitDescriptorsResults/ACK1_DecisionTree,1.358614,0.802178,-0.232107,4.616049e-09
RDKitDescriptorsResults/ACK1_ExtraTrees,0.640940,0.616529,0.418741,2.938528e-07
RDKitDescriptorsResults/ACK1_RandomForest,0.665261,0.610646,0.396685,3.893008e-07
RDKitDescriptorsResults/ACK1_KNeighbors,0.996150,0.766685,0.096607,3.082136e-09
RDKitDescriptorsResults/ACK1_PLS,0.993018,0.765135,0.099447,6.217014e-08
RDKitDescriptorsResults/ACK1_PLS-SKLEARN,0.968555,0.766878,0.121632,4.843019e-07
RDKitDescriptorsResults/ACK1_XGBoost,0.728912,0.659182,0.338961,1.696322e-06
RDKitDescriptorsResults/ACK1_CatBoost,0.651941,0.632394,0.408764,2.065092e-06
RDKitDescriptorsResults/ACK1_DNN,1.166904,0.819864,-0.058247,1.050801e-05
RDKitDescriptorsResults/ACVR1_Linear-SVR,0.716994,0.661705,0.388676,3.338682e-09
RDKitDescriptorsResults/ACVR1_RBF-SVR,0.686827,0.662344,0.414396,3.711101e-09
RDKitDescriptorsResults/ACVR1_DecisionTree,0.725863,0.714571,0.381114,4.364832e-09
RDKitDescriptorsResults/ACVR1_ExtraTrees,0.669943,0.670608,0.428793,2.589520e-07
RDKitDescriptorsResults/ACVR1_RandomForest,0.644442,0.661778,0.450536,4.069264e-07
RDKitDescriptorsResults/ACVR1_KNeighbors,0.717489,0.689076,0.388254,4.324769e-09
RDKitDescriptorsResults/ACVR1_PLS,0.764919,0.715526,0.347814,6.373296e-08
RDKitDescriptorsResults/ACVR1_PLS-SKLEARN,0.764919,0.715526,0.347814,2.297230e-07
RDKitDescriptorsResults/ACVR1_XGBoost,0.749976,0.670155,0.360555,7.143970e-07
RDKitDescriptorsResults/ACVR1_CatBoost,0.738897,0.682575,0.370001,2.264051e-06
RDKitDescriptorsResults/ACVR1_DNN,1.150829,0.811205,0.018779,8.573116e-06
RDKitDescriptorsResults/AKT1_Linear-SVR,0.354948,0.461019,0.251657,4.093081e-09
RDKitDescriptorsResults/AKT1_RBF-SVR,0.395648,0.436392,0.165848,4.209652e-09
RDKitDescriptorsResults/AKT1_DecisionTree,0.565193,0.569355,-0.191608,5.442574e-09
RDKitDescriptorsResults/AKT1_ExtraTrees,0.373838,0.475164,0.211829,2.567091e-07
RDKitDescriptorsResults/AKT1_RandomForest,0.389633,0.488069,0.178529,4.000275e-07
RDKitDescriptorsResults/AKT1_KNeighbors,0.497094,0.549665,-0.048033,5.923927e-09
RDKitDescriptorsResults/AKT1_PLS,0.410836,0.493669,0.133826,6.864674e-08
RDKitDescriptorsResults/AKT1_PLS-SKLEARN,0.450987,0.492318,0.049175,2.334971e-07
RDKitDescriptorsResults/AKT1_XGBoost,0.411452,0.490972,0.132528,7.058725e-07
RDKitDescriptorsResults/AKT1_CatBoost,0.426966,0.504350,0.099819,2.288302e-06
RDKitDescriptorsResults/AKT1_DNN,17.951198,1.472798,-36.846854,8.446215e-06
RDKitDescriptorsResults/AKT2_Linear-SVR,0.406436,0.508875,0.228265,4.464447e-09
RDKitDescriptorsResults/AKT2_RBF-SVR,0.403844,0.462573,0.233186,3.231232e-09
RDKitDescriptorsResults/AKT2_DecisionTree,0.841759,0.653015,-0.598321,3.977311e-09
RDKitDescriptorsResults/AKT2_ExtraTrees,0.392169,0.471394,0.255353,2.475898e-07
RDKitDescriptorsResults/AKT2_RandomForest,0.438287,0.507036,0.167786,3.851604e-07
RDKitDescriptorsResults/AKT2_KNeighbors,0.534793,0.578186,-0.015459,3.393676e-09
RDKitDescriptorsResults/AKT2_PLS,0.455884,0.551676,0.134373,5.492854e-08
RDKitDescriptorsResults/AKT2_PLS-SKLEARN,0.497825,0.548245,0.054736,2.381535e-07
RDKitDescriptorsResults/AKT2_XGBoost,0.436064,0.563443,0.172006,7.674807e-07
RDKitDescriptorsResults/AKT2_CatBoost,0.358204,0.470223,0.319847,2.219353e-06
RDKitDescriptorsResults/AKT2_DNN,0.511489,0.559642,0.028790,1.020636e-05
RDKitDescriptorsResults/AKT3_Linear-SVR,0.738004,0.683441,0.033788,3.459818e-09
RDKitDescriptorsResults/AKT3_RBF-SVR,0.675170,0.587850,0.116052,3.732483e-09
RDKitDescriptorsResults/AKT3_DecisionTree,1.338466,0.891055,-0.752350,4.889529e-09
RDKitDescriptorsResults/AKT3_ExtraTrees,0.593411,0.600404,0.223092,2.603598e-07
RDKitDescriptorsResults/AKT3_RandomForest,0.610453,0.615086,0.200781,3.872143e-07
RDKitDescriptorsResults/AKT3_KNeighbors,0.700265,0.655277,0.083197,5.112918e-09
RDKitDescriptorsResults/AKT3_PLS,0.727948,0.709254,0.046953,5.929163e-08
RDKitDescriptorsResults/AKT3_PLS-SKLEARN,0.764543,0.713527,-0.000957,2.147821e-07
RDKitDescriptorsResults/AKT3_XGBoost,0.704237,0.645363,0.077997,6.901260e-07
RDKitDescriptorsResults/AKT3_CatBoost,0.538103,0.517105,0.295504,2.211904e-06
RDKitDescriptorsResults/AKT3_DNN,3.385526,1.070733,-3.432408,8.293004e-06
RDKitDescriptorsResults/ALK_Linear-SVR,0.649525,0.647260,0.191427,4.686575e-09
RDKitDescriptorsResults/ALK_RBF-SVR,0.527844,0.618737,0.342904,4.108512e-09
RDKitDescriptorsResults/ALK_DecisionTree,0.740754,0.679197,0.077859,6.622946e-09
RDKitDescriptorsResults/ALK_ExtraTrees,0.497854,0.588048,0.380237,3.232884e-07
RDKitDescriptorsResults/ALK_RandomForest,0.480010,0.585463,0.402451,6.224466e-07
RDKitDescriptorsResults/ALK_KNeighbors,0.596960,0.648151,0.256864,5.090500e-09
RDKitDescriptorsResults/ALK_PLS,0.530106,0.608152,0.340088,1.004884e-07
RDKitDescriptorsResults/ALK_PLS-SKLEARN,0.530106,0.608152,0.340088,5.253357e-07
RDKitDescriptorsResults/ALK_XGBoost,0.560531,0.623578,0.302213,7.661409e-07
RDKitDescriptorsResults/ALK_CatBoost,0.476650,0.582452,0.406634,2.822385e-06
RDKitDescriptorsResults/ALK_DNN,15.690577,1.229932,-18.532691,9.449481e-06
RDKitDescriptorsResults/AXL_Linear-SVR,0.441458,0.538963,0.434299,4.648033e-09
RDKitDescriptorsResults/AXL_RBF-SVR,0.404383,0.519514,0.481809,4.490744e-09
RDKitDescriptorsResults/AXL_DecisionTree,0.537243,0.598968,0.311557,5.908907e-09
RDKitDescriptorsResults/AXL_ExtraTrees,0.350189,0.486813,0.551254,2.645530e-07
RDKitDescriptorsResults/AXL_RandomForest,0.394965,0.524361,0.493877,4.305764e-07
RDKitDescriptorsResults/AXL_KNeighbors,0.441552,0.546310,0.434179,5.900994e-09
RDKitDescriptorsResults/AXL_PLS,0.470445,0.581331,0.397155,7.354603e-08
RDKitDescriptorsResults/AXL_PLS-SKLEARN,0.470445,0.581331,0.397155,2.442080e-07
RDKitDescriptorsResults/AXL_XGBoost,0.414685,0.534630,0.468607,7.645642e-07
RDKitDescriptorsResults/AXL_CatBoost,0.373127,0.485258,0.521861,2.328052e-06
RDKitDescriptorsResults/AXL_DNN,0.565453,0.590182,0.275408,9.041927e-06
RDKitDescriptorsResults/BLK_Linear-SVR,0.466004,0.536231,0.204348,3.649209e-09
RDKitDescriptorsResults/BLK_RBF-SVR,0.375959,0.483426,0.358091,3.875442e-09
RDKitDescriptorsResults/BLK_DecisionTree,0.516377,0.589616,0.118342,5.672062e-09
RDKitDescriptorsResults/BLK_ExtraTrees,0.381080,0.496467,0.349346,2.888785e-07
RDKitDescriptorsResults/BLK_RandomForest,0.362766,0.492077,0.380616,4.781885e-07
RDKitDescriptorsResults/BLK_KNeighbors,0.478474,0.555341,0.183058,6.872324e-09
RDKitDescriptorsResults/BLK_PLS,0.408534,0.511105,0.302472,7.972415e-08
RDKitDescriptorsResults/BLK_PLS-SKLEARN,0.518217,0.584087,0.115200,5.223485e-07
RDKitDescriptorsResults/BLK_XGBoost,0.369275,0.491641,0.369503,8.664406e-07
RDKitDescriptorsResults/BLK_CatBoost,0.350398,0.470632,0.401734,2.558401e-06
RDKitDescriptorsResults/BLK_DNN,11.429059,1.154828,-18.513886,1.066794e-05
RDKitDescriptorsResults/BTK_Linear-SVR,0.614586,0.641988,0.458097,3.546277e-09
RDKitDescriptorsResults/BTK_RBF-SVR,0.870840,0.753393,0.232148,3.349852e-09
RDKitDescriptorsResults/BTK_DecisionTree,1.034436,0.684218,0.087900,5.014537e-09
RDKitDescriptorsResults/BTK_ExtraTrees,0.732299,0.721924,0.354306,2.631710e-07
RDKitDescriptorsResults/BTK_RandomForest,0.674325,0.686353,0.405423,3.934006e-07
RDKitDescriptorsResults/BTK_KNeighbors,0.849253,0.758675,0.251183,5.336398e-09
RDKitDescriptorsResults/BTK_PLS,0.650907,0.667720,0.426072,6.043868e-08
RDKitDescriptorsResults/BTK_PLS-SKLEARN,0.650907,0.667720,0.426072,2.731459e-07
RDKitDescriptorsResults/BTK_XGBoost,0.691879,0.665840,0.389945,6.480907e-07
RDKitDescriptorsResults/BTK_CatBoost,0.705916,0.696068,0.377568,2.291671e-06
RDKitDescriptorsResults/BTK_DNN,1.043388,0.811710,0.080007,8.782761e-06
RDKitDescriptorsResults/CAMK1D_Linear-SVR,0.718227,0.731250,-0.144563,3.283097e-09
RDKitDescriptorsResults/CAMK1D_RBF-SVR,0.330445,0.477985,0.473405,4.093663e-09
RDKitDescriptorsResults/CAMK1D_DecisionTree,1.001689,0.673553,-0.596286,3.445395e-09
RDKitDescriptorsResults/CAMK1D_ExtraTrees,0.189173,0.332316,0.698534,2.387928e-07
RDKitDescriptorsResults/CAMK1D_RandomForest,0.182238,0.333164,0.709587,3.460376e-07
RDKitDescriptorsResults/CAMK1D_KNeighbors,0.735780,0.659599,-0.172534,3.410915e-09
RDKitDescriptorsResults/CAMK1D_PLS,0.451086,0.585035,0.281152,4.797847e-08
RDKitDescriptorsResults/CAMK1D_PLS-SKLEARN,0.451086,0.585035,0.281152,2.352941e-07
RDKitDescriptorsResults/CAMK1D_XGBoost,0.306448,0.437738,0.511647,8.816355e-07
RDKitDescriptorsResults/CAMK1D_CatBoost,0.212120,0.375054,0.661966,2.044771e-06
RDKitDescriptorsResults/CAMK1D_DNN,0.587056,0.591171,0.064472,8.499498e-06
RDKitDescriptorsResults/CAMK1_Linear-SVR,0.544011,0.546980,-0.631322,4.095122e-09
RDKitDescriptorsResults/CAMK1_RBF-SVR,0.305190,0.393123,0.084828,3.871236e-09
RDKitDescriptorsResults/CAMK1_DecisionTree,0.537935,0.545862,-0.613103,3.206436e-09
RDKitDescriptorsResults/CAMK1_ExtraTrees,0.284305,0.379757,0.147455,2.252062e-07
RDKitDescriptorsResults/CAMK1_RandomForest,0.282354,0.394836,0.153308,3.178756e-07
RDKitDescriptorsResults/CAMK1_KNeighbors,0.371803,0.474970,-0.114925,3.194884e-09
RDKitDescriptorsResults/CAMK1_PLS,0.850639,0.715106,-1.550806,3.874822e-08
RDKitDescriptorsResults/CAMK1_PLS-SKLEARN,0.805666,0.691012,-1.415946,2.254411e-07
RDKitDescriptorsResults/CAMK1_XGBoost,0.315540,0.429124,0.053791,5.799208e-07
RDKitDescriptorsResults/CAMK1_CatBoost,0.226928,0.362964,0.319511,1.894698e-06
RDKitDescriptorsResults/CAMK1_DNN,0.593103,0.625644,-0.778534,7.009012e-06
RDKitDescriptorsResults/CAMK2A_Linear-SVR,0.681499,0.728201,0.047203,3.758626e-09
RDKitDescriptorsResults/CAMK2A_RBF-SVR,0.344642,0.475647,0.518159,3.479952e-09
RDKitDescriptorsResults/CAMK2A_DecisionTree,0.968302,0.707846,-0.353773,3.275327e-09
RDKitDescriptorsResults/CAMK2A_ExtraTrees,0.351911,0.477480,0.507997,2.329103e-07
RDKitDescriptorsResults/CAMK2A_RandomForest,0.346230,0.474582,0.515939,3.459967e-07
RDKitDescriptorsResults/CAMK2A_KNeighbors,0.445127,0.540709,0.377672,2.901519e-09
RDKitDescriptorsResults/CAMK2A_PLS,0.451652,0.581520,0.368550,4.569908e-08
RDKitDescriptorsResults/CAMK2A_PLS-SKLEARN,0.451652,0.581520,0.368550,2.307420e-07
RDKitDescriptorsResults/CAMK2A_XGBoost,0.438642,0.545209,0.386739,6.368437e-07
RDKitDescriptorsResults/CAMK2A_CatBoost,0.361450,0.464197,0.494661,2.058173e-06
RDKitDescriptorsResults/CAMK2A_DNN,0.636414,0.636644,0.110235,8.900999e-06
RDKitDescriptorsResults/CAMK2B_Linear-SVR,0.250840,0.383480,-0.599187,5.203976e-09
RDKitDescriptorsResults/CAMK2B_RBF-SVR,0.160360,0.308197,-0.022349,4.068268e-09
RDKitDescriptorsResults/CAMK2B_DecisionTree,0.255992,0.378984,-0.632035,4.520959e-09
RDKitDescriptorsResults/CAMK2B_ExtraTrees,0.179506,0.333201,-0.144409,2.933839e-07
RDKitDescriptorsResults/CAMK2B_RandomForest,0.200534,0.349750,-0.278469,5.005440e-07
RDKitDescriptorsResults/CAMK2B_KNeighbors,0.219610,0.383852,-0.400085,2.040233e-08
RDKitDescriptorsResults/CAMK2B_PLS,0.316482,0.456176,-1.017679,8.230098e-08
RDKitDescriptorsResults/CAMK2B_PLS-SKLEARN,0.296402,0.443362,-0.889662,4.929389e-07
RDKitDescriptorsResults/CAMK2B_XGBoost,0.235335,0.378939,-0.500340,8.027317e-07
