Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/ABL1_Linear-SVR,0.771931,0.677566,0.527420,1.030979e-09
RDKitECFPMorganFP/ABL1_RBF-SVR,0.885207,0.755211,0.458072,1.144057e-09
RDKitECFPMorganFP/ABL1_DecisionTree,0.919922,0.699455,0.436819,6.480522e-10
RDKitECFPMorganFP/ABL1_ExtraTrees,1.008563,0.764425,0.382553,9.601725e-08
RDKitECFPMorganFP/ABL1_RandomForest,0.852750,0.749194,0.477943,8.279567e-08
RDKitECFPMorganFP/ABL1_KNeighbors,1.296570,0.909421,0.206234,6.783668e-10
RDKitECFPMorganFP/ABL1_PLS,0.794384,0.686518,0.513674,2.940185e-08
RDKitECFPMorganFP/ABL1_PLS-SKLEARN,0.800083,0.695905,0.510185,4.545300e-09
RDKitECFPMorganFP/ABL1_XGBoost,0.933302,0.729544,0.428628,5.158594e-07
RDKitECFPMorganFP/ABL1_CatBoost,0.823439,0.683344,0.495887,6.351568e-07
RDKitECFPMorganFP/ABL1_DNN,1.360997,0.853668,0.166792,2.637563e-06
RDKitECFPMorganFP/ACK1_Linear-SVR,0.841849,0.697037,0.236540,4.939911e-10
RDKitECFPMorganFP/ACK1_RBF-SVR,0.848266,0.719063,0.230721,6.133662e-10
RDKitECFPMorganFP/ACK1_DecisionTree,1.036474,0.818283,0.060038,5.614976e-10
RDKitECFPMorganFP/ACK1_ExtraTrees,0.885523,0.728712,0.196932,6.437613e-08
RDKitECFPMorganFP/ACK1_RandomForest,0.977930,0.778589,0.113130,6.329109e-08
RDKitECFPMorganFP/ACK1_KNeighbors,2.475857,1.286433,-1.245317,4.634726e-10
RDKitECFPMorganFP/ACK1_PLS,0.842976,0.696420,0.235518,1.278781e-08
RDKitECFPMorganFP/ACK1_PLS-SKLEARN,0.851230,0.702178,0.228032,3.117276e-09
RDKitECFPMorganFP/ACK1_XGBoost,1.214477,0.834874,-0.101391,2.954924e-07
RDKitECFPMorganFP/ACK1_CatBoost,0.862839,0.691469,0.217505,4.848022e-07
RDKitECFPMorganFP/ACK1_DNN,1.118533,0.843253,-0.014381,2.072492e-06
RDKitECFPMorganFP/ACVR1_Linear-SVR,0.762204,0.669678,0.350129,7.382466e-10
RDKitECFPMorganFP/ACVR1_RBF-SVR,0.891971,0.745621,0.239487,7.695911e-10
RDKitECFPMorganFP/ACVR1_DecisionTree,1.080441,0.814461,0.078793,5.691153e-10
RDKitECFPMorganFP/ACVR1_ExtraTrees,0.950811,0.749134,0.189318,9.077200e-08
RDKitECFPMorganFP/ACVR1_RandomForest,0.904494,0.735431,0.228810,6.907056e-08
RDKitECFPMorganFP/ACVR1_KNeighbors,1.030039,0.798180,0.121767,5.799142e-10
RDKitECFPMorganFP/ACVR1_PLS,0.773175,0.686213,0.340774,1.754850e-08
RDKitECFPMorganFP/ACVR1_PLS-SKLEARN,0.799305,0.697442,0.318495,3.643267e-09
