Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitDescriptorsResults/AAK1_Linear-SVR,597.786451,15.865147,0.109723,2.424550e-09
RDKitDescriptorsResults/AAK1_RBF-SVR,682.646599,17.357199,-0.016658,4.913236e-09
RDKitDescriptorsResults/AAK1_DecisionTree,573.350017,16.183464,0.146116,1.624746e-09
RDKitDescriptorsResults/AAK1_ExtraTrees,497.033498,15.699029,0.259773,1.217305e-07
RDKitDescriptorsResults/AAK1_RandomForest,500.885498,16.189266,0.254037,3.328418e-07
RDKitDescriptorsResults/AAK1_KNeighbors,502.932916,15.833052,0.250987,4.487335e-09
RDKitDescriptorsResults/AAK1_PLS,515.952352,16.441062,0.231598,1.757417e-08
RDKitDescriptorsResults/AAK1_PLS-SKLEARN,531.931231,16.764578,0.207801,4.121438e-09
RDKitDescriptorsResults/AAK1_XGBoost,514.713232,15.484413,0.233443,6.934927e-07
RDKitDescriptorsResults/AAK1_CatBoost,481.931758,15.420975,0.282264,2.441654e-06
RDKitDescriptorsResults/AAK1_DNN,556.067436,16.242402,0.171855,4.527092e-06
RDKitDescriptorsResults/ABL1-nonphosphorylated_Linear-SVR,1239.066974,25.993624,-0.004553,2.178875e-09
RDKitDescriptorsResults/ABL1-nonphosphorylated_RBF-SVR,1293.925405,27.964890,-0.049029,3.513516e-09
RDKitDescriptorsResults/ABL1-nonphosphorylated_DecisionTree,1315.781491,27.398807,-0.066748,1.463959e-09
RDKitDescriptorsResults/ABL1-nonphosphorylated_ExtraTrees,955.644041,25.801361,0.225227,1.183923e-07
RDKitDescriptorsResults/ABL1-nonphosphorylated_RandomForest,927.542628,25.307450,0.248010,3.413842e-07
RDKitDescriptorsResults/ABL1-nonphosphorylated_KNeighbors,825.723641,21.358779,0.330558,3.570722e-09
RDKitDescriptorsResults/ABL1-nonphosphorylated_PLS,1017.968172,25.227215,0.174699,1.811632e-08
RDKitDescriptorsResults/ABL1-nonphosphorylated_PLS-SKLEARN,1017.744124,25.258286,0.174881,4.099696e-09
RDKitDescriptorsResults/ABL1-nonphosphorylated_XGBoost,871.781816,23.028756,0.293217,6.874842e-07
RDKitDescriptorsResults/ABL1-nonphosphorylated_CatBoost,767.344712,21.750180,0.377888,2.417400e-06
RDKitDescriptorsResults/ABL1-nonphosphorylated_DNN,1027.153198,23.322107,0.167253,4.253773e-06
RDKitDescriptorsResults/ABL1-phosphorylated_Linear-SVR,987.624765,18.465948,-0.139922,2.549526e-09
RDKitDescriptorsResults/ABL1-phosphorylated_RBF-SVR,1074.799133,18.593858,-0.240539,3.570317e-09
RDKitDescriptorsResults/ABL1-phosphorylated_DecisionTree,1026.550069,21.124932,-0.184850,1.605654e-09
RDKitDescriptorsResults/ABL1-phosphorylated_ExtraTrees,784.958787,19.900432,0.093996,1.188538e-07
RDKitDescriptorsResults/ABL1-phosphorylated_RandomForest,783.975998,20.047034,0.095131,3.466685e-07
RDKitDescriptorsResults/ABL1-phosphorylated_KNeighbors,792.518888,18.221408,0.085270,2.652496e-09
RDKitDescriptorsResults/ABL1-phosphorylated_PLS,835.544194,20.791050,0.035610,1.828296e-08
RDKitDescriptorsResults/ABL1-phosphorylated_PLS-SKLEARN,835.346455,20.231541,0.035838,4.107330e-09
RDKitDescriptorsResults/ABL1-phosphorylated_XGBoost,832.996286,20.618018,0.038551,7.145946e-07
RDKitDescriptorsResults/ABL1-phosphorylated_CatBoost,687.418740,18.107856,0.206577,2.395380e-06
RDKitDescriptorsResults/ABL1-phosphorylated_DNN,955.825917,21.038874,-0.103220,4.537267e-06
RDKitDescriptorsResults/ABL2_Linear-SVR,617.684349,15.375717,0.019523,5.501626e-09
RDKitDescriptorsResults/ABL2_RBF-SVR,693.039440,15.830687,-0.100091,3.354014e-09
RDKitDescriptorsResults/ABL2_DecisionTree,732.740369,17.560897,-0.163110,1.530062e-09
RDKitDescriptorsResults/ABL2_ExtraTrees,494.762480,14.852546,0.214642,1.193553e-07
RDKitDescriptorsResults/ABL2_RandomForest,526.517935,15.704969,0.164236,3.424201e-07
RDKitDescriptorsResults/ABL2_KNeighbors,482.343887,14.609953,0.234355,3.238955e-09
RDKitDescriptorsResults/ABL2_PLS,577.015266,16.963020,0.084079,1.803695e-08
RDKitDescriptorsResults/ABL2_PLS-SKLEARN,602.205630,17.598910,0.044093,4.051455e-09
RDKitDescriptorsResults/ABL2_XGBoost,622.416146,17.605002,0.012012,7.059722e-07
RDKitDescriptorsResults/ABL2_CatBoost,480.343482,14.642992,0.237530,2.409176e-06
RDKitDescriptorsResults/ABL2_DNN,565.675397,15.945414,0.102079,4.619099e-06
RDKitDescriptorsResults/ACVR1B_Linear-SVR,531.820478,10.852770,-0.113488,2.514081e-09
RDKitDescriptorsResults/ACVR1B_RBF-SVR,563.588724,10.518275,-0.180002,3.214126e-09
RDKitDescriptorsResults/ACVR1B_DecisionTree,794.145457,15.516392,-0.662725,1.485881e-09
RDKitDescriptorsResults/ACVR1B_ExtraTrees,403.125033,13.529404,0.155966,1.386841e-07
RDKitDescriptorsResults/ACVR1B_RandomForest,418.318056,13.331248,0.124156,3.576828e-07
RDKitDescriptorsResults/ACVR1B_KNeighbors,514.703040,13.893991,-0.077648,3.973676e-09
RDKitDescriptorsResults/ACVR1B_PLS,483.238339,15.657490,-0.011770,1.833469e-08
RDKitDescriptorsResults/ACVR1B_PLS-SKLEARN,431.074637,14.399105,0.097447,4.054791e-09
RDKitDescriptorsResults/ACVR1B_XGBoost,494.890338,14.787491,-0.036166,7.139993e-07
RDKitDescriptorsResults/ACVR1B_CatBoost,373.995904,12.840883,0.216954,2.405812e-06
RDKitDescriptorsResults/ACVR1B_DNN,559.452496,15.800571,-0.171342,4.313435e-06
RDKitDescriptorsResults/ACVR1_Linear-SVR,697.501612,14.518897,-0.208336,2.333780e-09
RDKitDescriptorsResults/ACVR1_RBF-SVR,718.355420,14.163625,-0.244463,3.328269e-09
RDKitDescriptorsResults/ACVR1_DecisionTree,531.280370,14.623171,0.079622,1.411891e-09
RDKitDescriptorsResults/ACVR1_ExtraTrees,532.061537,15.431880,0.078269,1.160202e-07
RDKitDescriptorsResults/ACVR1_RandomForest,522.748444,15.423339,0.094403,3.530875e-07
RDKitDescriptorsResults/ACVR1_KNeighbors,567.358543,15.743099,0.017121,4.439888e-09
RDKitDescriptorsResults/ACVR1_PLS,609.019390,16.575839,-0.055051,1.805317e-08
RDKitDescriptorsResults/ACVR1_PLS-SKLEARN,578.484351,16.029748,-0.002153,3.944494e-09
RDKitDescriptorsResults/ACVR1_XGBoost,567.946823,15.906084,0.016102,7.236318e-07
RDKitDescriptorsResults/ACVR1_CatBoost,495.558287,15.085063,0.141506,2.441586e-06
RDKitDescriptorsResults/ACVR1_DNN,531.990428,15.760662,0.078392,4.522924e-06
RDKitDescriptorsResults/ACVR2A_Linear-SVR,307.524883,6.743535,-0.131382,2.716571e-09
RDKitDescriptorsResults/ACVR2A_RBF-SVR,306.802775,6.731596,-0.128725,3.217319e-09
RDKitDescriptorsResults/ACVR2A_DecisionTree,519.980807,11.602460,-0.913005,1.539232e-09
RDKitDescriptorsResults/ACVR2A_ExtraTrees,260.445865,9.574915,0.041822,1.322477e-07
RDKitDescriptorsResults/ACVR2A_RandomForest,257.582337,9.472873,0.052357,3.551358e-07
RDKitDescriptorsResults/ACVR2A_KNeighbors,288.893940,9.952394,-0.062839,2.014583e-09
RDKitDescriptorsResults/ACVR2A_PLS,268.867729,9.836814,0.010838,1.834193e-08
RDKitDescriptorsResults/ACVR2A_PLS-SKLEARN,268.867729,9.836814,0.010838,3.811108e-09
RDKitDescriptorsResults/ACVR2A_XGBoost,299.438215,10.559046,-0.101631,7.050995e-07
RDKitDescriptorsResults/ACVR2A_CatBoost,263.740251,9.652792,0.029702,2.432588e-06
RDKitDescriptorsResults/ACVR2A_DNN,260.222775,9.478368,0.042642,4.441267e-06
RDKitDescriptorsResults/ACVR2B_Linear-SVR,535.499936,11.684619,-0.103479,2.494357e-09
RDKitDescriptorsResults/ACVR2B_RBF-SVR,573.473839,11.662388,-0.181730,3.127990e-09
RDKitDescriptorsResults/ACVR2B_DecisionTree,720.484188,15.964746,-0.484668,1.427219e-09
RDKitDescriptorsResults/ACVR2B_ExtraTrees,439.499659,13.866291,0.094344,1.160733e-07
RDKitDescriptorsResults/ACVR2B_RandomForest,468.800261,14.272100,0.033966,3.547183e-07
RDKitDescriptorsResults/ACVR2B_KNeighbors,469.421660,14.318873,0.032685,5.235343e-09
RDKitDescriptorsResults/ACVR2B_PLS,501.681246,15.439413,-0.033791,1.797211e-08
RDKitDescriptorsResults/ACVR2B_PLS-SKLEARN,496.624625,14.808953,-0.023371,4.043953e-09
RDKitDescriptorsResults/ACVR2B_XGBoost,448.465940,14.127280,0.075867,7.132586e-07
RDKitDescriptorsResults/ACVR2B_CatBoost,432.033193,13.700158,0.109730,2.489033e-06
RDKitDescriptorsResults/ACVR2B_DNN,480.626665,13.610692,0.009595,4.594396e-06
RDKitDescriptorsResults/ACVRL1_Linear-SVR,324.632408,7.471272,-0.192991,2.583246e-09
RDKitDescriptorsResults/ACVRL1_RBF-SVR,321.533620,7.498679,-0.181603,3.157243e-09
RDKitDescriptorsResults/ACVRL1_DecisionTree,457.561672,11.170603,-0.681492,1.461650e-09
RDKitDescriptorsResults/ACVRL1_ExtraTrees,283.141848,9.579498,-0.040517,1.162097e-07
RDKitDescriptorsResults/ACVRL1_RandomForest,277.693409,9.365830,-0.020495,3.585774e-07
RDKitDescriptorsResults/ACVRL1_KNeighbors,263.861547,8.567887,0.030336,3.267723e-09
RDKitDescriptorsResults/ACVRL1_PLS,285.291062,10.781008,-0.048415,1.784472e-08
RDKitDescriptorsResults/ACVRL1_PLS-SKLEARN,282.494945,10.048443,-0.038140,4.055581e-09
RDKitDescriptorsResults/ACVRL1_XGBoost,274.632878,9.936071,-0.009248,6.985766e-07
RDKitDescriptorsResults/ACVRL1_CatBoost,255.061583,9.226731,0.062675,2.389136e-06
RDKitDescriptorsResults/ACVRL1_DNN,297.613787,9.765152,-0.093700,4.211234e-06
RDKitDescriptorsResults/ADCK3_Linear-SVR,445.898125,12.176455,-0.067491,2.131338e-09
RDKitDescriptorsResults/ADCK3_RBF-SVR,479.412668,12.243796,-0.147725,3.234076e-09
RDKitDescriptorsResults/ADCK3_DecisionTree,580.740259,13.902868,-0.390306,1.608091e-09
RDKitDescriptorsResults/ADCK3_ExtraTrees,356.490102,12.036803,0.146554,1.208042e-07
RDKitDescriptorsResults/ADCK3_RandomForest,358.680645,12.245117,0.141310,3.549781e-07
RDKitDescriptorsResults/ADCK3_KNeighbors,384.208890,12.747418,0.080195,2.494335e-09
RDKitDescriptorsResults/ADCK3_PLS,374.044603,12.533887,0.104528,1.766337e-08
