Kin-Method,MSE,MAE,R2,Emission(kW)
RDKitECFPMorganFP/AAK1_Linear-SVR,532.096890,16.154277,0.207554,2.339861e-08
RDKitECFPMorganFP/AAK1_RBF-SVR,725.291669,17.833319,-0.080169,3.236034e-08
RDKitECFPMorganFP/AAK1_DecisionTree,602.864510,16.656796,0.102160,7.063228e-09
RDKitECFPMorganFP/AAK1_ExtraTrees,570.350230,16.893456,0.150583,1.047864e-06
RDKitECFPMorganFP/AAK1_RandomForest,515.277953,16.481405,0.232602,8.434560e-07
RDKitECFPMorganFP/AAK1_KNeighbors,620.871397,18.118967,0.075343,1.075266e-08
RDKitECFPMorganFP/AAK1_PLS,506.377894,16.190493,0.245857,6.083687e-07
RDKitECFPMorganFP/AAK1_PLS-SKLEARN,522.322172,16.564309,0.222111,4.251914e-08
RDKitECFPMorganFP/AAK1_XGBoost,537.716705,17.023307,0.199184,3.274290e-06
RDKitECFPMorganFP/AAK1_CatBoost,468.615585,15.308973,0.302096,2.809068e-06
RDKitECFPMorganFP/AAK1_DNN,518.162285,18.207164,0.228306,1.760151e-05
RDKitECFPMorganFP/ABL1-nonphosphorylated_Linear-SVR,850.621599,21.032853,0.310373,2.429277e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_RBF-SVR,1297.626661,27.896300,-0.052029,3.262986e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_DecisionTree,1059.555309,24.641833,0.140983,8.927622e-09
RDKitECFPMorganFP/ABL1-nonphosphorylated_ExtraTrees,1006.623990,24.462207,0.183896,1.059018e-06
RDKitECFPMorganFP/ABL1-nonphosphorylated_RandomForest,858.716689,23.521179,0.303810,8.746344e-07
RDKitECFPMorganFP/ABL1-nonphosphorylated_KNeighbors,928.891465,22.114460,0.246917,1.192132e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_PLS,772.793569,21.011736,0.373470,5.908876e-07
RDKitECFPMorganFP/ABL1-nonphosphorylated_PLS-SKLEARN,762.972479,21.057419,0.381433,5.350768e-08
RDKitECFPMorganFP/ABL1-nonphosphorylated_XGBoost,786.523388,21.947958,0.362339,3.168158e-06
RDKitECFPMorganFP/ABL1-nonphosphorylated_CatBoost,783.367198,20.783900,0.364898,2.883039e-06
RDKitECFPMorganFP/ABL1-nonphosphorylated_DNN,893.854706,25.041897,0.275322,1.719998e-05
RDKitECFPMorganFP/ABL1-phosphorylated_Linear-SVR,802.222137,18.770784,0.074071,2.227400e-08
RDKitECFPMorganFP/ABL1-phosphorylated_RBF-SVR,1092.331012,18.564132,-0.260775,3.268743e-08
RDKitECFPMorganFP/ABL1-phosphorylated_DecisionTree,1076.974007,22.110107,-0.243049,6.479393e-09
RDKitECFPMorganFP/ABL1-phosphorylated_ExtraTrees,893.001062,20.523067,-0.030707,1.143430e-06
RDKitECFPMorganFP/ABL1-phosphorylated_RandomForest,702.172435,18.727491,0.189549,8.658649e-07
RDKitECFPMorganFP/ABL1-phosphorylated_KNeighbors,764.947099,17.815775,0.117094,8.414365e-09
RDKitECFPMorganFP/ABL1-phosphorylated_PLS,773.479170,19.324086,0.107246,6.039643e-07
RDKitECFPMorganFP/ABL1-phosphorylated_PLS-SKLEARN,742.760600,19.235622,0.142702,5.604611e-08
RDKitECFPMorganFP/ABL1-phosphorylated_XGBoost,704.460290,19.397808,0.186908,3.301628e-06
RDKitECFPMorganFP/ABL1-phosphorylated_CatBoost,759.187229,18.110716,0.123742,2.862985e-06
RDKitECFPMorganFP/ABL1-phosphorylated_DNN,769.682286,21.403846,0.111628,1.756356e-05
RDKitECFPMorganFP/ABL2_Linear-SVR,537.206821,14.871960,0.147269,2.300075e-08
RDKitECFPMorganFP/ABL2_RBF-SVR,747.601807,16.447319,-0.186700,3.330420e-08
RDKitECFPMorganFP/ABL2_DecisionTree,842.317145,18.561402,-0.337046,9.012176e-09
RDKitECFPMorganFP/ABL2_ExtraTrees,782.815449,18.294666,-0.242596,1.167592e-06
RDKitECFPMorganFP/ABL2_RandomForest,551.973962,15.524527,0.123828,8.970727e-07
RDKitECFPMorganFP/ABL2_KNeighbors,551.357328,15.530235,0.124807,1.264229e-08
RDKitECFPMorganFP/ABL2_PLS,510.982627,15.986649,0.188896,6.253311e-07
RDKitECFPMorganFP/ABL2_PLS-SKLEARN,514.684853,15.701745,0.183019,5.718715e-08
RDKitECFPMorganFP/ABL2_XGBoost,533.856079,16.465929,0.152588,3.338361e-06
RDKitECFPMorganFP/ABL2_CatBoost,584.102268,16.522341,0.072830,2.904175e-06
RDKitECFPMorganFP/ABL2_DNN,530.587848,17.466314,0.157775,1.656943e-05
RDKitECFPMorganFP/ACVR1B_Linear-SVR,398.822533,11.788912,0.164974,2.370421e-08
RDKitECFPMorganFP/ACVR1B_RBF-SVR,567.122328,10.510741,-0.187400,3.237052e-08
RDKitECFPMorganFP/ACVR1B_DecisionTree,531.559515,13.608387,-0.112941,9.136063e-09
RDKitECFPMorganFP/ACVR1B_ExtraTrees,382.298037,12.508166,0.199572,1.136388e-06
RDKitECFPMorganFP/ACVR1B_RandomForest,409.255096,13.474547,0.143131,8.749370e-07
RDKitECFPMorganFP/ACVR1B_KNeighbors,431.501371,12.965070,0.096553,8.017264e-09
RDKitECFPMorganFP/ACVR1B_PLS,379.671939,13.686818,0.205070,6.116611e-07
RDKitECFPMorganFP/ACVR1B_PLS-SKLEARN,397.329575,14.258305,0.168100,5.417218e-08
RDKitECFPMorganFP/ACVR1B_XGBoost,427.894286,14.100944,0.104106,3.316979e-06
RDKitECFPMorganFP/ACVR1B_CatBoost,330.439920,11.962559,0.308149,2.921453e-06
RDKitECFPMorganFP/ACVR1B_DNN,418.904290,14.398447,0.122928,1.696219e-05
RDKitECFPMorganFP/ACVR1_Linear-SVR,577.087351,15.179930,0.000267,2.268287e-08
RDKitECFPMorganFP/ACVR1_RBF-SVR,715.012540,14.146743,-0.238671,3.287885e-08
RDKitECFPMorganFP/ACVR1_DecisionTree,728.135820,17.094469,-0.261406,7.117548e-09
RDKitECFPMorganFP/ACVR1_ExtraTrees,565.769307,16.522957,0.019874,1.144574e-06
RDKitECFPMorganFP/ACVR1_RandomForest,517.160817,15.569974,0.104082,8.718465e-07
RDKitECFPMorganFP/ACVR1_KNeighbors,596.682858,15.957371,-0.033680,8.054032e-09
RDKitECFPMorganFP/ACVR1_PLS,532.105679,16.814672,0.078192,5.895518e-07
RDKitECFPMorganFP/ACVR1_PLS-SKLEARN,532.105679,16.814672,0.078192,5.830884e-08
RDKitECFPMorganFP/ACVR1_XGBoost,560.292011,17.433829,0.029363,3.259162e-06
RDKitECFPMorganFP/ACVR1_CatBoost,545.102661,15.966290,0.055677,2.876850e-06
RDKitECFPMorganFP/ACVR1_DNN,527.444780,17.409169,0.086267,1.701906e-05
RDKitECFPMorganFP/ACVR2A_Linear-SVR,280.059689,8.276398,-0.030337,2.305999e-08
RDKitECFPMorganFP/ACVR2A_RBF-SVR,307.588238,6.767572,-0.131615,3.268935e-08
RDKitECFPMorganFP/ACVR2A_DecisionTree,356.119910,10.472020,-0.310162,1.047096e-08
RDKitECFPMorganFP/ACVR2A_ExtraTrees,283.959597,9.834109,-0.044685,1.202281e-06
RDKitECFPMorganFP/ACVR2A_RandomForest,272.301223,9.948154,-0.001794,8.935178e-07
RDKitECFPMorganFP/ACVR2A_KNeighbors,380.884764,11.089484,-0.401272,8.466232e-09
RDKitECFPMorganFP/ACVR2A_PLS,309.362468,10.678183,-0.138142,6.042745e-07
RDKitECFPMorganFP/ACVR2A_PLS-SKLEARN,309.362468,10.678183,-0.138142,5.801085e-08
RDKitECFPMorganFP/ACVR2A_XGBoost,392.663664,12.572167,-0.444607,3.333496e-06
RDKitECFPMorganFP/ACVR2A_CatBoost,272.023473,10.149010,-0.000772,2.887448e-06
RDKitECFPMorganFP/ACVR2A_DNN,271.930630,9.353656,-0.000431,1.641270e-05
RDKitECFPMorganFP/ACVR2B_Linear-SVR,410.713834,12.687927,0.153661,2.391200e-08
RDKitECFPMorganFP/ACVR2B_RBF-SVR,573.908596,11.616633,-0.182626,3.239933e-08
RDKitECFPMorganFP/ACVR2B_DecisionTree,676.647812,15.361762,-0.394336,6.154259e-09
RDKitECFPMorganFP/ACVR2B_ExtraTrees,441.685105,13.829308,0.089840,1.107837e-06
RDKitECFPMorganFP/ACVR2B_RandomForest,415.128569,13.919537,0.144564,8.609516e-07
RDKitECFPMorganFP/ACVR2B_KNeighbors,449.183745,13.616714,0.074388,8.755919e-09
RDKitECFPMorganFP/ACVR2B_PLS,435.463005,14.633262,0.102662,5.954011e-07
RDKitECFPMorganFP/ACVR2B_PLS-SKLEARN,420.542561,14.445858,0.133408,5.819660e-08
RDKitECFPMorganFP/ACVR2B_XGBoost,407.839627,14.146245,0.159584,3.264050e-06
RDKitECFPMorganFP/ACVR2B_CatBoost,396.104960,13.071994,0.183765,2.908519e-06
RDKitECFPMorganFP/ACVR2B_DNN,421.894917,15.490070,0.130621,1.722314e-05
RDKitECFPMorganFP/ACVRL1_Linear-SVR,276.009247,8.535247,-0.014306,2.588089e-08
RDKitECFPMorganFP/ACVRL1_RBF-SVR,319.568079,7.489999,-0.174380,3.130953e-08
RDKitECFPMorganFP/ACVRL1_DecisionTree,347.240582,9.707258,-0.276074,8.177250e-09
RDKitECFPMorganFP/ACVRL1_ExtraTrees,280.159849,9.317784,-0.029559,1.116432e-06
RDKitECFPMorganFP/ACVRL1_RandomForest,271.487821,9.266694,0.002310,8.720906e-07
RDKitECFPMorganFP/ACVRL1_KNeighbors,288.615668,8.710329,-0.060633,1.199373e-08
RDKitECFPMorganFP/ACVRL1_PLS,261.993350,10.091960,0.037201,6.059086e-07
RDKitECFPMorganFP/ACVRL1_PLS-SKLEARN,264.523441,10.374129,0.027903,5.256592e-08
RDKitECFPMorganFP/ACVRL1_XGBoost,269.597235,10.229377,0.009258,3.331311e-06
RDKitECFPMorganFP/ACVRL1_CatBoost,240.849957,9.007192,0.114901,2.912052e-06
RDKitECFPMorganFP/ACVRL1_DNN,372.661270,11.182340,-0.369492,1.733172e-05
RDKitECFPMorganFP/ADCK3_Linear-SVR,350.246775,12.082735,0.161501,2.385219e-08
RDKitECFPMorganFP/ADCK3_RBF-SVR,481.048138,12.192086,-0.151641,3.522273e-08
RDKitECFPMorganFP/ADCK3_DecisionTree,336.142028,11.511510,0.195268,9.123824e-09
RDKitECFPMorganFP/ADCK3_ExtraTrees,425.538230,13.243645,-0.018749,1.125840e-06
RDKitECFPMorganFP/ADCK3_RandomForest,376.088240,12.370932,0.099636,8.935936e-07
RDKitECFPMorganFP/ADCK3_KNeighbors,368.761331,12.107324,0.117177,1.098647e-08
RDKitECFPMorganFP/ADCK3_PLS,288.925081,11.382903,0.308306,5.965764e-07
RDKitECFPMorganFP/ADCK3_PLS-SKLEARN,306.098133,12.080071,0.267194,5.389436e-08
RDKitECFPMorganFP/ADCK3_XGBoost,305.330835,12.498767,0.269031,3.207767e-06
RDKitECFPMorganFP/ADCK3_CatBoost,287.164939,11.256860,0.312520,2.892362e-06
RDKitECFPMorganFP/ADCK3_DNN,342.598975,12.517897,0.179810,1.701380e-05
RDKitECFPMorganFP/ADCK4_Linear-SVR,483.187254,16.040867,0.309082,2.273156e-08
RDKitECFPMorganFP/ADCK4_RBF-SVR,803.958830,19.249331,-0.149596,3.500755e-08
RDKitECFPMorganFP/ADCK4_DecisionTree,595.627805,17.273321,0.148301,7.793296e-09
RDKitECFPMorganFP/ADCK4_ExtraTrees,565.027930,17.313947,0.192056,9.931592e-07
RDKitECFPMorganFP/ADCK4_RandomForest,523.939152,17.024498,0.250810,8.598398e-07
RDKitECFPMorganFP/ADCK4_KNeighbors,537.930342,17.803099,0.230803,1.123206e-08
RDKitECFPMorganFP/ADCK4_PLS,447.682293,16.085624,0.359851,5.939239e-07
RDKitECFPMorganFP/ADCK4_PLS-SKLEARN,447.682293,16.085624,0.359851,5.846452e-08
RDKitECFPMorganFP/ADCK4_XGBoost,499.669445,16.844101,0.285513,3.321540e-06
RDKitECFPMorganFP/ADCK4_CatBoost,457.271630,15.755218,0.346139,2.897371e-06
RDKitECFPMorganFP/ADCK4_DNN,489.406421,17.042130,0.300189,1.696533e-05
RDKitECFPMorganFP/AKT1_Linear-SVR,212.732606,7.061326,0.437920,2.346729e-08
RDKitECFPMorganFP/AKT1_RBF-SVR,416.622838,7.217860,-0.100797,2.935251e-08
RDKitECFPMorganFP/AKT1_DecisionTree,270.764690,7.134118,0.284588,8.813612e-09
RDKitECFPMorganFP/AKT1_ExtraTrees,241.328112,7.160585,0.362365,1.122002e-06
RDKitECFPMorganFP/AKT1_RandomForest,207.479626,7.656469,0.451799,8.757791e-07
RDKitECFPMorganFP/AKT1_KNeighbors,316.414477,7.369296,0.163973,8.811534e-09
RDKitECFPMorganFP/AKT1_PLS,192.366298,7.332156,0.491732,6.099302e-07
RDKitECFPMorganFP/AKT1_PLS-SKLEARN,191.563335,7.164600,0.493853,7.578778e-08
RDKitECFPMorganFP/AKT1_XGBoost,163.629921,7.092193,0.567659,3.270315e-06
RDKitECFPMorganFP/AKT1_CatBoost,190.191347,6.822905,0.497478,2.906132e-06
RDKitECFPMorganFP/AKT1_DNN,184.591082,7.058370,0.512275,1.765275e-05
RDKitECFPMorganFP/AKT2_Linear-SVR,268.312024,9.787688,0.183126,2.390578e-08
RDKitECFPMorganFP/AKT2_RBF-SVR,410.458236,9.985452,-0.249637,3.442221e-08
RDKitECFPMorganFP/AKT2_DecisionTree,413.052376,11.380282,-0.257535,1.020144e-08
RDKitECFPMorganFP/AKT2_ExtraTrees,275.562859,10.518838,0.161051,1.184228e-06
RDKitECFPMorganFP/AKT2_RandomForest,267.625788,10.103153,0.185215,9.001978e-07
RDKitECFPMorganFP/AKT2_KNeighbors,346.918930,10.652207,-0.056192,8.540509e-09
RDKitECFPMorganFP/AKT2_PLS,269.252083,10.465306,0.180264,6.272683e-07
RDKitECFPMorganFP/AKT2_PLS-SKLEARN,255.559622,9.703408,0.221951,5.498639e-08
RDKitECFPMorganFP/AKT2_XGBoost,283.274786,10.750859,0.137572,3.302428e-06
RDKitECFPMorganFP/AKT2_CatBoost,360.504686,11.026599,-0.097554,2.901730e-06
RDKitECFPMorganFP/AKT2_DNN,260.101010,10.555690,0.208125,1.708439e-05
RDKitECFPMorganFP/AKT3_Linear-SVR,275.165251,8.505948,0.429187,2.538433e-08
RDKitECFPMorganFP/AKT3_RBF-SVR,551.350504,9.167349,-0.143742,3.239411e-08
RDKitECFPMorganFP/AKT3_DecisionTree,327.628141,8.782414,0.320356,8.224577e-09
RDKitECFPMorganFP/AKT3_ExtraTrees,301.690948,9.061108,0.374161,1.125526e-06
RDKitECFPMorganFP/AKT3_RandomForest,280.763167,9.745369,0.417575,8.666466e-07
RDKitECFPMorganFP/AKT3_KNeighbors,416.811033,9.823005,0.135352,8.711787e-09
RDKitECFPMorganFP/AKT3_PLS,243.552545,9.012758,0.494766,6.101950e-07
RDKitECFPMorganFP/AKT3_PLS-SKLEARN,244.543304,9.152208,0.492710,5.781986e-08
