Molecule,y1_true,y1_pred,y1_pred_stdev,y1_pred_res,y1_pred_freq
SM33,2.9600,3.8668,0.1993,-0.9068,25
SM31,1.9600,1.4597,0.1976,0.5003,25
SM37,1.4500,1.6491,0.2641,-0.1991,25
SM44,1.1600,0.6750,0.3135,0.4850,25
SM35,0.8800,1.1601,0.3012,-0.2801,25
SM46,1.7200,1.2843,0.3342,0.4357,25
SM25,2.6700,1.5035,0.3701,1.1665,25
SM29,1.6100,0.9831,0.1887,0.6269,25
SM34,2.8300,2.6626,0.2620,0.1674,25
SM45,2.5500,2.4343,0.3494,0.1157,25
SM27,1.5600,1.1566,0.1847,0.4034,25
SM43,0.8500,2.1961,0.3403,-1.3461,25
SM26,1.0400,0.7294,0.2694,0.3106,25
SM32,2.4400,2.5594,0.1856,-0.1194,25
SM38,1.0300,0.1514,0.3634,0.8786,25
SM42,1.7600,3.5367,0.3566,-1.7767,25
SM40,1.8300,1.1906,0.2365,0.6394,25
SM30,2.7600,2.4485,0.2022,0.3115,25
SM28,1.1800,0.5880,0.2550,0.5920,25
SM41,0.5800,1.8071,0.2663,-1.2271,25
SM39,1.8900,1.5186,0.3282,0.3714,25
SM36,0.7600,2.0171,0.3753,-1.2571,25
