iter	RMSE
0	2.059971129
1	2.011776619
2	1.965602606
3	1.923840652
4	1.885623795
5	1.849880648
6	1.814684189
7	1.778559166
8	1.746935737
9	1.720121524
10	1.690518349
11	1.663828202
12	1.639144813
13	1.614885714
14	1.591099534
15	1.56955964
16	1.550925794
17	1.531255621
18	1.512642923
19	1.494952955
20	1.477144939
21	1.462452521
22	1.44884653
23	1.437376747
24	1.424722558
25	1.413518956
26	1.40034955
27	1.389880078
28	1.379600788
29	1.367915157
30	1.358795907
31	1.350142408
32	1.34221786
33	1.333687655
34	1.326619993
35	1.318040568
36	1.311273161
37	1.30325071
38	1.295515026
39	1.289619302
40	1.283819083
41	1.279301266
42	1.274296745
43	1.268902333
44	1.262154202
45	1.256334732
46	1.251445832
47	1.247213126
48	1.243774391
49	1.240006399
50	1.235006298
51	1.229999175
52	1.226093364
53	1.222790249
54	1.218223617
55	1.215241702
56	1.210172757
57	1.206271925
58	1.203869428
59	1.199478969
60	1.196873474
61	1.193847113
62	1.190350233
63	1.188429026
64	1.184977135
65	1.182463609
66	1.180083752
67	1.176583468
68	1.173227569
69	1.170642977
70	1.168232353
71	1.165577792
72	1.162188711
73	1.158082562
74	1.155073707
75	1.152858853
76	1.150575716
77	1.147261022
78	1.14556273
79	1.144541675
80	1.142044035
81	1.140087086
82	1.137415121
83	1.135998253
84	1.134098784
85	1.130648553
86	1.128498787
87	1.126738259
88	1.123192115
89	1.119077069
90	1.116191205
91	1.11421915
92	1.111018851
93	1.10930711
94	1.107559342
95	1.105505598
96	1.104275172
97	1.103029319
98	1.100499857
99	1.098475206
100	1.097526585
101	1.095731917
102	1.094257551
103	1.093208065
104	1.090174962
105	1.088312786
106	1.086135392
107	1.084438478
108	1.083190908
109	1.081882445
110	1.080769008
111	1.079206655
112	1.077430717
113	1.075095366
114	1.073985148
115	1.071693423
116	1.069245146
117	1.068168046
118	1.0665289
119	1.064356924
120	1.063509846
121	1.062316182
122	1.060499279
123	1.059042673
124	1.057131127
125	1.054529434
126	1.053557182
127	1.052296756
128	1.050971231
129	1.049474221
130	1.047529642
131	1.046139808
132	1.044981765
133	1.043939715
134	1.042734737
135	1.04174841
136	1.040026961
137	1.038295538
138	1.037131596
139	1.035475251
140	1.034276153
141	1.032065101
142	1.03095404
143	1.029050609
144	1.028332166
145	1.027463958
146	1.025638867
147	1.024224833
148	1.022596292
149	1.021502489
150	1.019840591
151	1.018734104
152	1.017809975
153	1.016931073
154	1.015410833
155	1.014484217
156	1.013034555
157	1.010331737
158	1.00920316
159	1.007608431
160	1.006498826
161	1.004684861
162	1.002343367
163	1.00089618
164	0.9997614248
165	0.9987878554
166	0.997486886
167	0.9956104362
168	0.9938267179
169	0.9928160831
170	0.9907932619
171	0.9893419836
172	0.9874883196
173	0.9852604432
174	0.9844325319
175	0.9831027114
176	0.9823478285
177	0.9810499608
178	0.9801457458
179	0.9791779933
180	0.9783509269
181	0.9777885086
182	0.9762763852
183	0.9754731944
184	0.9742011816
185	0.9730794524
186	0.9710197318
187	0.9695292141
188	0.9677094137
189	0.9659109773
190	0.9643951288
191	0.9629187957
192	0.9611639441
193	0.960042821
194	0.959158618
195	0.9582857714
196	0.956889992
197	0.9557033907
198	0.9535650819
199	0.9526020996
200	0.9509021541
201	0.9499882085
202	0.9485095801
203	0.9470040922
204	0.9467649813
205	0.94478148
