iter	Passed	Remaining
0	61	185710
1	64	95974
2	66	66006
3	67	50913
4	69	41866
5	71	35883
6	74	31689
7	76	28484
8	78	25977
9	80	24033
10	82	22340
11	84	20943
12	86	19812
13	88	18818
14	90	18074
15	92	17311
16	95	16680
17	97	16151
18	100	15713
19	102	15270
20	104	14836
21	106	14442
22	108	14105
23	111	13781
24	113	13459
25	115	13169
26	117	12891
27	119	12640
28	121	12399
29	122	12174
30	125	11980
31	127	11804
32	129	11627
33	131	11450
34	133	11306
35	135	11147
36	137	11038
37	140	10962
38	142	10823
39	144	10690
40	146	10590
41	148	10483
42	150	10372
43	152	10275
44	154	10172
45	157	10086
46	159	10031
47	161	9939
48	163	9873
49	166	9822
50	168	9729
51	170	9644
52	172	9563
53	174	9526
54	177	9483
55	180	9463
56	182	9432
57	184	9366
58	186	9302
59	188	9246
60	190	9194
61	192	9134
62	194	9072
63	196	9028
64	198	8978
65	200	8931
66	202	8882
67	204	8837
68	207	8793
69	209	8750
70	210	8698
71	212	8652
72	215	8627
73	217	8606
74	219	8577
75	222	8548
76	224	8516
77	227	8505
78	229	8475
79	231	8440
80	233	8403
81	235	8376
82	237	8347
83	239	8312
84	241	8276
85	243	8247
86	245	8230
87	248	8209
88	250	8184
89	252	8167
90	255	8153
91	257	8131
92	259	8100
93	260	8068
94	263	8042
95	265	8016
96	267	7992
97	269	7975
98	271	7949
99	273	7936
100	275	7914
101	277	7894
102	279	7872
103	281	7851
104	283	7827
105	285	7803
106	287	7779
107	289	7759
108	292	7749
109	294	7745
110	296	7725
111	298	7708
112	300	7687
113	302	7663
114	304	7645
115	306	7629
116	308	7612
117	310	7595
118	313	7579
119	315	7564
120	317	7549
121	319	7532
122	321	7516
123	323	7500
124	325	7480
125	328	7481
126	330	7480
127	333	7480
128	335	7464
129	339	7484
130	341	7472
131	343	7462
132	345	7444
133	347	7429
134	349	7413
135	351	7400
136	353	7387
137	355	7372
138	357	7357
139	359	7342
140	361	7326
141	363	7313
142	365	7296
143	368	7298
144	370	7291
145	372	7286
146	374	7272
147	376	7259
148	378	7247
149	380	7232
150	382	7224
151	384	7209
152	386	7196
153	388	7186
154	391	7177
155	393	7167
156	395	7155
157	397	7141
158	399	7129
159	401	7117
160	403	7114
161	405	7106
162	408	7113
163	411	7117
164	413	7107
165	415	7098
166	418	7093
167	420	7084
168	422	7076
169	424	7066
170	426	7054
171	428	7044
172	430	7032
173	432	7020
174	434	7007
175	436	6996
176	438	6986
177	440	6976
178	442	6966
179	443	6954
180	446	6948
181	448	6945
182	450	6940
183	452	6928
184	454	6921
185	456	6909
186	458	6898
187	460	6887
188	462	6881
189	464	6876
190	466	6866
191	468	6856
192	471	6855
193	473	6845
194	475	6837
195	477	6830
196	479	6823
197	481	6814
198	483	6806
199	486	6805
200	489	6813
201	491	6812
202	493	6805
203	495	6796
204	498	6793
205	500	6784
206	502	6775
207	504	6767
208	506	6757
209	508	6749
210	509	6740
211	511	6730
212	513	6722
213	515	6717
214	518	6716
215	520	6708
216	522	6701
217	525	6702
218	528	6710
219	530	6706
220	533	6706
221	535	6704
222	537	6696
223	539	6689
224	541	6681
225	543	6675
226	545	6668
227	547	6661
228	549	6653
229	552	6652
230	554	6644
231	556	6642
232	558	6635
233	560	6629
234	563	6628
235	565	6620
236	568	6622
237	570	6620
238	573	6619
239	575	6616
240	577	6607
241	579	6600
242	581	6595
243	583	6594
244	585	6587
245	587	6581
246	590	6578
247	592	6571
248	594	6568
249	596	6565
250	599	6564
251	602	6567
252	604	6560
253	606	6554
254	608	6547
255	610	6542
256	612	6534
257	614	6527
258	616	6524
259	618	6519
260	620	6512
261	622	6504
262	624	6499
263	626	6492
264	628	6485
265	630	6480
266	632	6472
267	634	6468
268	636	6464
269	639	6464
270	641	6461
271	643	6454
272	645	6447
273	647	6443
274	650	6442
275	652	6437
276	654	6430
277	656	6424
278	658	6420
279	660	6413
280	662	6406
281	664	6400
282	666	6394
283	668	6391
284	670	6386
285	672	6382
286	674	6379
287	677	6377
288	679	6374
289	681	6368
290	683	6365
291	685	6358
292	687	6353
293	690	6353
294	692	6348
295	694	6340
296	696	6335
297	698	6333
298	700	6329
299	702	6322
300	704	6315
301	706	6309
302	708	6303
303	710	6297
304	711	6290
305	714	6288
306	716	6288
307	718	6283
308	720	6277
309	722	6272
310	724	6266
311	726	6259
312	728	6255
313	730	6252
314	732	6246
315	734	6240
316	736	6234
317	738	6229
318	740	6224
319	742	6217
320	744	6212
321	746	6207
322	748	6202
323	750	6197
324	752	6194
325	754	6192
326	757	6189
327	759	6185
328	761	6182
329	763	6181
330	765	6176
331	767	6171
332	769	6166
333	772	6162
334	774	6157
335	776	6152
336	778	6152
337	781	6151
338	783	6148
339	785	6146
340	787	6143
341	790	6142
342	793	6147
343	796	6149
344	798	6144
345	800	6140
346	802	6135
347	804	6134
348	806	6128
349	808	6125
350	810	6120
351	813	6116
352	815	6112
353	817	6107
354	819	6103
355	821	6098
356	823	6093
357	825	6088
358	827	6085
359	829	6081
360	831	6081
361	834	6079
362	836	6079
363	838	6073
364	840	6070
365	842	6064
366	844	6059
367	846	6054
368	848	6049
369	850	6046
370	852	6044
371	854	6040
372	856	6035
373	858	6030
374	861	6027
375	863	6022
376	865	6018
377	866	6013
378	868	6009
379	871	6008
380	873	6006
381	876	6006
382	878	6002
383	880	5998
384	882	5995
385	884	5992
386	887	5990
387	889	5988
388	892	5987
389	894	5985
390	896	5980
391	898	5979
392	900	5975
393	905	5988
394	907	5983
395	910	5984
396	912	5983
397	915	5982
398	917	5978
399	919	5975
400	921	5970
401	922	5964
402	925	5962
403	927	5958
404	929	5954
405	931	5949
406	933	5945
407	935	5940
408	937	5936
409	939	5933
410	941	5930
411	943	5926
412	945	5922
413	948	5921
414	950	5921
415	953	5921
416	955	5918
417	957	5914
418	960	5914
419	962	5910
420	963	5904
421	966	5902
422	968	5897
423	969	5892
424	971	5888
425	973	5884
426	975	5880
427	978	5877
428	980	5873
429	982	5870
430	984	5865
431	986	5862
432	988	5863
433	992	5866
434	994	5863
435	997	5863
436	999	5861
437	1001	5858
438	1003	5854
439	1005	5850
440	1007	5849
441	1009	5844
442	1012	5843
443	1014	5840
444	1016	5838
445	1018	5835
446	1021	5831
447	1023	5828
448	1025	5825
449	1028	5826
450	1031	5827
451	1033	5824
452	1035	5819
453	1037	5818
454	1039	5815
455	1042	5815
456	1044	5812
457	1046	5807
458	1048	5803
459	1050	5799
460	1052	5794
461	1054	5790
462	1056	5787
463	1058	5782
464	1059	5778
465	1062	5775
466	1064	5772
467	1066	5772
468	1070	5774
469	1072	5771
470	1074	5769
471	1076	5766
472	1078	5762
473	1080	5759
474	1083	5760
475	1086	5758
476	1088	5755
477	1089	5750
478	1093	5753
479	1095	5753
480	1097	5749
481	1100	5749
482	1102	5745
483	1104	5742
484	1106	5738
485	1109	5737
486	1111	5733
487	1112	5729
488	1114	5725
489	1116	5721
490	1118	5717
491	1120	5713
492	1123	5710
493	1125	5710
494	1127	5707
495	1129	5702
496	1131	5700
497	1134	5699
498	1136	5698
499	1138	5694
500	1141	5692
501	1143	5689
502	1145	5686
503	1147	5682
504	1150	5683
505	1152	5680
506	1154	5677
507	1156	5673
508	1158	5671
509	1160	5667
510	1162	5663
511	1164	5659
512	1166	5657
513	1168	5653
514	1171	5651
515	1180	5680
516	1182	5677
517	1184	5673
518	1186	5671
519	1188	5669
520	1191	5668
521	1193	5664
522	1195	5662
523	1197	5659
524	1199	5656
525	1207	5679
526	1212	5688
527	1214	5686
528	1216	5683
529	1218	5678
530	1220	5674
531	1222	5671
532	1224	5667
533	1226	5664
534	1228	5660
535	1230	5657
536	1232	5653
537	1234	5649
538	1236	5647
539	1238	5643
540	1240	5638
541	1242	5635
542	1244	5631
543	1246	5627
544	1248	5623
545	1250	5622
546	1253	5622
547	1256	5619
548	1258	5619
549	1260	5616
550	1262	5612
551	1264	5608
552	1266	5604
553	1268	5601
554	1270	5598
555	1273	5597
556	1275	5593
557	1277	5589
558	1279	5586
559	1281	5583
560	1283	5579
561	1285	5577
562	1288	5576
563	1290	5574
564	1293	5574
565	1295	5570
566	1297	5567
567	1299	5564
568	1301	5560
569	1304	5559
570	1306	5556
571	1308	5552
572	1310	5549
573	1312	5547
574	1314	5543
575	1316	5540
576	1318	5536
577	1320	5533
578	1322	5529
579	1324	5525
580	1326	5522
581	1329	5522
582	1331	5520
583	1333	5517
584	1335	5514
585	1338	5511
586	1340	5510
587	1342	5507
588	1344	5504
