Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Carboxylic acid,Alkyl Carbon,Allenic Carbon,Vinylic Carbon,Acetylenic Carbon,Carbonyl group. Low specificity,Carbonyl group,Carbonyl with Carbon,Carbonyl with Nitrogen,Carbonyl with Oxygen,Acyl Halide,Aldehyde,Anhydride,Amide,Amidinium,Carbamate,Carbamic ester,Carbamic acid,Carboxylate Ion,Carbonic acid or Carbonic Ester,Carbonic Acid or Carbonic Acid-Ester,Carbonic Ester,Carboxylic acid or conjugate base.,Cyanamide,Ester Also or anhydrides,Ketone,Ether,Primary or secondary amine,Enamine,Primary amine,Two primary or secondary amines,Enamine or Aniline Nitrogen,Azide group,Azide ion,Azo Nitrogen.diazene,Azoxy Nitrogen,Diazo Nitrogen,Azole,Hydrazine,Hydrazone,Imine - Schiff base,Imine - Substutuded/unsubstituted,Iminium,Imide,Dicarboximide,Dicarboxdiimide,Nitrate group,Nitrate Anion,Nitrile,Isonitrile,Nitro,Nitroso,N-oxide,Hydroxyl,Enol,Phenol,Hydroxyl acidic,Peroxide,Carbo-Thiocarboxylate,Carbo-Thioester,Thiol,Thioamide,Sulfide,Sulfinate,Sulfone,Sulfonate,Sulfonamide,Carbo-azosulfone,Sulfoxide,Sulfate,Sulfuric acid ester,Sulfamate,Sulfenic acid,Sulfenate,Trifluoro methyl,Tricloro methyl,Thiourea,Thiophenol,Urea,Lactam,Hydroxylamine,Oxime,Azide,Benzene,Morpholine,Piperidine,Pyrazole,"1,3-oxathiolan-2-one","thiete 1,1-dioxide",thietanone,thietan,oxetane,isoxazole,"1,2,3 triazole",frag000062,frag000353,frag000341,frag000001,frag000119,frag000282,frag000205,frag000275,frag000075,frag000065,frag000044,frag000245,frag000086,frag000140,frag000216,frag000240,frag000215,frag000210,frag000349,frag000350,frag000212,frag000284,frag000344,frag000015,frag000352,frag000337,frag000254,frag000355,frag000002
SM25,11.921976,-3.763437,11.921976,0.090797,0.916766,289.356,274.236,289.077264,104,0.9,1.45,2.05,14.424439,10.820709,11.637206,9.577317,6.22418,7.707343,4.327326,6.009729,2.785268,4.174436,1.762014,2.797095,-2.14,14.272933,6.341718,3.927907,118.055484,0,0,0,5.90718,10.023291,0,4.794537,13.139892,0,0,48.530937,24.117007,6.420822,4.895483,13.212334,15.930471,0,4.722095,0,17.737127,0,66.227122,0,63.24,15.930471,13.212334,11.316305,6.420822,5.563451,12.132734,18.199101,30.331835,4.722095,0,25.920044,0,11.805836,0,0.999777,-0.502124,17.310679,0.645893,0,-3.763437,0.133333,20,1,4,0,0,0,2,0,2,3,1,5,5,0,0,0,2,2.1243,76.5335,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM26,11.282346,-3.478567,11.282346,0.072824,0.822977,227.285,214.181,227.061614,82,1.266667,1.866667,2.4,11.311555,8.433958,9.250455,6.9948,4.544494,6.196759,3.212719,5.054587,1.801521,3.141565,1.166909,2.211374,-1.36,11.713314,4.929027,4.59868,89.363332,0,0,0,15.930471,0,0,9.516632,8.417797,0,0,30.331835,11.984273,6.923737,5.752854,13.212334,15.930471,0,4.722095,0,13.344559,5.752854,35.895287,0,63.24,15.930471,13.212334,5.752854,6.420822,5.563451,6.923737,0,35.05393,0,0,24.487356,0,10.580425,0,0.936507,-0.625545,9.262998,0.406204,1.180622,-3.478567,0.3,15,1,4,0,0,0,1,0,1,3,1,5,4,0,0,0,1,0.695,57.7495,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM27,11.845609,-3.228313,11.845609,0.117662,0.851563,255.339,238.203,255.092914,94,1.294118,1.941176,2.470588,12.355525,9.848172,10.664668,7.992512,5.624827,7.277092,4.709992,6.55186,2.745453,4.290838,1.790513,3.265688,-0.91,12.544415,4.758936,3.523307,102.039408,4.736863,0,0,10.023291,0,0,0,13.139892,0,0,30.331835,18.90801,0,24.505543,13.15466,10.023291,0,4.722095,0,18.883484,18.966618,35.895287,0,55.4,15.562216,8.417797,5.752854,19.634586,5.563451,0,0,37.255573,4.722095,4.736863,31.397363,0,0,0,0.62786,0.117662,9.614384,0.534832,2.769545,-3.228313,0.5,17,1,4,0,1,1,1,0,1,3,1,5,5,0,1,1,2,0.9374,66.2925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM28,11.343948,-2.953807,11.343948,0.061918,0.882139,267.35,250.214,267.092914,98,1.277778,1.888889,2.388889,13.225768,10.348172,11.164668,8.409014,5.939705,7.761072,4.97936,7.04385,3.168662,5.153486,2.480362,4.512667,-1.36,13.08066,4.723354,3.100369,107.316949,5.316789,0,9.837253,5.90718,0,0,4.794537,8.417797,0,0,30.331835,18.405095,6.923737,17.044632,13.212334,15.744433,0,5.316789,0,25.304306,11.505707,35.895287,0,63.24,15.376178,13.212334,17.412887,6.420822,11.984273,6.923737,0,30.331835,5.316789,0,22.687895,0,11.168573,2.800512,0.603768,-0.044718,9.875009,1.436968,1.4258,-2.953807,0.461538,18,1,4,0,1,1,1,0,1,3,1,5,4,0,1,1,2,0.9225,69.9645,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM29,11.284314,-3.177025,11.284314,0.39938,0.851563,255.339,238.203,255.092914,94,1.294118,1.941176,2.411765,12.355525,9.848172,10.664668,7.992512,5.597953,7.489365,4.632956,6.381411,2.893665,3.697468,2.02433,3.03081,-0.91,12.544415,4.758936,3.523307,102.039408,4.736863,0,0,10.023291,0,0,0,13.139892,0,0,30.331835,18.405095,0,25.008458,13.15466,10.023291,0,4.722095,0,18.380568,19.469533,35.895287,0,55.4,15.562216,8.417797,0,13.213764,12.841643,11.819221,0,30.331835,4.722095,4.736863,30.400782,0,0,0,0.817357,0,10.04996,2.811895,0.930364,-3.177025,0.5,17,1,4,0,1,1,1,0,1,3,1,5,5,0,1,1,2,0.9374,66.2925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM30,12.48524,-3.513182,12.48524,0.29258,0.889708,317.41,298.258,317.108564,116,0.954545,1.545455,2.090909,15.468409,12.234923,13.05142,10.597684,7.304513,8.787676,5.677279,7.359682,3.89614,5.49065,2.574651,3.997914,-1.69,15.215118,6.201333,3.376423,130.73156,4.736863,0,0,10.023291,0,0,0,13.139892,0,0,48.530937,30.537829,0,23.648173,13.15466,10.023291,0,4.722095,0,23.276052,13.213764,66.227122,0,55.4,15.562216,8.417797,0,18.109247,12.841643,5.563451,30.331835,18.199101,16.854829,4.736863,33.091937,0,0.29258,0,0.70604,0,18.531375,1.546217,0.845034,-3.513182,0.294118,22,1,4,0,1,1,2,0,2,3,1,5,6,0,1,1,3,2.3667,85.0765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM31,11.909314,-3.417766,11.909314,0.437404,0.839787,284.381,264.221,284.119463,106,1.263158,1.894737,2.368421,13.932875,11.295385,12.111882,8.935887,6.266706,7.70677,5.148218,7.032772,3.317963,4.970363,1.995936,2.945626,-0.95,14.458925,5.582243,3.535529,114.299561,4.736863,0,0,0,10.209329,0,0,0,17.445108,0,30.331835,18.405095,14.095344,18.752689,13.15466,10.209329,0,9.027311,0,18.380568,27.309108,35.895287,0,58.64,15.748254,8.417797,0,13.213764,12.841643,23.964011,0,30.331835,4.722095,4.736863,32.964573,0,0,0,0.74694,0,10.04996,1.573643,0.874809,-0.376591,0.538462,19,1,5,0,1,1,1,0,1,3,1,6,6,0,1,1,2,0.7842,74.0555,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM32,11.330611,-3.110358,11.330611,0.214195,0.885603,271.407,254.271,271.070071,94,1.294118,1.941176,2.411765,12.355525,9.848172,11.481165,7.992512,5.597953,8.644065,4.632956,7.367009,2.893665,5.210888,2.02433,4.369962,-0.52,12.924575,4.9993,3.724923,107.048973,0,0,0,10.023291,0,0,0,13.139892,11.761885,0,30.331835,18.405095,11.505707,11.794694,8.417797,21.785176,0,4.722095,0,18.380568,17.761476,35.895287,0,46.17,10.023291,8.417797,5.538925,0,24.34735,11.819221,11.761885,18.199101,16.854829,0,25.451942,1.792876,0,0,1.048838,1.763698,10.190647,3.029025,0,-3.110358,0.5,17,1,3,0,1,1,1,0,1,3,1,5,5,0,1,1,2,1.654,72.7985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM33,12.531536,-3.446516,12.531536,0.310334,0.883513,333.478,314.326,333.085721,116,0.954545,1.545455,2.090909,15.468409,12.234923,13.867916,10.597684,7.304513,9.942376,5.677279,8.34528,3.89614,7.00407,2.574651,5.337066,-1.3,15.590178,6.442493,3.536709,135.741125,0,0,0,10.023291,0,0,0,13.139892,11.761885,0,48.530937,30.537829,11.505707,10.434409,8.417797,21.785176,0,4.722095,0,23.276052,11.505707,66.227122,0,46.17,10.023291,8.417797,5.538925,4.895483,24.34735,5.563451,36.027353,24.265468,16.854829,0,28.007219,1.788066,0.338876,0,0.937521,1.678367,18.812749,1.71705,0,-3.446516,0.294118,22,1,3,0,1,1,2,0,2,3,1,5,6,0,1,1,3,3.0833,91.5825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM34,11.955611,-3.351099,11.955611,0.274195,0.866008,300.449,280.289,300.09662,106,1.263158,1.894737,2.368421,13.932875,11.295385,12.928378,8.935887,6.266706,8.86147,5.148218,8.01837,3.317963,6.483783,1.995936,4.284778,-0.56,14.840938,5.827616,3.717993,119.309126,0,0,0,0,10.209329,0,0,0,29.206993,0,30.331835,18.405095,25.601051,5.538925,8.417797,21.971214,0,9.027311,0,18.380568,25.601051,35.895287,0,49.41,10.209329,8.417797,5.538925,0,24.34735,9.868667,25.857229,18.199101,16.854829,0,28.000805,1.786073,0,0,0.978422,1.708142,10.190647,1.744476,0,-0.241897,0.538462,19,1,4,0,1,1,1,0,1,3,1,6,6,0,1,1,2,1.5008,80.5615,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
