iter	Passed	Remaining
0	75	225880
1	79	119804
2	84	84163
3	89	66739
4	93	56188
5	98	48937
6	102	43778
7	106	39889
8	110	36885
9	115	34669
10	120	32741
11	124	31081
12	129	29668
13	133	28472
14	137	27445
15	142	26635
16	147	25848
17	151	25175
18	156	24535
19	160	23938
20	165	23445
21	170	23044
22	175	22663
23	180	22360
24	184	21988
25	191	21889
26	196	21596
27	203	21609
28	208	21353
29	212	21036
30	216	20728
31	220	20451
32	224	20220
33	229	20057
34	234	19843
35	238	19631
36	242	19455
37	247	19261
38	251	19082
39	255	18908
40	260	18799
41	265	18664
42	269	18545
43	274	18423
44	279	18359
45	284	18275
46	289	18202
47	294	18141
48	299	18064
49	304	17940
50	309	17888
51	313	17773
52	317	17646
53	321	17522
54	325	17403
55	329	17314
56	333	17201
57	337	17102
58	341	17019
59	345	16942
60	350	16910
61	355	16832
62	359	16777
63	364	16698
64	368	16632
65	372	16574
66	376	16500
67	380	16423
68	385	16385
69	390	16345
70	395	16335
71	400	16276
72	404	16205
73	408	16157
74	412	16101
75	417	16051
76	421	15982
77	425	15939
78	429	15879
79	433	15839
80	437	15777
81	443	15780
82	447	15722
83	451	15665
84	456	15643
85	460	15587
86	463	15530
87	468	15496
88	472	15438
89	475	15388
90	479	15340
91	483	15288
92	487	15234
93	491	15189
94	495	15145
95	499	15106
96	504	15086
97	509	15100
98	513	15049
99	517	15002
100	521	14960
101	525	14931
102	529	14886
103	533	14856
104	537	14815
105	541	14775
106	545	14740
107	549	14701
108	552	14662
109	557	14644
110	561	14604
111	565	14571
112	568	14532
113	573	14516
114	577	14479
115	580	14442
116	585	14437
117	590	14419
118	595	14407
119	599	14381
120	602	14344
121	606	14318
122	610	14288
123	614	14247
124	618	14218
125	622	14191
126	626	14167
127	629	14126
128	633	14097
129	638	14100
130	642	14070
131	646	14041
132	650	14021
133	654	13997
134	658	13973
135	662	13954
136	666	13935
137	670	13907
138	674	13878
139	678	13852
140	682	13839
141	686	13819
142	690	13800
143	694	13775
144	698	13747
145	702	13732
146	707	13722
147	711	13701
148	714	13676
149	718	13652
150	723	13645
151	727	13635
152	731	13619
153	735	13598
154	740	13589
155	744	13577
156	748	13563
157	753	13549
158	757	13543
159	762	13526
160	766	13516
161	770	13495
162	774	13478
163	778	13455
164	782	13446
165	787	13438
166	790	13415
167	794	13396
168	798	13373
169	802	13351
170	805	13327
171	809	13303
172	812	13279
173	816	13255
174	820	13244
175	824	13228
176	828	13208
177	832	13192
178	835	13172
179	840	13169
180	844	13151
181	848	13141
182	852	13126
183	856	13107
184	860	13096
185	864	13079
186	868	13063
187	872	13050
188	876	13030
189	880	13024
190	884	13012
191	888	12994
192	892	12979
193	896	12967
194	902	12981
195	906	12968
196	910	12951
197	913	12932
198	917	12914
199	921	12898
200	925	12882
201	928	12861
202	932	12845
203	936	12835
204	940	12822
205	944	12813
206	949	12811
207	953	12797
208	957	12787
209	961	12769
210	964	12750
211	968	12740
212	972	12725
213	976	12713
214	980	12705
215	985	12698
216	989	12684
217	992	12671
218	996	12656
219	1000	12646
220	1004	12631
221	1008	12618
222	1012	12606
223	1016	12594
224	1020	12589
225	1025	12585
226	1029	12576
227	1034	12582
228	1039	12576
229	1043	12567
230	1047	12559
231	1051	12551
232	1056	12545
233	1061	12543
234	1065	12532
235	1068	12519
236	1073	12514
237	1077	12507
238	1081	12493
239	1085	12485
240	1089	12470
241	1093	12460
242	1096	12445
243	1101	12441
244	1105	12433
245	1109	12418
246	1113	12406
247	1117	12404
248	1121	12391
249	1125	12379
250	1129	12365
251	1133	12356
252	1136	12345
253	1141	12341
254	1145	12328
255	1149	12323
256	1153	12311
257	1157	12304
258	1161	12292
259	1165	12283
260	1169	12270
261	1173	12259
262	1178	12267
263	1185	12285
264	1189	12274
265	1193	12266
266	1197	12252
267	1201	12245
268	1205	12238
269	1209	12231
270	1213	12223
271	1218	12221
272	1223	12219
273	1227	12208
274	1231	12203
275	1235	12192
276	1239	12180
277	1245	12198
278	1250	12192
279	1255	12197
280	1259	12190
281	1263	12180
282	1267	12171
283	1271	12163
284	1275	12151
285	1279	12141
286	1283	12132
287	1287	12123
288	1291	12113
289	1296	12112
290	1300	12105
291	1304	12095
292	1307	12082
293	1311	12068
294	1315	12060
295	1318	12047
296	1322	12036
297	1326	12025
298	1330	12015
299	1334	12006
300	1338	12001
301	1342	11991
302	1348	12000
303	1353	12000
304	1362	12036
305	1366	12034
