Molecule,mpC
CMP000001,92
CMP000002,46
CMP000003,33
CMP000004,125
CMP000005,-55
CMP000006,95
CMP000007,86
CMP000008,58
CMP000009,-69
CMP000010,7
CMP000011,127
CMP000012,-127
CMP000013,87
CMP000014,60
CMP000015,122
CMP000016,66
CMP000017,67
CMP000018,-106
CMP000019,46
CMP000020,-1
CMP000021,-102
CMP000022,-49
CMP000023,14
CMP000024,-1
CMP000025,-108
CMP000026,-14
CMP000027,15
CMP000028,42
CMP000029,41
CMP000030,130
CMP000031,4
CMP000032,96
CMP000033,167
CMP000034,2
CMP000035,137
CMP000036,137
CMP000037,-50
CMP000038,131
CMP000039,10
CMP000040,114
CMP000041,178
CMP000042,270
CMP000043,104
CMP000044,111
CMP000045,49
CMP000046,75
CMP000047,43
CMP000048,115
CMP000049,62
CMP000050,122
CMP000051,-25
CMP000052,-49
CMP000053,14
CMP000054,222
CMP000055,88
CMP000056,-23
CMP000057,116
CMP000058,-12
CMP000059,39
CMP000060,7
CMP000061,137
CMP000062,185
CMP000063,-83
CMP000064,-113
CMP000065,43
CMP000066,172
CMP000067,59
CMP000068,18
CMP000069,141
CMP000070,13
CMP000071,160
CMP000072,-11
CMP000073,193
CMP000074,28
CMP000075,129
CMP000076,-55
CMP000077,80
CMP000078,-138
CMP000079,-79
CMP000080,-76
CMP000081,10
CMP000082,-4
CMP000083,-60
CMP000084,-49
CMP000085,-16
CMP000086,16
CMP000087,58
CMP000088,32
CMP000089,58
CMP000090,129
CMP000091,-50
CMP000092,-7
CMP000093,57
CMP000094,81
CMP000095,40
CMP000096,54
CMP000097,34
CMP000098,177
CMP000099,56
CMP000100,45
CMP000101,18
CMP000102,161
CMP000103,61
CMP000104,207
CMP000105,168
CMP000106,113
CMP000107,110
CMP000108,-90
CMP000109,-57
CMP000110,-6
CMP000111,-22
CMP000112,69
CMP000113,55
CMP000114,242
CMP000115,85
CMP000116,-6
CMP000117,158
CMP000118,85
CMP000119,-142
CMP000120,37
CMP000121,26
CMP000122,38
CMP000123,120
CMP000124,61
CMP000125,126
CMP000126,160
CMP000127,55
CMP000128,179
CMP000129,58
CMP000130,115
CMP000131,75
CMP000132,-24
CMP000133,31
CMP000134,99
CMP000135,224
CMP000136,154
CMP000137,65
CMP000138,5
CMP000139,-100
CMP000140,-101
CMP000141,-86
CMP000142,-46
CMP000143,4
CMP000144,-75
CMP000145,22
CMP000146,-48
CMP000147,-3
CMP000148,-16
CMP000149,-103
CMP000150,175
CMP000151,37
CMP000152,101
CMP000153,50
CMP000154,-93
CMP000155,89
CMP000156,31
CMP000157,40
CMP000158,52
CMP000159,105
CMP000160,214
CMP000161,48
CMP000162,282
CMP000163,68
CMP000164,-2
CMP000165,148
CMP000166,-132
CMP000167,-19
CMP000168,-140
CMP000169,-52
CMP000170,-81
CMP000171,15
CMP000172,4
CMP000173,49
CMP000174,21
CMP000175,57
CMP000176,-81
CMP000177,-23
CMP000178,-119
CMP000179,-34
CMP000180,-43
CMP000181,54
CMP000182,98
CMP000183,203
CMP000184,24
CMP000185,-31
CMP000186,23
CMP000187,-10
CMP000188,-20
CMP000189,2
CMP000190,-42
CMP000191,78
CMP000192,56
CMP000193,-8
CMP000194,-42
CMP000195,27
CMP000196,114
CMP000197,25
CMP000198,32
CMP000199,-20
CMP000200,110
CMP000201,50
CMP000202,73
CMP000203,-17
CMP000204,10
CMP000205,35
CMP000206,139
CMP000207,86
CMP000208,-100
CMP000209,64
CMP000210,-19
CMP000211,-37
CMP000212,26
CMP000213,-7
CMP000214,41
CMP000215,-85
CMP000216,34
CMP000217,103
CMP000218,-44
CMP000219,-66
CMP000220,6
CMP000221,-26
CMP000222,49
CMP000223,32
CMP000224,119
CMP000225,13
CMP000226,32
CMP000227,33
CMP000228,25
CMP000229,120
CMP000230,146
CMP000231,111
CMP000232,272
CMP000233,-99
CMP000234,-58
CMP000235,-8
CMP000236,34
CMP000237,-94
CMP000238,9
CMP000239,-65
CMP000240,-123
CMP000241,160
CMP000242,165
CMP000243,146
CMP000244,84
CMP000245,55
CMP000246,-22
CMP000247,38
CMP000248,-104
CMP000249,45
CMP000250,34
CMP000251,93
CMP000252,23
CMP000253,33
CMP000254,-131
CMP000255,1
CMP000256,-43
CMP000257,50
CMP000258,-26
CMP000259,47
CMP000260,-59
CMP000261,-90
CMP000262,-116
CMP000263,-9
CMP000264,-29
CMP000265,5
CMP000266,95
CMP000267,6
CMP000268,-110
CMP000269,-95
CMP000270,19
CMP000271,-55
CMP000272,28
CMP000273,-1
CMP000274,-85
CMP000275,-58
CMP000276,17
CMP000277,-10
CMP000278,-30
CMP000279,-112
CMP000280,119
CMP000281,16
CMP000282,126
CMP000283,-12
CMP000284,91
CMP000285,35
CMP000286,-16
CMP000287,38
CMP000288,65
CMP000289,70
CMP000290,10
CMP000291,-112
CMP000292,-9
CMP000293,-8
CMP000294,-59
CMP000295,-22
CMP000296,64
CMP000297,-27
CMP000298,75
CMP000299,-16
CMP000300,41
CMP000301,42
CMP000302,79
CMP000303,-118
CMP000304,80
CMP000305,10
CMP000306,56
CMP000307,-8
CMP000308,36
CMP000309,-68
CMP000310,-18
CMP000311,-13
CMP000312,61
CMP000313,56
CMP000314,72
CMP000315,25
CMP000316,-4
CMP000317,27
CMP000318,-19
CMP000319,58
CMP000320,59
CMP000321,60
CMP000322,51
CMP000323,46
CMP000324,33
CMP000325,150
CMP000326,47
CMP000327,46
CMP000328,102
CMP000329,172
CMP000330,74
CMP000331,80
CMP000332,63
CMP000333,47
CMP000334,36
CMP000335,38
CMP000336,158
CMP000337,68
CMP000338,40
CMP000339,70
CMP000340,51
CMP000341,36
CMP000342,55
CMP000343,40
CMP000344,62
CMP000345,62
CMP000346,51
CMP000347,71
CMP000348,164
CMP000349,62
CMP000350,97
CMP000351,72
CMP000352,165
CMP000353,85
CMP000354,180
CMP000355,49
CMP000356,76
CMP000357,55
CMP000358,92
CMP000359,48
CMP000360,118
CMP000361,2
CMP000362,254
CMP000363,207
CMP000364,208
CMP000365,227
CMP000366,117
CMP000367,74
CMP000368,137
CMP000369,88
CMP000370,182
CMP000371,132
CMP000372,32
CMP000373,10
CMP000374,142
CMP000375,101
CMP000376,177
CMP000377,120
CMP000378,197
CMP000379,183
CMP000380,167
CMP000381,65
CMP000382,148
CMP000383,87
CMP000384,39
CMP000385,99
CMP000386,86
CMP000387,78
CMP000388,67
CMP000389,75
CMP000390,186
CMP000391,72
CMP000392,42
CMP000393,24
CMP000394,-3
CMP000395,36
CMP000396,102
CMP000397,104
CMP000398,57
CMP000399,64
CMP000400,111
CMP000401,205
CMP000402,42
CMP000403,72
CMP000404,47
CMP000405,142
CMP000406,38
CMP000407,60
CMP000408,-21
CMP000409,301
CMP000410,271
CMP000411,-8
CMP000412,202
CMP000413,16
CMP000414,68
CMP000415,-70
CMP000416,52
CMP000417,63
CMP000418,1
CMP000419,49
CMP000420,179
CMP000421,79
CMP000422,18
CMP000423,182
CMP000424,28
CMP000425,-21
CMP000426,42
CMP000427,82
CMP000428,59
CMP000429,-67
CMP000430,138
CMP000431,-3
CMP000432,-13
CMP000433,251
CMP000434,-2
CMP000435,41
CMP000436,182
CMP000437,-72
CMP000438,-16
CMP000439,60
CMP000440,-141
CMP000441,216
CMP000442,80
CMP000443,-72
CMP000444,74
CMP000445,247
CMP000446,101
CMP000447,-34
CMP000448,9
CMP000449,191
CMP000450,47
CMP000451,163
CMP000452,65
CMP000453,96
CMP000454,254
CMP000455,131
CMP000456,81
CMP000457,132
CMP000458,122
CMP000459,83
CMP000460,42
CMP000461,77
CMP000462,113
CMP000463,87
CMP000464,55
CMP000465,73
CMP000466,82
CMP000467,101
CMP000468,12
CMP000469,90
CMP000470,174
CMP000471,-1
CMP000472,85
CMP000473,56
CMP000474,25
CMP000475,-17
CMP000476,6
CMP000477,130
CMP000478,197
CMP000479,128
CMP000480,-12
CMP000481,-13
CMP000482,121
CMP000483,-43
CMP000484,70
CMP000485,104
CMP000486,-38
CMP000487,54
CMP000488,55
CMP000489,210
CMP000490,21
CMP000491,4
CMP000492,-34
CMP000493,81
CMP000494,-20
CMP000495,88
CMP000496,84
CMP000497,34
CMP000498,62
CMP000499,146
CMP000500,118
CMP000501,127
CMP000502,163
CMP000503,158
CMP000504,27
CMP000505,263
CMP000506,93
CMP000507,13
CMP000508,121
CMP000509,28
CMP000510,78
CMP000511,-49
CMP000512,20
CMP000513,120
CMP000514,112
CMP000515,-1
CMP000516,177
CMP000517,111
CMP000518,134
CMP000519,242
CMP000520,234
CMP000521,14
CMP000522,89
CMP000523,182
CMP000524,144
CMP000525,76
CMP000526,175
CMP000527,68
CMP000528,66
CMP000529,50
CMP000530,174
CMP000531,124
CMP000532,28
CMP000533,97
CMP000534,119
CMP000535,51
CMP000536,35
CMP000537,88
CMP000538,84
CMP000539,186
CMP000540,64
CMP000541,197
CMP000542,130
CMP000543,32
CMP000544,-79
CMP000545,91
CMP000546,-26
CMP000547,34
CMP000548,175
CMP000549,48
CMP000550,54
CMP000551,130
CMP000552,135
CMP000553,10
CMP000554,149
CMP000555,34
CMP000556,70
CMP000557,82
CMP000558,60
CMP000559,78
CMP000560,-95
CMP000561,177
CMP000562,89
CMP000563,62
CMP000564,121
CMP000565,122
CMP000566,203
CMP000567,-23
CMP000568,8
CMP000569,139
CMP000570,-52
CMP000571,-63
CMP000572,-20
CMP000573,36
CMP000574,125
CMP000575,79
CMP000576,11
CMP000577,-59
CMP000578,-84
CMP000579,44
CMP000580,-25
CMP000581,57
CMP000582,64
CMP000583,-23
CMP000584,132
CMP000585,172
CMP000586,-4
CMP000587,-34
CMP000588,38
CMP000589,134
CMP000590,-7
CMP000591,40
CMP000592,66
CMP000593,118
CMP000594,80
CMP000595,43
CMP000596,-12
CMP000597,99
CMP000598,36
CMP000599,146
CMP000600,55
CMP000601,99
CMP000602,-53
CMP000603,152
CMP000604,103
CMP000605,169
CMP000606,-89
CMP000607,30
CMP000608,-35
CMP000609,58
CMP000610,61
CMP000611,126
CMP000612,10
CMP000613,66
CMP000614,59
CMP000615,-18
CMP000616,71
CMP000617,58
CMP000618,173
CMP000619,138
CMP000620,82
CMP000621,61
CMP000622,52
CMP000623,36
CMP000624,-7
CMP000625,152
CMP000626,-6
CMP000627,64
CMP000628,106
CMP000629,4
CMP000630,55
CMP000631,71
CMP000632,123
CMP000633,63
CMP000634,118
CMP000635,50
CMP000636,36
CMP000637,375
CMP000638,-10
CMP000639,-5
CMP000640,-60
CMP000641,-31
CMP000642,151
CMP000643,59
CMP000644,160
CMP000645,30
CMP000646,219
CMP000647,31
CMP000648,33
CMP000649,-41
CMP000650,95
CMP000651,52
CMP000652,-69
CMP000653,137
CMP000654,37
CMP000655,82
CMP000656,133
CMP000657,-34
CMP000658,-8
CMP000659,-31
CMP000660,40
CMP000661,44
CMP000662,-74
CMP000663,-18
CMP000664,-35
CMP000665,-100
CMP000666,30
CMP000667,41
CMP000668,62
CMP000669,-1
CMP000670,-55
CMP000671,35
CMP000672,-65
CMP000673,10
CMP000674,33
CMP000675,5
CMP000676,50
CMP000677,37
CMP000678,66
CMP000679,147
CMP000680,146
CMP000681,81
CMP000682,-37
CMP000683,37
CMP000684,123
CMP000685,69
CMP000686,75
CMP000687,180
CMP000688,141
CMP000689,213
CMP000690,180
CMP000691,187
CMP000692,110
CMP000693,37
CMP000694,81
CMP000695,-32
CMP000696,169
CMP000697,139
CMP000698,162
CMP000699,62
CMP000700,23
CMP000701,52
CMP000702,-20
CMP000703,-44
CMP000704,128
CMP000705,17
CMP000706,-11
CMP000707,42
CMP000708,104
CMP000709,120
CMP000710,234
CMP000711,210
CMP000712,-20
CMP000713,99
CMP000714,79
CMP000715,167
CMP000716,4
CMP000717,77
CMP000718,178
CMP000719,140
CMP000720,-14
CMP000721,44
CMP000722,70
CMP000723,54
CMP000724,17
CMP000725,55
CMP000726,228
CMP000727,166
CMP000728,66
CMP000729,85
CMP000730,14
CMP000731,223
CMP000732,-36
CMP000733,119
CMP000734,-30
CMP000735,165
CMP000736,-42
CMP000737,80
CMP000738,6
CMP000739,46
CMP000740,61
CMP000741,49
CMP000742,77
CMP000743,180
CMP000744,132
CMP000745,118
CMP000746,45
CMP000747,217
CMP000748,126
CMP000749,83
CMP000750,127
CMP000751,70
CMP000752,40
CMP000753,30
CMP000754,118
CMP000755,17
CMP000756,28
CMP000757,18
CMP000758,73
CMP000759,198
CMP000760,294
CMP000761,-78
CMP000762,81
CMP000763,117
CMP000764,-67
CMP000765,-107
CMP000766,-114
CMP000767,190
CMP000768,-43
CMP000769,-3
CMP000770,18
CMP000771,135
CMP000772,44
CMP000773,-42
CMP000774,70
CMP000775,37
CMP000776,101
CMP000777,130
CMP000778,89
CMP000779,85
CMP000780,61
CMP000781,78
CMP000782,56
CMP000783,33
CMP000784,89
CMP000785,47
CMP000786,73
CMP000787,11
CMP000788,32
CMP000789,88
CMP000790,112
CMP000791,133
CMP000792,250
CMP000793,139
CMP000794,104
CMP000795,96
CMP000796,131
CMP000797,201
CMP000798,169
CMP000799,61
CMP000800,66
CMP000801,97
CMP000802,47
CMP000803,189
CMP000804,43
CMP000805,131
CMP000806,154
CMP000807,170
CMP000808,32
CMP000809,51
CMP000810,47
CMP000811,62
CMP000812,154
CMP000813,97
CMP000814,152
CMP000815,97
CMP000816,37
CMP000817,32
CMP000818,70
CMP000819,190
CMP000820,38
CMP000821,50
CMP000822,68
CMP000823,-68
CMP000824,63
CMP000825,79
CMP000826,52
CMP000827,63
CMP000828,43
CMP000829,139
CMP000830,58
CMP000831,140
CMP000832,105
CMP000833,77
CMP000834,59
CMP000835,74
CMP000836,74
CMP000837,37
CMP000838,16
CMP000839,67
CMP000840,49
CMP000841,-39
CMP000842,74
CMP000843,46
CMP000844,68
CMP000845,94
CMP000846,69
CMP000847,45
CMP000848,-19
CMP000849,75
CMP000850,48
CMP000851,111
CMP000852,116
CMP000853,31
CMP000854,144
CMP000855,41
CMP000856,286
CMP000857,-79
CMP000858,149
CMP000859,66
CMP000860,44
CMP000861,125
CMP000862,92
CMP000863,54
CMP000864,142
CMP000865,104
CMP000866,78
CMP000867,160
CMP000868,37
CMP000869,155
CMP000870,-74
CMP000871,144
CMP000872,92
CMP000873,47
CMP000874,112
CMP000875,64
CMP000876,71
CMP000877,156
CMP000878,-73
CMP000879,14
CMP000880,81
CMP000881,117
CMP000882,131
CMP000883,116
CMP000884,62
CMP000885,-91
CMP000886,69
CMP000887,167
CMP000888,34
CMP000889,137
CMP000890,78
CMP000891,106
CMP000892,80
CMP000893,171
CMP000894,42
CMP000895,19
CMP000896,96
CMP000897,110
CMP000898,-50
CMP000899,102
CMP000900,194
CMP000901,53
CMP000902,-70
CMP000903,217
CMP000904,177
CMP000905,178
CMP000906,-56
CMP000907,75
CMP000908,45
CMP000909,183
CMP000910,227
CMP000911,199
CMP000912,66
CMP000913,178
CMP000914,66
CMP000915,186
CMP000916,200
CMP000917,181
CMP000918,200
CMP000919,41
CMP000920,200
CMP000921,66
CMP000922,178
CMP000923,-65
CMP000924,53
CMP000925,72
CMP000926,69
CMP000927,-11
CMP000928,214
CMP000929,171
CMP000930,79
CMP000931,40
CMP000932,234
CMP000933,42
CMP000934,130
CMP000935,87
CMP000936,-8
CMP000937,132
CMP000938,100
CMP000939,80
CMP000940,111
CMP000941,74
CMP000942,102
CMP000943,-32
CMP000944,223
CMP000945,83
CMP000946,63
CMP000947,46
CMP000948,11
CMP000949,172
CMP000950,115
CMP000951,257
CMP000952,98
CMP000953,150
CMP000954,109
CMP000955,30
CMP000956,86
CMP000957,92
CMP000958,137
CMP000959,52
CMP000960,148
CMP000961,170
CMP000962,150
CMP000963,200
CMP000964,150
CMP000965,8
CMP000966,30
CMP000967,120
CMP000968,158
CMP000969,206
CMP000970,70
CMP000971,73
CMP000972,220
CMP000973,57
CMP000974,58
CMP000975,42
CMP000976,42
CMP000977,184
CMP000978,189
CMP000979,91
CMP000980,131
CMP000981,73
CMP000982,28
CMP000983,127
CMP000984,97
CMP000985,60
CMP000986,219
CMP000987,33
CMP000988,138
CMP000989,4
CMP000990,176
CMP000991,185
CMP000992,113
CMP000993,156
CMP000994,147
CMP000995,-20
CMP000996,173
CMP000997,124
CMP000998,93
CMP000999,83
CMP001000,31
CMP001001,72
CMP001002,48
CMP001003,189
CMP001004,218
CMP001005,-70
CMP001006,99
CMP001007,-60
CMP001008,-60
CMP001009,-30
CMP001010,178
CMP001011,116
CMP001012,92
CMP001013,132
CMP001014,29
CMP001015,-9
CMP001016,38
CMP001017,-100
CMP001018,185
CMP001019,51
CMP001020,91
CMP001021,71
CMP001022,69
CMP001023,124
CMP001024,47
CMP001025,-5
CMP001026,15
CMP001027,145
CMP001028,139
CMP001029,29
CMP001030,48
CMP001031,160
CMP001032,204
CMP001033,167
CMP001034,36
CMP001035,63
CMP001036,217
CMP001037,94
CMP001038,80
CMP001039,44
CMP001040,99
CMP001041,-42
CMP001042,142
CMP001043,147
CMP001044,161
CMP001045,123
CMP001046,158
CMP001047,206
CMP001048,52
CMP001049,55
CMP001050,154
CMP001051,119
CMP001052,189
CMP001053,31
CMP001054,79
CMP001055,55
CMP001056,96
CMP001057,16
CMP001058,50
CMP001059,-34
CMP001060,-40
CMP001061,163
CMP001062,109
CMP001063,182
CMP001064,23
CMP001065,109
CMP001066,18
CMP001067,60
CMP001068,-22
CMP001069,4
CMP001070,29
CMP001071,202
CMP001072,186
CMP001073,46
CMP001074,189
CMP001075,100
CMP001076,30
CMP001077,60
CMP001078,42
CMP001079,43
CMP001080,79
CMP001081,50
CMP001082,142
CMP001083,18
CMP001084,1
CMP001085,73
CMP001086,-40
CMP001087,-44
CMP001088,40
CMP001089,-70
CMP001090,-65
