iter	RMSE
0	2.460635757
1	2.432427733
2	2.409751696
3	2.386414582
4	2.362398543
5	2.342234963
6	2.322289784
7	2.303505014
8	2.284151867
9	2.267728837
10	2.252607497
11	2.237470867
12	2.222776941
13	2.210092696
14	2.196714948
15	2.184684798
16	2.17240919
17	2.16209275
18	2.151973714
19	2.143746486
20	2.13454358
21	2.124527611
22	2.115924928
23	2.106977511
24	2.097897359
25	2.089303523
26	2.081830815
27	2.074882013
28	2.068153278
29	2.060738597
30	2.055435944
31	2.048803701
32	2.042825914
33	2.036361813
34	2.030479523
35	2.024403985
36	2.019584018
37	2.015015879
38	2.01075277
39	2.005868623
40	2.001249922
41	1.99606392
42	1.989736158
43	1.986744198
44	1.981190781
45	1.977493496
46	1.97470349
47	1.970749076
48	1.966522965
49	1.961167473
50	1.956456145
51	1.951805743
52	1.948078093
53	1.943120202
54	1.940183559
55	1.935968383
56	1.932468014
57	1.929490363
58	1.926064368
59	1.923313877
60	1.920442561
61	1.917060623
62	1.914013642
63	1.909369527
64	1.906120403
65	1.902399049
66	1.899366444
67	1.897029129
68	1.8937513
69	1.891426415
70	1.889726284
71	1.886131647
72	1.883101844
73	1.880195185
74	1.876534185
75	1.874096691
76	1.872343244
77	1.869877769
78	1.866818978
79	1.864030467
80	1.861459262
81	1.858718999
82	1.856650932
83	1.853865651
84	1.851920301
85	1.849794343
86	1.846160944
87	1.843038554
88	1.839827506
89	1.83800252
90	1.835973192
91	1.833565712
92	1.831726902
93	1.83031316
94	1.827374603
95	1.825553357
96	1.822971345
97	1.821097445
98	1.819095274
99	1.816599127
100	1.814771677
101	1.813241365
102	1.811127273
103	1.808708045
104	1.806785759
105	1.804682957
106	1.802752712
107	1.800220943
108	1.798059796
109	1.795344159
110	1.792628373
111	1.790929058
112	1.789303012
113	1.787565944
114	1.784378978
115	1.78229017
116	1.780318794
117	1.779041051
118	1.777549559
119	1.775581601
120	1.774466176
121	1.771578976
122	1.769535032
123	1.768002688
124	1.765826529
125	1.764794658
126	1.763704508
127	1.761783774
128	1.760011218
129	1.758072479
130	1.756283844
131	1.754125372
132	1.751702663
133	1.749431094
134	1.74790312
135	1.746385963
136	1.744747307
137	1.742663891
138	1.741229621
139	1.739712947
140	1.739168991
141	1.737841354
142	1.736520948
143	1.734912179
144	1.733674219
145	1.73194612
146	1.730540981
147	1.728815242
148	1.727411767
149	1.726155379
150	1.724543951
151	1.722809949
152	1.721075472
153	1.717813886
154	1.715690859
155	1.714030143
156	1.713072462
157	1.711774517
158	1.710337118
159	1.70896269
160	1.707897476
161	1.705767326
162	1.703884641
163	1.702634202
164	1.701065611
165	1.69894992
166	1.697372117
167	1.696023416
168	1.694560871
169	1.692619228
170	1.690068516
171	1.688066075
172	1.686869751
173	1.685045606
174	1.683625726
175	1.68248322
176	1.680435051
177	1.679173653
178	1.677435027
179	1.676183223
180	1.67501544
181	1.673073672
182	1.672180518
183	1.671282288
184	1.66958453
185	1.668497178
186	1.667093953
187	1.664468599
188	1.66263825
189	1.660694029
190	1.659549025
191	1.6586463
192	1.657138871
193	1.655565046
194	1.654226614
195	1.652883254
196	1.651727035
197	1.650571742
198	1.649571367
199	1.647629667
200	1.64668055
201	1.645746258
202	1.643958103
203	1.641461197
204	1.640747583
205	1.638698996
206	1.636551509
207	1.635257065
208	1.63431595
209	1.633591239
210	1.632199467
211	1.630305825
212	1.628321122
213	1.62725147
214	1.625594082
215	1.624217923
216	1.622913976
217	1.622052545
218	1.621208838
219	1.619776689
220	1.618660838
221	1.61723871
222	1.616057727
223	1.614813056
224	1.613557918
225	1.611379583
226	1.609829288
227	1.60768737
228	1.606427752
229	1.605726234
230	1.604307869
231	1.601945435
232	1.601236959
233	1.599174835
234	1.597405773
235	1.595919392
236	1.593786218
237	1.59255077
238	1.591306695
239	1.589067087
240	1.588173098
241	1.586630763
242	1.585285402
243	1.583706854
244	1.583075284
245	1.581410114
246	1.579232813
247	1.577583369
248	1.576667187
249	1.574981006
250	1.573864499
251	1.571672057
252	1.569475966
253	1.567634841
254	1.566947931
255	1.565733443
256	1.564538279
257	1.56392805
258	1.562246932
259	1.560342207
260	1.558356108
261	1.556602967
262	1.555415033
263	1.554285633
264	1.552601523
265	1.550995284
266	1.54899296
267	1.547256619
268	1.54609752
269	1.544997092
270	1.543442612
271	1.542302278
272	1.540979051
273	1.53976159
274	1.538818052
275	1.537615668
276	1.536683398
277	1.53542215
278	1.53454741
279	1.532950117
280	1.532003037
281	1.53079325
282	1.529317252
283	1.52765223
284	1.526138434
285	1.525337956
286	1.523564178
287	1.521939587
288	1.521069871
289	1.519191219
290	1.517607659
291	1.516586946
292	1.51492296
293	1.514305407
294	1.513498026
295	1.511954323
296	1.510839691
297	1.510228815
298	1.508519331
299	1.507369102
300	1.505445932
301	1.503916846
302	1.502547349
303	1.500914355
304	1.50048139
305	1.499795398
306	1.498715029
307	1.496963173
308	1.496245944
309	1.494825916
310	1.493353091
311	1.492529264
312	1.491683841
313	1.490562093
314	1.489037849
315	1.488296722
316	1.486967798
317	1.485872764
318	1.485081541
319	1.484406124
320	1.483602274
321	1.481951396
322	1.480864166
323	1.479874184
324	1.479139055
325	1.47805522
326	1.476455028
327	1.475276074
328	1.474368724
329	1.472486475
330	1.471581055
331	1.470422442
332	1.469604766
333	1.46844602
334	1.467001044
335	1.465233842
336	1.463751938
337	1.462570353
338	1.461612185
339	1.460067965
340	1.458479812
341	1.457640411
342	1.456939613
343	1.455644762
344	1.454495063
345	1.453598043
346	1.452670522
347	1.451081752
348	1.450179244
349	1.449244824
350	1.448185641
351	1.447256223
352	1.446065187
353	1.44526946
354	1.444297129
355	1.442962494
356	1.441139162
357	1.440360341
358	1.439339253
359	1.438713589
360	1.43758763
361	1.437079676
362	1.43620497
363	1.434419801
364	1.433450191
365	1.433022341
366	1.432116628
367	1.431465837
368	1.430044567
369	1.429372311
370	1.428915834
371	1.427866387
372	1.42723188
373	1.426227308
374	1.42547275
375	1.42495477
376	1.423797178
377	1.422416927
378	1.421293752
379	1.419541384
380	1.418234179
381	1.417185217
382	1.415824219
383	1.414641175
384	1.414227348
385	1.413425643
386	1.412235979
387	1.411184669
388	1.409352351
389	1.408704286
390	1.407774299
391	1.4064851
392	1.40562556
393	1.404461954
394	1.403696643
395	1.402054025
396	1.400716625
397	1.400235522
398	1.399015497
399	1.398423511
400	1.398013736
401	1.396903942
402	1.395869652
403	1.394930852
404	1.393542164
405	1.392408795
406	1.391515297
407	1.391072311
408	1.390237621
409	1.389105761
410	1.388163491
411	1.38742237
412	1.386584071
413	1.385400057
414	1.384413697
415	1.382992033
416	1.381753492
417	1.380884099
418	1.380427277
419	1.379412478
420	1.379054888
421	1.378057475
422	1.377619524
423	1.377018313
424	1.37624615
425	1.374518897
426	1.373638742
427	1.372115141
