iter	Passed	Remaining
0	70	212378
1	79	119821
2	88	88151
3	96	72285
4	105	62914
5	115	57402
6	121	52133
7	128	48134
8	136	45420
9	147	44056
10	155	42199
11	163	40619
12	170	39136
13	177	37869
14	185	36907
15	195	36376
16	203	35728
17	211	34989
18	218	34248
19	225	33604
20	237	33646
21	248	33703
22	260	33731
23	271	33669
24	279	33239
25	287	32880
26	295	32524
27	304	32297
28	323	33119
29	331	32770
30	340	32627
31	348	32339
32	355	31970
33	366	31966
34	374	31754
35	382	31533
36	391	31363
37	399	31158
38	410	31159
39	417	30900
40	424	30638
41	432	30445
42	441	30342
43	447	30089
44	456	29965
45	463	29749
46	470	29542
47	478	29429
48	488	29426
49	496	29320
50	505	29229
51	512	29062
52	521	29024
53	531	28978
54	539	28871
55	546	28708
56	554	28619
57	567	28764
58	574	28613
59	581	28475
60	589	28389
61	596	28268
62	604	28193
63	612	28087
64	620	27995
65	626	27854
66	634	27765
67	641	27648
68	650	27640
69	658	27554
70	665	27473
71	678	27601
72	690	27677
73	698	27618
74	706	27542
75	715	27519
76	724	27518
77	738	27674
78	748	27692
79	756	27620
80	765	27603
81	774	27574
82	786	27638
83	795	27598
84	802	27528
85	811	27489
86	818	27419
87	827	27383
88	834	27299
89	841	27201
90	851	27225
91	858	27128
92	865	27060
93	872	26959
94	880	26931
95	888	26870
96	896	26840
97	903	26755
98	912	26737
99	921	26712
100	930	26717
101	937	26634
102	945	26591
103	953	26545
104	961	26500
105	969	26459
106	977	26428
107	985	26380
108	993	26345
109	1000	26279
110	1007	26234
111	1015	26186
112	1023	26136
113	1030	26085
114	1037	26019
115	1044	25975
116	1054	25993
117	1061	25936
118	1068	25868
119	1075	25819
120	1087	25878
121	1096	25868
122	1103	25814
123	1110	25752
124	1118	25715
125	1125	25667
126	1132	25619
127	1140	25588
128	1147	25536
129	1155	25511
130	1162	25449
131	1168	25390
132	1177	25392
133	1186	25379
134	1193	25334
135	1200	25272
136	1207	25226
137	1216	25220
138	1223	25180
139	1229	25124
140	1238	25103
141	1245	25059
142	1252	25022
143	1260	25009
144	1267	24960
145	1274	24914
146	1281	24876
147	1289	24843
148	1297	24832
149	1305	24796
150	1313	24787
151	1322	24777
152	1329	24738
153	1345	24871
154	1368	25116
155	1419	25886
156	1455	26354
157	1467	26404
158	1478	26416
159	1486	26377
160	1493	26329
161	1501	26302
162	1508	26262
163	1518	26265
164	1526	26230
165	1534	26193
166	1543	26187
167	1551	26145
168	1557	26094
169	1564	26050
170	1572	26018
171	1583	26030
172	1590	25986
173	1597	25944
174	1605	25911
175	1616	25931
176	1624	25907
177	1631	25866
178	1638	25824
179	1645	25777
180	1652	25742
181	1660	25709
182	1668	25684
183	1677	25668
184	1686	25665
185	1694	25629
186	1705	25654
187	1715	25661
188	1723	25636
189	1732	25618
190	1742	25624
191	1752	25630
192	1760	25599
193	1768	25585
194	1776	25556
195	1789	25607
196	1798	25590
197	1806	25560
198	1814	25537
199	1821	25507
200	1831	25498
201	1841	25503
202	1850	25490
203	1857	25456
204	1866	25444
205	1874	25426
206	1883	25411
207	1889	25367
208	1897	25342
209	1904	25298
210	1914	25303
211	1921	25267
212	1928	25229
213	1938	25232
214	1952	25292
215	1965	25338
216	1975	25336
217	1984	25319
218	1994	25329
219	2006	25349
220	2040	25663
221	2050	25661
222	2057	25622
223	2064	25582
224	2074	25588
225	2083	25569
226	2091	25548
227	2098	25511
228	2106	25493
229	2117	25503
230	2125	25477
231	2132	25442
232	2140	25414
233	2147	25383
234	2154	25346
235	2162	25324
236	2169	25296
237	2177	25271
238	2183	25228
239	2190	25196
240	2197	25157
241	2207	25154
242	2213	25118
243	2220	25084
244	2227	25052
245	2234	25017
246	2245	25029
247	2252	24994
248	2258	24955
249	2265	24918
250	2272	24890
251	2279	24856
252	2288	24842
253	2294	24807
254	2301	24769
255	2307	24738
256	2314	24707
257	2321	24676
258	2330	24664
259	2343	24694
260	2350	24663
261	2356	24630
262	2363	24591
263	2373	24601
264	2381	24579
265	2389	24562
266	2396	24535
267	2405	24518
268	2413	24502
269	2420	24473
270	2428	24454
271	2435	24426
272	2443	24412
273	2452	24396
274	2460	24376
275	2467	24353
276	2475	24338
277	2482	24306
278	2490	24284
279	2497	24262
280	2505	24242
281	2512	24214
282	2519	24185
283	2526	24158
284	2537	24175
285	2543	24140
286	2551	24117
287	2558	24096
288	2565	24066
289	2572	24041
290	2580	24023
291	2588	24001
292	2594	23971
293	2604	23971
294	2611	23941
295	2619	23925
296	2625	23898
297	2634	23890
298	2642	23868
299	2649	23841
300	2656	23823
301	2665	23814
302	2672	23789
303	2679	23761
304	2685	23730
305	2693	23716
306	2702	23706
307	2709	23682
308	2716	23654
309	2723	23632
