iter	RMSE
0	2.248908016
1	2.177111455
2	2.109313439
3	2.049623541
4	1.989459887
5	1.932114003
6	1.882742964
7	1.832455634
8	1.786327631
9	1.742441068
10	1.698088621
11	1.661555828
12	1.624097998
13	1.587016083
14	1.552069636
15	1.519324991
16	1.489939673
17	1.464981577
18	1.437041553
19	1.413473166
20	1.392525388
21	1.370795326
22	1.350803685
23	1.334325245
24	1.317751657
25	1.302365855
26	1.286586471
27	1.271569593
28	1.256311717
29	1.24248315
30	1.230062039
31	1.218036469
32	1.206280961
33	1.196778783
34	1.186419634
35	1.176822142
36	1.167408923
37	1.159590202
38	1.151710658
39	1.144657327
40	1.137447705
41	1.129922656
42	1.123837128
43	1.117532832
44	1.111384726
45	1.105768978
46	1.100805976
47	1.095221736
48	1.090770736
49	1.085813086
50	1.081325754
51	1.076966151
52	1.071741603
53	1.068360785
54	1.065164809
55	1.060470574
56	1.056149002
57	1.05143892
58	1.04757657
59	1.043521128
60	1.040853913
61	1.038034546
62	1.0355429
63	1.03302501
64	1.029998537
65	1.027958613
66	1.025602678
67	1.022159155
68	1.019779577
69	1.017000986
70	1.014256447
71	1.012121184
72	1.009958605
73	1.007710651
74	1.005276152
75	1.003710965
76	1.000623601
77	0.998376224
78	0.9964197659
79	0.9945258975
80	0.9925960369
81	0.9910724944
82	0.9893585428
83	0.9874206771
84	0.9851188116
85	0.9829744562
86	0.9804231616
87	0.9788352214
88	0.9773801537
89	0.9755279748
90	0.9740131771
91	0.9725207555
92	0.9711984233
93	0.9701508433
94	0.9683130652
95	0.9671066022
96	0.9659567994
97	0.964492462
98	0.9630112672
99	0.9613227015
100	0.960513603
101	0.9589591513
102	0.9581440995
103	0.9566095368
104	0.9552182995
105	0.953864094
106	0.9523991312
107	0.9509453496
108	0.9499185415
109	0.9481239158
110	0.9465063461
111	0.9457476867
112	0.9443322816
113	0.9434406927
114	0.9423791693
115	0.9418193116
116	0.9401396508
117	0.9394219145
118	0.9386555022
119	0.9374174573
120	0.9366405009
121	0.9345492265
122	0.9332140087
123	0.9321292294
124	0.9311061398
125	0.9300722009
126	0.9288806637
127	0.9276000818
128	0.9263811427
129	0.9253544156
130	0.9243503423
131	0.9235868005
