iter	Passed	Remaining
0	64	192105
1	68	102187
2	71	71706
3	74	56041
4	77	46639
5	81	40426
6	84	36248
7	87	32853
8	91	30280
9	94	28110
10	97	26406
11	101	25187
12	105	24188
13	108	23207
14	114	22841
15	122	22905
16	127	22353
17	131	21805
18	144	22674
19	148	22082
20	151	21492
21	154	20928
22	158	20473
23	161	20047
24	164	19583
25	167	19183
26	171	18838
27	174	18473
28	177	18156
29	180	17883
30	184	17638
31	187	17414
32	191	17217
33	194	17006
34	197	16765
35	200	16545
36	203	16330
37	207	16135
38	209	15930
39	212	15746
40	215	15549
41	218	15419
42	222	15310
43	225	15147
44	228	15008
45	231	14848
46	234	14708
47	237	14628
48	240	14509
49	243	14380
50	246	14251
51	249	14155
52	252	14053
53	256	13968
54	259	13918
55	264	13880
56	270	13972
57	274	13945
58	278	13873
59	282	13828
60	285	13762
61	288	13693
62	292	13638
63	296	13586
64	301	13614
65	304	13558
66	309	13531
67	314	13563
68	318	13526
69	321	13457
70	324	13383
71	327	13308
72	330	13239
73	333	13178
74	336	13130
75	340	13091
76	342	13020
77	346	12965
78	348	12903
79	352	12854
80	355	12809
81	362	12882
82	365	12836
83	367	12773
84	370	12717
85	374	12681
86	377	12649
87	380	12601
88	383	12552
89	386	12502
90	389	12461
91	392	12408
92	395	12376
93	398	12325
94	401	12279
95	404	12239
96	407	12207
97	411	12175
98	414	12148
99	417	12108
100	420	12076
101	423	12030
102	426	11986
103	429	11963
104	432	11918
105	435	11878
106	437	11838
107	441	11818
108	444	11780
109	447	11754
110	450	11723
111	454	11707
112	456	11673
113	459	11640
114	462	11609
115	465	11566
116	468	11534
117	470	11499
118	473	11469
119	476	11438
120	479	11407
121	482	11376
122	485	11355
123	488	11333
124	492	11316
125	495	11291
126	498	11269
127	502	11280
128	506	11262
129	509	11242
130	513	11235
131	516	11213
132	518	11186
133	522	11168
134	524	11138
135	528	11121
136	531	11100
137	534	11084
138	537	11057
139	540	11032
140	543	11017
141	546	10989
142	548	10965
143	551	10945
144	554	10923
145	557	10905
146	560	10878
147	563	10862
148	567	10850
149	570	10836
150	574	10831
151	577	10818
152	580	10798
153	583	10777
154	585	10755
155	589	10741
156	592	10726
157	595	10704
158	598	10687
159	601	10678
160	608	10727
161	611	10709
162	614	10695
163	617	10676
164	619	10652
165	623	10638
166	625	10618
167	628	10596
168	631	10584
169	634	10570
170	637	10552
171	640	10532
172	644	10528
173	647	10521
174	650	10497
175	653	10478
176	656	10474
177	659	10456
178	662	10435
179	665	10421
180	668	10412
181	671	10399
182	674	10385
183	677	10365
184	680	10347
185	683	10343
186	686	10333
187	690	10324
188	693	10314
189	696	10302
190	699	10291
191	703	10293
192	708	10307
193	711	10296
194	714	10279
195	717	10263
196	721	10266
197	724	10258
198	727	10245
199	730	10230
200	733	10215
201	736	10204
202	739	10195
203	742	10179
204	745	10165
205	748	10147
206	751	10133
207	754	10122
208	757	10110
209	760	10108
210	764	10103
211	767	10095
212	770	10085
213	774	10081
214	777	10067
215	780	10058
216	783	10044
217	786	10034
218	789	10027
219	792	10017
220	795	10004
221	799	10007
222	803	10003
223	806	9988
224	809	9979
225	812	9966
226	814	9951
227	818	9946
228	820	9933
229	823	9917
230	832	9980
231	836	9978
232	840	9976
233	851	10063
234	854	10059
235	858	10052
236	861	10041
237	865	10043
238	868	10035
239	871	10025
240	875	10025
241	879	10025
242	883	10021
243	886	10016
244	890	10010
245	893	10002
246	899	10030
247	904	10032
248	907	10025
249	911	10021
250	916	10039
251	920	10034
252	923	10028
253	926	10018
254	929	10004
255	932	9992
256	935	9979
257	938	9973
258	940	9957
259	943	9944
260	946	9933
261	950	9928
262	953	9917
263	955	9906
264	958	9895
265	961	9884
266	964	9870
267	967	9858
268	970	9849
269	973	9838
270	975	9824
271	978	9813
272	981	9802
273	984	9790
274	987	9782
275	990	9779
276	993	9768
277	996	9756
278	999	9747
279	1001	9733
280	1004	9722
281	1007	9713
282	1010	9702
283	1013	9690
284	1016	9679
285	1018	9667
286	1021	9660
287	1024	9651
288	1028	9643
289	1031	9638
290	1034	9628
291	1036	9616
292	1040	9613
293	1044	9609
294	1046	9599
295	1049	9585
296	1051	9572
297	1054	9564
298	1057	9551
299	1059	9537
300	1062	9525
301	1065	9519
302	1069	9515
303	1071	9505
304	1074	9493
305	1076	9481
306	1079	9471
307	1090	9529
308	1093	9521
309	1096	9510
310	1099	9504
311	1102	9495
312	1106	9497
313	1109	9493
314	1112	9482
315	1115	9473
316	1118	9463
317	1120	9454
318	1124	9453
319	1127	9443
320	1130	9433
321	1132	9422
322	1135	9413
323	1138	9403
324	1141	9395
325	1145	9393
326	1148	9388
327	1151	9379
328	1154	9371
329	1157	9365
330	1160	9359
331	1164	9355
332	1167	9350
333	1170	9342
334	1173	9332
335	1175	9323
336	1179	9319
337	1182	9314
338	1186	9310
339	1188	9301
340	1191	9293
341	1194	9282
342	1197	9273
343	1199	9264
344	1202	9255
345	1205	9245
346	1208	9236
347	1210	9226
348	1213	9217
349	1216	9209
350	1219	9199
351	1222	9194
352	1225	9192
353	1228	9183
354	1231	9173
355	1234	9167
356	1237	9163
357	1240	9153
358	1243	9146
359	1246	9138
360	1249	9130
361	1252	9124
362	1254	9114
363	1256	9102
364	1260	9098
365	1263	9095
366	1266	9089
367	1269	9081
368	1272	9071
369	1275	9064
370	1278	9059
371	1281	9054
372	1284	9048
373	1288	9044
374	1290	9035
375	1293	9027
376	1296	9018
377	1300	9021
378	1304	9019
379	1308	9020
380	1312	9019
381	1315	9012
382	1318	9010
383	1321	9002
384	1324	8994
385	1335	9044
386	1339	9045
387	1342	9040
388	1345	9031
389	1348	9025
390	1352	9022
391	1354	9013
392	1357	9006
393	1360	8998
394	1363	8989
395	1365	8981
396	1368	8974
397	1371	8966
398	1374	8959
399	1378	8957
400	1381	8952
401	1383	8943
402	1386	8934
403	1389	8928
404	1391	8918
405	1394	8910
406	1397	8901
407	1400	8895
408	1402	8886
409	1405	8879
410	1408	8872
411	1411	8866
412	1415	8865
413	1419	8865
414	1422	8859
415	1425	8852
416	1427	8843
417	1430	8838
418	1434	8833
419	1437	8827
420	1439	8818
421	1442	8813
422	1446	8811
423	1449	8803
424	1451	8796
425	1455	8792
426	1458	8788
427	1461	8781
428	1464	8775
429	1467	8767
430	1470	8762
431	1472	8756
432	1475	8749
433	1478	8742
434	1481	8735
435	1484	8728
436	1487	8723
437	1490	8715
438	1493	8713
439	1497	8711
440	1500	8704
441	1502	8697
442	1505	8689
443	1508	8681
444	1511	8676
445	1514	8669
446	1517	8664
447	1519	8658
448	1522	8649
449	1524	8640
450	1527	8634
451	1530	8626
452	1533	8624
453	1537	8621
454	1540	8614
455	1543	8612
456	1546	8607
457	1550	8603
458	1553	8597
459	1555	8589
460	1558	8584
461	1561	8579
462	1564	8571
463	1567	8566
464	1570	8561
465	1580	8593
466	1583	8586
467	1586	8582
468	1588	8575
469	1591	8568
470	1594	8562
471	1597	8555
472	1600	8549
473	1603	8542
474	1606	8538
475	1609	8537
476	1613	8533
477	1616	8527
478	1619	8523
479	1622	8516
480	1624	8509
481	1627	8504
482	1630	8499
483	1633	8492
484	1636	8487
485	1640	8487
486	1643	8480
487	1646	8475
488	1650	8474
489	1653	8471
490	1656	8465
491	1659	8459
492	1662	8453
493	1665	8449
494	1668	8442
495	1677	8470
496	1685	8488
497	1691	8497
498	1714	8594
499	1719	8597
500	1725	8605
501	1750	8708
502	1754	8712
503	1759	8714
504	1802	8903
505	1810	8922
506	1815	8925
507	1821	8935
508	1825	8935
509	1832	8947
510	1837	8948
511	1850	8991
512	1857	9007
513	1861	9002
514	1864	8997
515	1868	8993
516	1872	8991
517	1875	8986
518	1879	8982
519	1883	8981
520	1886	8975
521	1889	8970
522	1892	8964
523	1896	8961
524	1899	8954
525	1903	8952
526	1906	8945
527	1909	8938
528	1912	8931
529	1915	8928
530	1919	8924
531	1922	8917
532	1924	8908
533	1927	8902
534	1930	8895
535	1933	8888
536	1936	8882
537	1939	8874
538	1942	8868
539	1945	8860
540	1947	8852
541	1950	8845
542	1953	8840
543	1956	8834
544	1960	8829
545	1963	8823
546	1966	8816
547	1969	8811
548	1972	8804
549	1975	8798
550	1978	8793
551	1981	8788
552	1984	8783
553	1987	8776
554	1990	8769
555	1994	8767
556	1997	8762
557	2001	8757
558	2004	8752
559	2007	8746
560	2010	8739
561	2013	8733
562	2015	8726
563	2018	8719
564	2021	8712
565	2024	8706
566	2027	8701
567	2030	8695
568	2034	8692
569	2037	8686
570	2040	8681
571	2043	8674
572	2046	8668
573	2049	8662
574	2052	8657
