Molecule,TOPK,MAP4K4,CDC42BPA,MST1R,CSF1R,KIAA1811,MAP2K2,DYRK1A,IKBKE,MAPK10,MAP3K10,CAMK2A,IKBKB,NLK,AXL,LTK,CSNK1G3,MAPK14,FRK,STK3,CSNK1G2,PRKCQ,NTRK3,MATK,RPS6KA3,CLK2,MAP2K1,JAK2,PRKCZ,PRKG1,PHKG2,PLK3,TBK1,AKT3,PASK,PRKAA1,PRKG2,PRKCD,ALK,PLK4,RET,PRKD2,RPS6KB1,HCK,CAMK2G,EEF2K,SYK,MARK4,TYRO3,PRKCN,STK22B,STK17A,LCK,DAPK3,CHEK2,ACVR1,ROCK2,CDK2,SRPK1,MAPK8,PIM1,STK6,MAPKAPK5,MAPKAPK2,STK33,CDC7,RPS6KA4,BTK,KIT,CSNK2A1,PAK4,PAK1,CAMK2D,AKT2,FGFR1,CSNK1A1,JAK3,CSNK1G1,RPS6KA5,LYN,MAPK9,ITK,PKN2,LIMK1,TAO1,ROS1,BLK,STK22D,HIPK2,CAMKK2,MARK3,NTRK1,FES,INSR,PTK2B,MAPK13,BRAF,ZAK,PIM3,TYK2,EGFR,PRKCG,SRC,BMX,SRMS,GSK3A,MAP4K2,DYRK3,WEE1,MET,CHUK,ACK1,PDGFRB,FLT3,ERBB2,MAPKAPK3,CHEK1,CSNK1D,SIK2,ABL1,MKNK2,CAMK2B,KDR,GPRK5,CDK5,EPHA2,IGF1R,SGK,MAPK1,MINK,NEK4,DYRK4,PRKCI,DYRK1B,PRKX,PTK2,IRAK1,PTK6,MELK,PDGFRA,LRRK2,STK12,IRAK4,AKT1,MAP4K5,CAMK1D,FLT4,CDC2L6,ROCK1,FER,CAMK1,FYN,HIPK4,CDC2,PIM2,PDPK1,DCAMKL1,NEK2,CDK8,CDK7,FLT1,SLK,FGFR3,PLK1,GSK3B,CDK9,NTRK2,ERBB4,MARK2,PRKACA,MAPK12,CLK4
CHEMBL1190711,1584.89,100,,,630.96,,,501.19,,,,,,,,,,,,1584.89,,,,,,125.89,,,,,1000,,,,,,,,,1584.89,,125.89,,,2511.89,,,,,31.62,,,,,,,31.62,316.23,,,,,,,,19.95,,,316.23,,,,,,,,,,,,,,100,,,,,,501.19,,,,,,,,,,7943.28,,,,,,,39.81,15.85,501.19,,398.11,,,,39.81,,,,,,,1000,,,,125.89,,,,3162.28,1995.26,25.12,,,,,,7943.28,,,,,251.19,,,,,,,199.53,,,,6309.57,501.19,1000,,,,,,,794.33,,,19.95,,,,,,,10
CHEMBL1242373,3162.28,2511.89,,,,3162.28,,316.23,,,,,,19.95,15.85,,,,199.53,,5011.87,,,,251.19,1000,,,,,,1995.26,,,,398.11,,7943.28,,251.19,50.12,,39.81,,,,1584.89,,,2511.89,,,316.23,,1258.93,,79.43,,3162.28,,3981.07,79.43,,,,,,,,,,,,,2511.89,,,2511.89,,125.89,,,,630.96,3981.07,1995.26,125.89,,,,3162.28,1258.93,,,,,,3162.28,5011.87,,,,,,,,1995.26,,,,,,,1.995,,,,,,,79.43,,63.1,,,31.62,,,,,,6309.57,,,,630.96,,,794.33,,,31.62,,,501.19,,158.49,,794.33,,,,79.43,,501.19,,,,,,6.31,63.1,,,3162.28,,199.53,,5011.87,,,125.89
CHEMBL1682552,7943.28,,1584.89,,,,,31.62,,,,,,,,,794.33,,,6309.57,501.19,,,,,12.59,,,,25.12,,,,3981.07,,,25.12,1584.89,,,,5011.87,501.19,,,,,,,3981.07,,794.33,,1258.93,,,630.96,1258.93,,,794.33,,,,,501.19,,,,316.23,,,,5011.87,,2511.89,,1995.26,,,,,1995.26,,3981.07,,,,251.19,,,,630.96,,,,,,1584.89,,,2511.89,,,,63.1,,398.11,,,,,,,,,,794.33,,,,6309.57,,,1258.93,,,2511.89,5011.87,,,,,,,,,,,,,,,1258.93,,,,,251.19,,,,2511.89,1584.89,,,,,,,,,,,100,,,,,251.19,,10
CHEMBL1682553,3981.07,3162.28,199.53,,,,,19.95,,,,,,,,,,,31.62,3162.28,2511.89,,,,,79.43,,,,31.62,,,,5011.87,,,39.81,1258.93,,,,1258.93,316.23,,,,,,,1000,,158.49,,251.19,,,100,251.19,,,316.23,,,,,125.89,,,,158.49,,,,2511.89,,6309.57,,,1000,,,,630.96,,6309.57,,,,398.11,,,,,,,5011.87,,,501.19,,,3162.28,,,,19.95,,50.12,,,,,,,,,,1258.93,,,,,,,630.96,,,1258.93,1995.26,,,1000,,,316.23,,,,,,,,,1258.93,,,,,100,,,,3162.28,1000,,,,,,,,,,,39.81,,,,,398.11,3981.07,31.62
CHEMBL1964444,1995.26,,,2511.89,,,,,,,,,,,,,,,100,158.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.93,,,,,,316.23,,79.43,,,,,,,,,,,,251.19,,,,,,,,,,,,,,,,,,,794.33,,,,,,,,,,316.23,,,5011.87,,,,,,,,,,,,251.19,,,,,,,,,,,316.23,,,,,199.53,,,,,,,,398.11,,,,251.19,,,1258.93,,1000,,,,,,251.19,501.19,,,,,199.53,,,,,,,,,,,,,100
CHEMBL1964687,1584.89,3981.07,6309.57,,19.95,1584.89,,,,,,,794.33,,3.162,,6309.57,,1584.89,,6309.57,,31.62,,199.53,6309.57,,,,,1584.89,501.19,,,,3162.28,,,158.49,1995.26,125.89,,50.12,,,,,,,2511.89,1258.93,1995.26,,,,,31.62,3981.07,1995.26,,6309.57,158.49,,5011.87,,,100,,,,,,,5011.87,,,,3162.28,,630.96,,,,,3162.28,,794.33,,,,2511.89,,,,,,,5011.87,6309.57,,,,,,,,3981.07,,,,,,,31.62,,,,,,,316.23,,63.1,,,158.49,,,,,,3981.07,,,794.33,1584.89,630.96,,,,,31.62,,,3162.28,,630.96,3162.28,1000,,,,316.23,,,,,,,,10,31.62,,3162.28,1584.89,,158.49,,3162.28,,,316.23
CHEMBL1964777,3981.07,1258.93,,,,,,1995.26,,,,,,,,,1995.26,,1995.26,,1000,,,,1584.89,3162.28,,,,,,1000,,,794.33,,,3981.07,,,,,,,3981.07,,,,,6309.57,,3981.07,,,,,7943.28,1000,,,2511.89,,,,,1258.93,,,,3981.07,,,5011.87,,,5011.87,,1000,,,,,2511.89,,,,,,794.33,,,,,,,,,3981.07,6309.57,,,,,,,199.53,630.96,3162.28,,,,,,,,,,1584.89,,,3981.07,,5011.87,,2511.89,,,7943.28,,3162.28,1584.89,,,,1000,,2511.89,,1000,,,,,,2511.89,,2511.89,,,,,,794.33,3162.28,,,,,,,,630.96,,630.96,251.19,,,,,3162.28,,794.33
CHEMBL1965131,501.19,1258.93,,,,3981.07,,199.53,,,,,,,,,,,,5011.87,,,,,,630.96,,,,316.23,,,,,,1584.89,,5011.87,,3162.28,,1995.26,1258.93,,2511.89,,,,,1000,,251.19,,,,,251.19,1995.26,,,1000,,,,,630.96,,,,2511.89,,,3162.28,,3162.28,6309.57,,,,,,,794.33,2511.89,,630.96,1258.93,,199.53,,,,,794.33,,,,,251.19,,,,,,,,1258.93,3162.28,,,,,,2511.89,,,,1258.93,,,2511.89,1000,1995.26,,3981.07,,,3162.28,,3162.28,,,,,,,5011.87,,,,,501.19,,,3981.07,,3981.07,,1258.93,1584.89,,,5011.87,1000,,,,,,,,,1995.26,,3981.07,,,,,3162.28,,100
CHEMBL1965660,3162.28,1584.89,1258.93,,,6309.57,,0.7943,,,,,,,,,10,,1995.26,,25.12,63.1,,,50.12,,1995.26,19.95,794.33,794.33,,,,6309.57,,,,158.49,,501.19,,316.23,,,6309.57,,,,,63.1,,25.12,2511.89,398.11,1258.93,1995.26,316.23,63.1,1258.93,398.11,1584.89,,,,,0.1995,,,,199.53,,,,,,7.943,1000,25.12,,,501.19,,19.95,,251.19,,,,25.12,,501.19,,,,,63.1,,3981.07,398.11,794.33,,251.19,,,,6.31,199.53,10,,,,1258.93,,,,,,15.85,,,79.43,,794.33,2511.89,316.23,,,1584.89,31.62,1584.89,50.12,10,794.33,0.631,1000,,100,,,,316.23,630.96,630.96,7943.28,,,,,125.89,,,,398.11,63.1,,,,,15.85,158.49,,10000,,,6.31,3.981,,,,398.11,79.43,0.631
CHEMBL1965836,6309.57,6.31,39.81,,,5011.87,,,,,,,,,794.33,,501.19,,,251.19,251.19,,1000,,7.943,,,,1995.26,7.943,1995.26,,,6.31,,39.81,25.12,,,2511.89,,158.49,7.943,,50.12,,,,,31.62,,630.96,,251.19,1000,,,39.81,,,5.012,,,3981.07,,19.95,,,,5011.87,50.12,2511.89,25.12,15.85,,630.96,,251.19,50.12,,,,63.1,,1258.93,1000,,251.19,39.81,,630.96,,,,794.33,1258.93,,,12.59,,,19.95,,,,31.62,316.23,31.62,,,,,,1000,,,,125.89,,,2511.89,501.19,,,19.95,,,316.23,251.19,63.1,251.19,1995.26,2511.89,,5.012,,1584.89,,251.19,,,398.11,794.33,3.162,794.33,,3981.07,,3.162,,316.23,,1584.89,100,10,,7943.28,,,,,1995.26,,,19.95,,,,316.23,,1258.93,
