Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
CHEMBL1190711,11.721826,-0.584703372,11.721826,0.263041741,0.519677356,390.403,372.259,390.1440384,146,0,0.251962001,-0.492869543,0.492869543,0.251962001,1.068965517,1.896551724,2.655172414,16.50781012,10.11714019,2.144021668,-2.127967103,2.323656242,-2.147454084,5.975628962,0.100056663,20.38010441,15.78710195,15.78710195,14.10088675,8.687840882,8.687840882,6.07901383,6.07901383,4.372405574,4.372405574,2.964622725,2.964622725,-4.14,18.23390882,7.468375866,3.405758867,165.6958877,20.52418199,11.46504,11.49902367,5.948339281,5.907179729,0,9.19523179,14.95193556,0,0,0,30.33183534,30.22034927,25.47697457,14.26826309,23.32055901,0,19.35263017,5.733667477,0,19.53638369,60.55218462,0,22.75640315,20.52418199,11.76620206,11.49902367,0,39.47940498,0,0,10.35798868,54.98873313,0,16.90455671,0,116.66,5.907179729,4.794537184,0,5.563451492,34.60633094,5.563451492,0,49.34355454,24.26546827,15.28474565,20.19137191,12.43889513,0,24.98783304,3.088248693,7.858708804,1.372967725,10.60866226,4.988091918,0,3.156592431,0.1,29,3,9,0,0,0,1,3,4,8,2,9,6,0,0,0,4,2.651,107.5646
CHEMBL1242373,12.38416686,-0.258633296,12.38416686,0.258633296,0.440995719,401.495,382.343,401.1310312,144,0,0.323178744,-0.38303709,0.38303709,0.323178744,1.068965517,1.896551724,2.724137931,32.13353942,9.884923127,2.235604484,-2.182611306,2.44775051,-2.192832419,7.18980276,0.261867608,19.95745468,15.82128976,16.63778634,14.08052004,9.381166803,10.19766338,7.159830444,8.2434522,5.120320834,6.277851331,3.849259895,5.009396212,-3.45,17.63514062,6.860217778,3.190729303,171.3619898,16.36724469,16.97557927,0,0,0,6.031114512,0,14.76249423,0,11.33678588,18.19910121,60.72120319,21.81537123,5.386224214,4.794537184,44.77715635,0,9.967957042,0,19.76538045,16.36724469,64.79593973,0,11.12690298,16.36724469,21.98717251,0,11.33678588,15.99907155,12.84164325,6.9237372,16.00405018,48.79188955,0,21.34352362,0,92.93,0,4.794537184,0,6.031114512,5.817862778,51.1233909,16.76791876,11.33678588,49.38830668,20.60153425,5.733667477,0,1.683839408,23.15623947,6.738954329,12.25149259,0.513966531,13.46860595,3.360752905,1.99281548,0,0.136363636,29,4,6,1,0,1,2,2,4,5,3,7,2,0,0,0,5,4.99152,118.4918
CHEMBL1682552,4.798338294,0.504872711,4.798338294,0.504872711,0.594342349,332.411,312.251,332.1749446,126,0,0.23547431,-0.366563443,0.366563443,0.23547431,1.16,2.08,3,15.18588826,9.952173288,2.197494055,-2.236389465,2.318284311,-2.22929661,5.860815598,0.461489113,16.63961743,13.94319044,13.94319044,12.38214273,8.914784844,8.914784844,6.750014574,6.750014574,5.063343554,5.063343554,3.756897176,3.756897176,-2.89,14.45278245,5.878066255,2.538334107,144.8585639,5.316788604,11.51179077,0,5.777653724,0,0,9.499376415,9.967957042,5.098681808,0,25.32883194,31.04074445,29.38520368,11.71354429,0,22.49844143,0,24.56601526,0,38.14594894,5.316788604,42.85599899,0,11.25737949,5.316788604,5.817862778,0,0,30.60785609,0,0,32.10410811,42.85599899,0,27.93795814,0,70.9,0,0,0,0,6.041840829,33.75582092,32.10410811,6.196843572,18.46005421,43.09792655,4.983978521,2.059032266,0,9.22511393,11.95668366,3.067140538,1.764763794,8.731334089,12.02926506,0,0,0.315789474,25,2,6,1,0,1,1,3,4,5,2,6,3,1,0,1,5,4.0172,98.5704
CHEMBL1682553,4.685898526,0.302326415,4.685898526,0.302326415,0.608464923,292.346,276.218,292.1436445,110,0,0.235474308,-0.367119978,0.367119978,0.235474308,1.272727273,2.181818182,3.045454545,15.1826822,10.1011493,2.153826167,-2.111207557,2.299383421,-2.118616894,5.860499217,0.883771146,15.10408353,12.40765654,12.40765654,10.72034669,7.252988802,7.252988802,5.569781247,5.569781247,3.542722828,3.542722828,2.590058778,2.590058778,-2.89,12.82094693,4.836153844,2.000851614,126.7695687,5.316788604,11.51179077,0,5.777653724,0,0,9.499376415,9.967957042,5.098681808,0,6.066367068,32.0465756,29.38520368,11.71354429,0,22.49844143,0,24.56601526,0,19.88931523,5.316788604,42.85599899,0,11.25737949,5.316788604,5.817862778,0,0,30.60785609,0,0,13.8474744,42.85599899,0,27.93795814,0,70.9,0,0,0,0,11.81949455,27.9781672,0,6.196843572,34.99348295,45.39595073,0,1.981050406,0,9.02687248,11.58048223,2.96023883,1.647116166,8.369199106,5.548506288,4.21986783,0,0.1875,22,2,6,0,0,0,1,3,4,5,2,6,3,0,0,0,4,3.0929,86.8334
CHEMBL1964444,12.66670975,-4.576394053,12.66670975,0.192715524,0.712481106,346.312,333.208,346.1041457,128,0,0.432923393,-0.306936682,0.432923393,0.306936682,1.08,1.88,2.64,19.4132219,10.1142945,2.320734141,-2.110417821,2.279897805,-2.208528165,6.046807259,-0.140611337,18.02673326,13.05537105,13.05537105,11.82551841,7.304149413,7.304149413,5.364066685,5.364066685,3.426378766,3.426378766,2.301158222,2.301158222,-3.16,16.68920161,6.386237245,3.848738645,140.4621368,5.316788604,11.51179077,0,0,0,12.20741303,10.30076712,9.778515705,13.17124514,0,17.69618563,37.25557254,11.58306779,11.20408699,17.96578233,28.4392885,0,9.967957042,0,13.10003572,10.63357721,59.91879254,0,0,10.63357721,29.47103138,0,0,15.99907155,6.176298517,6.9237372,11.25737949,48.66141305,0,10.90292493,0,66.91,17.90134102,17.96578233,0,5.817862778,11.20408699,17.01604277,18.32957771,6.066367068,25.12283841,20.60153425,0,38.00012926,0,19.70417385,5.639331197,1.108850617,-0.192715524,9.790185086,-3.038889214,1.905601393,0,0.117647059,25,2,5,0,0,0,1,2,3,3,2,8,2,0,0,0,3,4.60102,88.3604
CHEMBL1964687,12.49546694,-0.254559222,12.49546694,0.254559222,0.414095874,415.522,394.354,415.1466813,150,0,0.323178898,-0.38303709,0.38303709,0.323178898,1,1.766666667,2.566666667,32.13353949,9.884920987,2.235857361,-2.183121229,2.447872487,-2.194288018,7.189804875,0.261867661,20.82769817,16.74393949,17.56043607,14.47436689,9.791850406,10.60834699,7.666739091,8.750360847,5.323935474,6.48146597,4.173289437,5.333425754,-3.45,18.57051318,7.106479814,3.267689828,177.7269319,16.36724469,16.97557927,0,0,0,6.031114512,0,14.76249423,0,11.33678588,12.13273414,73.20839189,21.81537123,5.386224214,4.794537184,44.77715635,0,9.967957042,0,26.68911765,16.36724469,64.29302415,0,11.12690298,16.36724469,21.98717251,0,11.33678588,15.99907155,12.84164325,13.8474744,21.56750167,42.72552249,0,21.34352362,0,92.93,0,4.794537184,0,6.031114512,5.817862778,56.6868424,16.76791876,11.33678588,38.11294267,32.73426839,5.733667477,0,1.684961454,23.28044393,6.799593431,13.41003904,0.514238237,11.75604152,3.360718088,4.027297627,0,0.173913043,30,4,6,1,0,1,2,2,4,5,3,7,2,0,0,0,5,5.29994,123.2288
CHEMBL1964777,13.13901065,-0.497309671,13.13901065,0.366782407,0.803598156,288.303,279.231,288.0368767,100,0,0.258313019,-0.454955801,0.454955801,0.258313019,1.3,2.15,2.9,32.13353244,10.25073314,2.114386957,-2.055942499,2.337517795,-2.075094151,7.203883158,0.100394041,14.1125197,10.16872509,10.98522167,9.631030293,5.74074362,6.557240201,4.08378449,5.167561447,2.676583661,3.760768118,1.795991426,2.693320989,-2.47,12.55807686,4.897926027,2.327799419,117.1756087,10.47053043,11.56673267,5.749511833,0,5.907179729,0,9.778515705,4.390415048,0,11.33678588,6.066367068,18.19910121,17.64943485,15.77391068,13.92181519,27.33010974,0,4.983978521,5.733667477,0,0,53.41989052,0,11.49902367,10.47053043,4.390415048,11.49902367,11.33678588,10.89115825,0,5.817220841,9.671684378,42.72552249,0,10.08614413,0,65.21,5.907179729,9.184952232,0,5.817220841,16.37617086,10.08614413,29.66636359,24.39594478,0,4.983978521,10.47053043,19.5415012,1.242137608,15.67815994,0.725056689,5.260786991,-0.058649665,7.462586502,3.148420729,0,0,0,20,2,4,0,0,0,1,2,3,4,1,6,3,0,0,0,3,3.3266,74.6119
CHEMBL1965131,12.5034075,-0.636485891,12.5034075,0.231137356,0.681698458,379.268,367.172,377.999654,122,0,0.260460279,-0.364831173,0.364831173,0.260460279,1.083333333,1.75,2.375,35.49826284,10.12106346,2.215648689,-2.076445925,2.424080917,-2.162516218,7.213825388,0.100459099,17.43035694,12.5221257,14.85048017,11.37991785,6.965186996,8.537612523,5.225090508,7.062453949,3.521768698,5.495606307,2.308840481,3.799567259,-2.08,16.76646704,6.433802015,2.979605049,151.724681,11.05045608,4.877147194,0,0,11.81435946,0,9.589074368,0,0,11.33678588,40.89806541,31.18920547,15.64959562,15.7326529,9.589074368,62.12655552,0,0,5.733667477,6.9237372,5.316788604,62.44751922,0,0,11.05045608,5.687386275,0,34.53866566,11.81435946,0,6.9237372,25.59312455,36.39820241,10.04526663,10.08614413,0,72.19,5.907179729,9.589074368,0,15.80696024,21.65969529,21.60015729,0,24.26546827,19.05647134,5.316788604,28.93554726,0.719820484,13.49612382,24.4900921,3.875287192,7.245191877,-0.989965357,10.45408973,0,1.931582369,0,0.058823529,24,3,4,0,0,0,2,1,3,3,2,7,3,0,0,0,3,4.86772,99.4951
CHEMBL1965660,11.76053318,-0.587458585,11.76053318,0.12851883,0.67513539,348.193,337.105,347.0340653,116,0,0.250412081,-0.367774184,0.367774184,0.250412081,1.173913043,1.956521739,2.608695652,35.4968357,10.07905742,2.179736238,-2.047142803,2.337525352,-2.106373334,6.361387595,0.100085473,16.56011345,11.67740658,13.18926447,10.9523975,6.525850779,7.281779725,4.760186839,5.603822746,3.233775546,3.781581657,2.21532991,2.718314957,-2.57,15.33046827,5.905419011,2.990301291,141.006826,16.45131348,0,0,5.948339281,5.907179729,0,4.794537184,9.967957042,0,0,23.20187978,30.33183534,16.78292838,27.66786879,4.794537184,35.05739879,0,14.95193556,5.733667477,0,5.733667477,52.13739703,0,22.64523548,11.46733495,5.948339281,0,23.20187978,20.85911529,0,0,10.35798868,36.52867891,10.04526663,22.64523548,0,110.68,5.907179729,4.794537184,0,5.948339281,38.2539536,0,6.196843572,30.33183534,0,14.95193556,34.66921473,0,12.12715889,22.82319939,0.893824059,13.56696339,-0.458939755,8.244828515,1.525187735,0,0,0,23,5,6,0,0,0,1,2,3,4,3,8,3,0,0,0,3,3.1266,90.205
CHEMBL1965836,12.40175115,-4.733426442,12.40175115,0.175955045,0.430239039,442.441,421.273,442.1616606,166,0,0.57259646,-0.490325864,0.57259646,0.490325864,1.03125,1.875,2.6875,19.42244973,10.0473158,2.306400165,-2.14762647,2.27167675,-2.298112576,5.859633891,-0.274201289,22.7169677,17.18723398,17.18723398,15.26497145,9.899090575,9.899090575,7.44911407,7.44911407,4.893900039,4.893900039,3.41510238,3.41510238,-3.59,21.63482726,8.876110519,5.358775114,181.732464,15.20739338,18.10590563,0,0,0,6.362358859,10.08266033,0,5.098681808,13.17124514,18.19910121,54.80329715,23.18836011,17.40747228,22.64497105,10.90292493,0,15.18134214,5.733667477,25.74875851,6.606881965,72.18200318,0,22.62592665,15.20739338,13.17124514,11.49902367,0,34.19242379,6.420821623,6.9237372,11.25737949,60.92462369,0,22.02982792,0,86.05,12.40419969,13.17124514,0,12.3563938,17.73378495,27.72375591,18.19910121,18.46005421,31.18920547,19.91820509,10.47053043,46.94831232,0,4.246439729,8.223473318,10.48933328,0.278671778,13.18027093,-1.063016799,2.113182113,0,0.217391304,32,3,6,0,0,0,2,2,4,5,2,9,7,0,0,0,4,4.78072,114.3611
