compound name	compound CAS#
ATM Kinase Inhibitor	587871-26-9
ATM/ATR Kinase Inhibitor	905973-89-9
AG 1024	65678-07-1
AGL 2043	226717-28-8
Akt Inhibitor IV	681281-88-9
Akt Inhibitor V, Triciribine	35943-35-2
Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2	612847-09-3
Akt Inhibitor X	925681-41-0
Alsterpaullone	237430-03-4
Alsterpaullone                  2-Cyanoethyl	852527-97-0
Aloisine A, RP107	496864-16-5
Aloisine, RP106	496864-15-4
Aminopurvalanol A	220792-57-4
AMPK Inhibitor,                  Compound C	866405-64-3
Aurora Kinase Inhibitor III	879127-16-9
Aurora Kinase/Cdk Inhibitor	443797-96-4
BAY 11-7082	19542-67-7
Bcr-abl Inhibitor	778270-11-4
Bisindolylmaleimide I	133052-90-1
Bisindolylmaleimide IV	119139-23-0
Bohemine	189232-42-6
BPIQ-I	174709-30-9
Cdk1 Inhibitor	220749-41-7
Cdk1 Inhibitor,                    CGP74514A	190654-01-4
Cdk1/2 Inhibitor III	443798-55-8
Cdk1/5 Inhibitor	40254-90-8
Casein Kinase I Inhibitor, D4476	301836-43-1
Casein Kinase II Inhibitor III, TBCA	934358-00-6
Cdk4 Inhibitor	546102-60-7
Cdk4 Inhibitor II                NSC 625987	141992-47-4
Cdk4 Inhibitor III	265312-55-8
Cdc2-Like Kinase Inhibitor, TG003	300801-52-9
Cdk/Crk Inhibitor	784211-09-2
Chelerythrine Chloride	3895-92-9
Chk2 Inhibitor II	516480-79-8
Compound 52	212779-48-1
Compound 56	171745-13-4
Cdk2 Inhibitor III	199986-75-9
Cdk2 Inhibitor IV,                 NU6140	444723-13-1
DNA-PK Inhibitor II	154447-35-5
DNA-PK Inhibitor III	404009-40-1
DNA-PK Inhibitor V	404009-46-7
Diacylglycerol Kinase Inhibitor II	120166-69-0
DMBI	5812-07-7
EGFR/ErbB-2 Inhibitor	179248-61-4
EGFR Inhibitor	879127-07-8
EGFR/ErbB-2/ErbB-4 Inhibitor 	881001-19-0
ERK Inhibitor II, FR180204	865362-74-9
ERK Inhibitor III	345616-52-6
Fascaplysin, Synthetic	114719-57-2
Flt-3 Inhibitor	301305-73-7
Flt-3 Inhibitor II	896138-40-2
Flt-3 Inhibitor III	852045-46-6
