compound CAS#:,ROCK2,ROCK1,PKCepsilon,PKN1/PRK1,PKCeta,PBK/TOPK,ULK1,PKN2/PRK2,PRKX,PKCd,LRRK2,RSK3,PKG1a,RSK2,IGF1R,MST2/STK3,EPHB2,HIPK3,MNK2,MRCKa/CDC42BPA,MYO3b,PKG1b,CDK1/cyclin A,RSK1,FER,NEK3,PKG2/PRKG2,CAMKK1,IRAK4,NLK,PAK5,CDK6/cyclin D3,CDK9/cyclin T1,MSK1/RPS6KA5,LIMK1,AKT1,BRK,PLK3,MUSK,PDGFRa,PKCnu/PRKD3,CLK4,NEK4,SRPK2,CK2a2,GRK7,EPHA4,NEK2,KDR/VEGFR2,FGR,PKAcg,EPHA7,LOK/STK10,ZAP70,PYK2,c-MER,CDK5/p25,TYK2,MINK/MINK1,OSR1/OXSR1,FLT1/VEGFR1,CAMK2d,PAK4,EPHA6,ZIPK/DAPK3,TYK1/LTK,FLT3,MAPKAPK5/PRAK,TBK1,CHK1,CLK1,LKB1,PLK2,BMX/ETK,GRK6,EPHA5,EPHA8,CDK4/cyclin D3,ARK5/NUAK1,FYN,LCK,AKT2,DDR2,CK1epsilon,FGFR1,TAOK3/JIK,IKKa/CHUK,Haspin,MST1/STK4,p70S6K/RPS6KB1,MKK6,DYRK1B,PASK,CK1d,BRSK2,MARK2/PAR-1Ba,BRAF,PAK6,NEK9,BRSK1,CDK2/cyclin A,PAK1,ERBB4/HER4,PKCtheta,p70S6Kb/RPS6KB2,JAK3,TRKC,CAMK4,CAMK1d,GRK3,c-Kit,RSK4,CAMK1b,PLK1,Aurora B,MEK2,MARK1,ZAK/MLTK,HGK MAP4K4,c-MET,DYRK4,PHKg1,IR,GCK MAP4K2,RET,Aurora A,RON/MST1R,GRK4,ABL2/ARG,NEK6,SLK/STK2,DAPK2,ALK,WNK3,Aurora C,MNK1,MELK,EPHB1,CDK6/cyclin D1,DYRK2,CDK2/cyclin E,EPHB4,BLK,EPHA3,CHK2,PHKg2,FGFR2,STK25/YSK1,STK39/STLK3,PIM2,ITK,FRK/PTK5,EPHB3,CTK MATK,CLK2,P38d/MAPK13,EGFR,MLK1/MAP3K9,PKD2/PRKD2,MST4,PAK3,CAMK2b,CDK5/p35,CK2a,PAK2,TAOK1,P38b/MAPK11,DCAMKL2,MAPKAPK2,MSK2/RPS6KA4,TAK1,CDK4/cyclin D1,PIM1,SGK1,SIK2,TLK2,MAPKAPK3,PIM3,FMS,MLCK2/MYLK2,JNK1,CDK3/cyclin E,IRR/INSRR,LYN B,AKT3,ROS/ROS1,MLCK/MYLK,TSSK2,MARK3,PKCmu/PRKD1,FAK/PTK2,P38g,IKKe/IKBKE,JAK2,AXL,ABL1,PKCa,PKA,HCK,TYRO3 SKY,CDK7/cyclin H,ALK5/TGFBR1,ERK1,IKKb/IKBKB,STK16,YES/YES1,SGK3/SGKL,PDGFRb,ALK2/ACVR1,COT1/MAP3K8,CK1g3,CLK3,DYRK3,TEC,LYN,TXK,MLK2/MAP3K10,SRPK1,DMPK,SRMS,MSSK1/STK23,MLK3/MAP3K11,GRK2,PKCzeta,CAMK1g,MRCKb/CDC42BPB,TAOK2/TAO1,CK1g2,ALK4/ACVR1B,TIE2/TEK,CK1g1,ERK2 MAPK1,HIPK2,RIPK2,CAMK2a,MEK1,PKCiota,FGFR3,CSK,RIPK5,ULK3,MST3/STK24,TRKA,CDK1/cyclin B,CAMK2g,VRK1,DYRK1/DYRK1A,CAMKK2,SYK,ALK1/ACVRL1,DRAK1/STK17A,PKCb1,ULK2,PDK1/PDPK1,ACK1,JNK3,EPHA1,GSK3b,TTK,TRKB,IRAK1,SGK2,JNK2,CK1a1,STK33,MEKK3,STK22D/TSSK1,RAF1,GSK3a,WNK2,DAPK1,ARAF,EPHA2,MEKK2,HIPK1,P38a/MAPK14,CAMK1a,BTK,ASK1/MAP3K5,FLT4/VEGFR3,NEK7,STK38/NDR1,c-SRC,CDK9 cyclin K,ERBB2/HER2,FGFR4,GRK5,JAK1,FES/FPS,NEK1,NIK/MAP3K14,TGFBR2,MARK4,HIPK4,WEE1,PKCg,KHS MAP4K5,NEK11,SNARK/NUAK2,PKCb2
587871-26-9,108.51,101.19,108.67,94.35,99.67,99.44,91.90,72.90,112.97,91.90,102.44,81.41,102.77,102.39,98.18,100.60,101.62,104.95,116.81,106.46,,101.66,104.01,97.64,102.63,102.30,92.23,111.61,159.94,107.92,98.83,105.62,100.29,116.65,102.89,113.08,90.65,98.09,89.11,101.50,83.41,101.21,89.97,110.41,96.03,99.24,101.00,103.30,95.93,84.91,,106.17,97.06,97.05,105.57,96.97,96.77,95.79,99.96,96.10,90.79,103.82,116.00,,106.02,94.08,98.37,94.50,88.50,108.87,102.93,96.47,84.62,111.78,83.04,114.12,110.17,99.23,93.14,88.63,98.07,96.04,99.16,104.19,99.24,114.79,87.41,105.81,94.98,91.51,106.98,100.62,100.63,106.45,101.33,86.27,102.50,95.63,109.73,98.15,101.11,92.30,104.72,112.17,101.70,108.01,99.69,93.96,106.11,100.08,96.82,98.23,109.42,102.25,95.84,81.81,100.23,100.23,93.20,107.04,105.08,106.23,104.70,109.40,82.44,91.73,110.60,105.48,92.00,102.55,93.47,98.84,96.16,108.84,84.90,99.51,99.92,109.57,98.14,104.25,84.63,94.28,96.16,118.75,102.34,98.56,98.67,99.57,84.05,117.84,96.64,99.46,104.98,102.23,84.74,100.93,106.70,95.48,104.91,90.43,95.04,105.60,99.53,97.40,100.35,106.73,102.12,105.92,94.22,88.13,84.50,112.04,77.64,90.57,112.78,,101.69,52.31,91.92,97.44,83.97,100.65,98.72,116.38,109.15,105.71,102.03,97.73,105.64,90.34,112.94,113.76,96.52,105.05,105.73,99.52,80.32,99.60,101.52,104.76,96.53,98.00,117.62,101.49,95.49,89.36,98.57,101.78,97.51,103.21,87.94,120.52,84.33,198.47,106.06,105.94,95.94,104.87,94.83,93.82,99.62,98.56,79.03,101.55,99.44,102.76,101.09,93.30,114.46,100.20,99.32,100.40,105.23,113.60,100.16,94.90,103.47,94.68,95.67,93.44,,97.76,99.35,88.48,105.52,90.70,95.00,133.14,105.87,99.92,98.16,102.97,123.43,103.82,95.67,93.64,84.67,98.70,105.91,99.15,102.70,114.66,97.66,94.90,93.26,136.51,106.74,94.71,86.70,115.73,82.68,103.04,96.22,92.69,99.59,99.33,94.24,103.63,103.66,103.55,104.77,,106.03,108.90,97.30,100.39,104.80,104.59,104.43,100.13,94.90,93.41,100.28,100.08,98.33,96.86,93.61,88.50,109.19,105.21
905973-89-9,109.24,99.79,109.48,92.84,102.92,115.87,99.07,88.06,105.54,91.20,99.29,100.91,100.30,96.16,93.70,106.85,100.73,105.36,134.85,111.27,,109.20,101.28,105.02,104.38,96.21,96.65,127.60,191.01,106.37,103.80,99.27,95.04,112.54,94.46,117.84,87.82,94.42,105.83,99.96,98.52,105.29,87.84,102.67,96.95,101.35,101.07,111.77,92.54,84.52,,108.71,107.88,94.24,101.90,96.23,96.84,93.97,109.92,98.32,97.19,102.37,117.82,,103.10,91.54,99.31,101.93,98.66,100.29,106.06,94.20,92.85,102.32,97.50,107.01,103.76,93.69,95.31,91.22,91.85,91.57,96.36,110.91,97.73,120.95,91.51,109.42,96.16,91.93,107.22,102.83,103.73,105.01,101.91,92.28,102.23,101.35,109.95,98.31,101.85,86.03,103.36,106.85,99.35,110.11,107.91,98.51,99.02,98.34,97.16,94.70,114.61,111.48,95.30,82.25,101.24,98.59,92.71,100.75,103.79,104.08,100.43,110.73,103.37,80.84,101.79,101.14,104.83,108.76,95.19,102.85,110.12,108.20,93.81,100.23,101.84,109.22,100.54,102.33,89.23,101.48,110.12,105.21,97.64,108.95,97.70,96.18,77.03,117.25,94.88,102.96,103.88,96.48,93.46,107.27,108.01,93.98,107.28,89.30,91.87,103.83,106.55,95.35,100.03,103.78,104.41,107.52,96.29,92.73,89.69,116.46,101.31,93.14,112.05,,105.75,119.98,96.25,104.46,82.12,104.97,93.75,115.52,106.46,99.50,99.61,92.66,103.59,96.88,113.30,109.47,105.86,99.88,111.81,101.16,73.11,101.77,107.04,108.24,99.03,92.56,119.72,101.98,99.37,94.59,85.77,105.37,98.76,105.06,87.71,123.63,100.06,200.70,102.70,107.95,98.86,99.27,85.51,96.93,97.98,102.03,79.54,98.04,102.43,97.19,103.18,98.30,105.78,97.81,83.34,97.56,118.21,97.43,95.99,95.07,93.98,96.77,99.26,100.01,,92.83,106.72,92.06,107.12,96.66,99.76,125.54,104.17,106.69,99.78,102.82,106.38,112.34,97.96,96.24,88.12,109.35,96.94,97.68,107.17,118.75,88.65,94.13,99.58,118.25,93.36,95.33,104.77,117.03,75.14,108.75,103.34,96.77,108.33,100.65,93.07,103.86,97.08,102.34,101.54,,96.13,110.47,94.80,100.02,105.02,105.82,103.88,101.14,92.14,91.65,103.55,103.61,91.81,99.79,91.02,92.16,108.30,106.90
65678-07-1,95.63,82.90,108.44,94.46,100.46,102.14,88.18,64.34,102.38,83.04,108.53,98.91,102.98,92.24,96.64,107.51,100.06,98.19,100.02,100.56,,106.81,87.78,103.94,100.14,96.61,87.63,119.74,181.84,93.58,118.90,89.33,95.39,107.77,98.46,108.24,91.35,94.58,102.52,95.36,92.71,88.60,93.74,108.87,94.54,106.96,94.73,96.02,97.77,75.40,,106.73,95.40,91.60,99.26,97.28,98.15,61.35,110.69,98.04,92.51,95.97,123.96,,96.36,96.50,102.19,97.45,90.21,100.38,111.66,85.21,92.62,113.03,94.56,106.09,100.48,96.49,95.37,67.16,87.79,97.71,104.87,92.12,95.88,122.20,89.68,67.22,90.51,91.33,106.52,103.12,96.68,85.54,94.54,81.56,99.94,101.44,102.79,94.03,90.70,89.92,94.00,98.02,102.08,109.90,103.90,94.19,110.78,97.99,97.87,101.13,107.34,92.30,97.06,85.78,98.78,91.15,96.16,111.19,98.15,96.74,104.79,112.58,98.21,89.79,105.49,100.75,57.12,110.95,94.67,107.98,97.94,106.16,87.61,95.92,91.59,114.07,99.08,103.93,77.65,,97.94,101.92,103.71,106.21,96.35,101.74,87.58,114.53,98.40,99.33,107.17,102.20,103.94,98.55,105.85,90.24,108.15,95.21,96.91,99.26,102.21,99.34,96.53,97.95,100.39,108.56,92.33,90.87,87.89,114.57,94.73,95.34,115.41,,103.35,89.11,96.78,99.31,90.42,98.90,102.56,113.20,110.87,93.15,90.65,96.56,104.68,100.12,106.72,102.07,86.76,106.84,103.26,59.83,81.44,101.51,66.12,110.21,98.49,103.09,105.47,95.74,99.19,83.02,97.74,103.60,101.89,104.08,85.85,121.77,101.85,170.62,74.05,107.64,100.48,100.94,96.89,98.39,79.40,97.37,83.73,102.19,103.82,103.19,96.47,100.16,107.58,97.95,106.17,91.27,109.87,32.76,104.36,90.77,100.28,92.79,105.93,104.59,,96.32,100.31,72.56,103.51,86.44,95.36,92.53,97.63,104.77,92.32,101.80,103.15,101.69,93.12,92.55,85.12,107.12,101.04,90.85,104.69,119.81,103.10,84.54,91.06,117.85,95.63,103.66,103.69,126.16,85.91,99.17,104.68,93.68,104.07,98.29,97.53,101.49,100.05,101.67,89.50,,87.45,109.21,95.72,98.01,108.41,107.17,105.45,97.70,97.33,93.78,103.24,102.88,90.90,90.43,95.83,86.96,99.56,129.24
226717-28-8,106.71,97.83,107.65,96.54,96.81,98.88,84.60,71.03,105.99,78.55,106.43,95.03,99.69,96.30,96.43,97.05,101.48,100.62,108.40,109.12,,98.48,102.15,99.43,103.99,107.92,87.74,126.63,201.22,105.17,114.17,87.81,88.30,109.44,112.22,114.35,88.57,95.61,90.60,23.81,97.08,79.23,95.25,103.60,98.96,96.63,93.06,97.04,77.36,89.25,,92.48,94.71,93.26,96.44,90.44,99.30,102.09,98.85,99.36,93.62,100.25,125.54,,101.50,95.23,27.47,100.42,93.05,99.83,111.43,89.60,99.36,116.54,103.73,104.79,100.14,101.48,95.34,107.02,86.30,91.50,108.12,94.51,88.81,116.31,96.17,108.08,97.41,95.04,103.55,101.70,110.03,95.90,97.96,81.43,98.24,96.62,104.61,98.65,103.87,86.60,95.00,100.10,98.00,107.31,59.87,94.70,106.52,99.20,40.45,88.47,101.74,109.19,84.92,77.50,101.52,89.07,84.54,110.89,103.51,98.23,99.92,110.38,68.89,84.84,107.45,103.69,100.18,99.19,94.48,94.09,99.80,96.90,93.34,92.70,95.64,106.90,99.35,104.06,91.41,92.11,99.80,102.21,94.63,101.89,91.78,97.29,79.77,113.64,96.71,98.89,101.16,100.13,95.25,99.72,104.39,90.26,106.38,99.30,98.80,101.02,106.54,100.81,101.82,110.20,101.26,103.81,95.41,88.42,92.49,108.30,102.81,95.93,111.95,,101.82,91.18,63.48,74.48,93.65,93.60,99.53,116.52,111.58,97.94,96.96,98.23,105.22,97.75,116.70,102.73,89.76,105.60,109.29,80.36,74.69,99.97,98.03,102.59,101.63,98.66,117.30,102.70,95.16,66.92,105.39,63.30,99.28,98.99,96.12,113.56,111.18,158.38,97.77,102.37,100.54,107.30,100.02,95.42,96.57,91.08,83.69,95.59,105.87,100.34,99.74,103.27,104.13,96.58,92.25,109.99,106.66,89.15,105.43,89.74,99.11,67.13,100.76,105.59,,103.39,112.97,96.75,101.01,95.62,99.88,112.39,94.33,109.13,80.49,106.86,104.88,105.69,99.98,96.28,87.09,109.25,92.64,64.75,112.59,115.10,74.72,96.72,91.54,117.12,91.27,104.04,94.14,123.25,99.50,103.97,107.34,90.23,103.44,97.52,98.08,101.14,98.86,86.21,86.55,,89.91,110.33,92.03,96.35,107.66,105.30,105.76,93.99,97.36,89.16,105.27,102.68,86.89,94.86,94.77,93.05,96.71,120.68
681281-88-9,99.10,98.08,97.69,85.66,100.63,106.84,90.86,79.16,107.94,93.28,95.51,100.69,104.48,109.20,93.00,98.87,99.13,105.48,97.42,102.49,,104.61,98.78,104.02,98.89,102.16,92.40,114.69,173.43,105.23,98.59,92.18,89.55,110.68,98.28,103.93,90.24,103.87,94.72,95.19,97.37,95.46,90.51,105.32,104.90,100.40,91.90,100.31,93.93,94.05,,97.91,101.21,95.46,102.62,96.54,102.69,88.52,99.03,94.19,94.09,94.02,108.53,,95.43,90.74,98.60,96.82,95.70,103.10,107.87,93.08,93.10,108.30,98.89,99.96,96.31,102.43,96.14,99.19,89.92,99.63,97.35,104.54,97.42,116.28,85.97,109.55,98.31,96.77,102.86,100.81,101.50,103.82,95.74,91.60,100.37,95.49,107.81,101.22,100.42,87.50,101.63,94.60,93.17,106.39,100.07,93.21,99.70,97.42,104.39,95.99,113.63,110.39,93.85,88.45,104.18,93.84,109.53,108.20,106.80,96.06,93.95,103.26,95.60,88.10,94.44,103.46,95.74,96.13,101.32,94.31,99.14,85.91,91.30,102.14,93.39,103.57,102.76,105.46,92.88,102.71,99.14,99.45,105.36,101.65,100.31,96.54,81.06,116.93,92.72,97.12,101.54,96.41,98.38,102.50,103.00,98.31,102.12,93.68,108.56,102.95,97.61,96.82,97.30,99.39,101.29,101.77,97.20,94.56,98.84,107.34,101.80,97.17,111.87,,100.24,98.82,107.72,95.83,96.29,92.17,100.78,110.25,108.76,99.06,98.40,98.38,98.82,91.87,108.20,104.67,94.71,98.83,101.37,96.73,77.74,102.91,103.59,102.85,97.78,101.90,112.10,98.61,98.40,94.89,102.44,102.15,102.58,91.99,92.36,113.59,98.69,160.68,100.45,107.13,102.52,105.21,93.88,93.74,106.99,101.87,87.50,99.77,101.33,94.98,97.65,100.65,109.94,96.04,104.02,112.42,103.11,88.60,103.20,93.53,90.14,88.38,100.43,102.52,,99.17,99.11,105.13,102.92,90.89,96.68,115.19,103.54,110.05,96.94,101.81,109.30,102.60,98.00,92.72,77.14,104.65,96.57,97.83,101.79,122.92,94.61,105.93,89.42,109.26,102.27,96.85,103.37,112.14,74.70,101.51,100.36,90.28,99.55,94.95,94.41,91.59,100.31,90.93,95.37,,94.53,105.74,92.03,84.11,108.75,103.81,101.48,101.67,95.98,95.09,109.62,102.35,92.44,99.43,91.70,91.61,93.35,117.99
35943-35-2,115.77,101.71,103.95,95.64,96.59,110.29,96.47,93.14,109.49,98.18,94.76,91.21,103.68,101.38,94.44,101.27,100.94,89.49,94.72,109.05,,93.88,101.28,102.87,102.91,93.67,97.37,114.33,178.01,106.87,96.99,99.04,97.32,115.70,103.97,108.23,97.83,99.23,90.21,96.46,100.09,80.40,99.25,111.44,105.03,93.90,89.52,94.14,88.24,90.95,,114.01,96.49,100.14,93.55,93.95,100.01,104.74,106.18,100.09,95.59,101.17,97.01,,102.12,98.14,98.54,96.82,96.96,107.72,102.83,93.02,101.61,107.18,92.72,101.46,108.32,100.60,97.76,103.44,91.44,107.11,94.03,104.95,99.57,116.36,91.65,102.81,99.70,96.22,100.09,99.34,110.06,112.27,99.89,95.87,101.55,114.92,108.32,97.44,108.90,88.63,99.06,98.74,94.07,108.97,102.32,99.05,106.18,86.46,105.50,104.24,109.70,101.41,91.15,89.55,102.22,112.32,91.19,114.67,119.66,99.40,108.00,100.32,95.33,96.21,110.60,103.43,101.81,103.11,98.31,98.21,109.26,101.53,101.02,102.03,105.30,105.57,98.56,105.68,87.63,99.97,109.26,111.84,101.04,104.20,100.08,100.04,88.33,110.98,97.35,102.87,103.22,100.33,96.76,103.88,103.65,102.09,107.90,95.41,98.57,99.86,102.23,97.13,99.34,103.38,100.54,103.31,102.40,105.91,90.84,107.40,106.03,97.99,106.69,,101.67,103.02,106.41,91.49,89.66,94.55,99.87,109.94,108.36,98.57,103.28,99.88,103.26,96.39,103.04,100.32,100.02,105.46,106.68,99.85,80.45,101.51,103.64,98.67,99.02,100.30,100.19,97.21,98.16,93.71,110.57,104.93,103.30,104.99,95.09,113.09,100.16,178.74,100.63,106.70,100.61,94.43,97.05,96.19,101.53,101.95,89.87,110.24,95.01,99.75,97.35,100.85,106.68,104.55,101.20,98.11,108.46,88.30,98.69,92.67,96.19,101.65,100.52,109.31,,98.10,99.27,91.71,105.29,89.66,99.76,109.78,101.01,105.60,100.96,107.98,103.18,108.26,92.51,98.90,89.84,110.18,101.14,97.44,114.99,121.21,97.24,91.15,96.82,102.74,109.89,94.62,104.91,118.32,92.75,99.93,104.33,86.32,100.86,96.18,96.77,103.46,104.22,98.68,106.22,,92.32,105.89,92.59,102.32,105.62,102.73,98.49,95.84,103.41,95.16,108.21,102.42,102.25,98.55,94.59,91.20,93.46,111.10
612847-09-3,108.87,100.83,108.96,90.26,100.55,102.62,96.69,73.23,100.60,98.76,103.07,101.21,102.66,96.63,91.17,102.79,107.61,101.90,98.67,104.73,,101.38,102.36,100.95,99.63,97.19,96.77,116.63,201.12,103.63,110.24,99.05,93.20,102.72,109.67,114.15,91.14,99.11,96.77,98.22,99.46,92.80,105.69,115.72,100.58,98.47,97.12,96.76,90.85,95.69,,108.89,92.61,97.25,104.72,96.16,96.93,101.41,103.03,102.26,92.20,97.72,101.71,,106.04,95.63,94.60,97.38,92.75,107.38,109.03,95.63,95.52,108.13,87.98,101.63,105.59,99.71,102.54,101.37,98.21,96.79,99.21,107.43,102.15,110.57,90.13,105.79,95.16,101.30,101.20,97.93,110.32,100.36,106.32,92.22,101.31,109.20,99.16,98.26,98.03,90.62,104.78,96.42,102.10,100.49,115.60,100.83,106.81,87.27,91.69,109.28,95.47,108.76,98.72,86.63,104.00,106.16,99.50,101.90,108.55,106.20,101.78,105.32,96.66,99.03,111.16,103.84,96.77,98.18,97.68,99.00,105.70,105.59,96.00,103.68,109.59,103.94,104.93,107.22,95.56,96.41,105.70,71.95,100.26,104.02,94.20,89.80,98.16,110.90,99.77,101.68,103.73,101.74,113.64,102.38,99.85,93.86,108.86,101.66,103.87,104.07,91.88,94.28,99.16,102.14,101.59,107.44,98.73,98.81,84.13,107.73,105.57,101.75,114.00,,104.38,106.31,96.99,103.23,89.55,97.46,101.36,116.22,102.99,101.00,104.33,96.23,102.70,94.66,108.02,93.12,91.89,104.09,104.59,98.20,84.34,105.62,99.56,102.72,99.10,101.72,118.44,100.72,99.50,90.80,108.48,101.52,102.08,95.19,96.51,110.76,100.95,161.69,101.67,104.04,101.61,106.09,98.01,93.12,107.35,94.61,95.34,101.73,101.40,100.76,98.82,100.70,111.06,102.13,99.34,111.91,109.65,89.17,108.57,96.76,97.04,101.03,100.52,103.81,,90.69,99.44,85.03,105.11,98.26,101.00,112.28,97.92,104.62,98.18,107.66,105.97,106.93,92.29,96.02,84.35,113.00,103.77,99.41,108.81,111.60,91.87,96.05,89.57,100.93,96.48,94.68,100.50,115.38,82.87,99.21,103.06,92.36,106.50,99.69,95.09,98.40,93.78,98.75,99.62,,103.18,107.83,88.86,97.22,109.30,94.58,100.64,100.69,96.77,95.46,102.49,99.28,93.95,92.22,91.90,86.44,90.36,104.94
925681-41-0,104.25,92.62,108.73,89.64,108.45,105.05,99.82,72.38,103.17,95.36,114.50,87.95,98.76,98.57,89.37,106.32,106.96,94.18,111.00,110.71,,91.32,99.31,97.52,102.16,103.46,94.41,116.03,193.95,100.79,115.95,101.67,101.46,107.35,94.32,112.05,94.98,102.32,103.15,102.35,97.11,96.96,109.57,109.03,94.64,96.15,91.90,101.09,93.73,101.04,,102.07,97.08,91.05,99.65,95.47,90.95,96.71,110.96,89.82,94.32,105.25,103.87,,106.06,98.41,98.99,95.95,86.30,100.98,110.47,94.39,102.84,104.49,88.44,109.08,102.00,102.47,90.71,107.20,94.58,100.68,99.36,112.39,104.58,109.53,98.79,104.27,98.94,97.70,102.42,100.52,76.57,104.77,107.37,86.05,98.80,102.49,98.79,98.27,98.72,87.72,101.85,97.54,106.69,105.55,103.34,98.87,106.53,87.47,107.11,108.65,106.92,108.89,94.08,88.42,100.06,94.35,104.12,104.56,100.04,96.46,109.01,109.67,96.34,93.28,111.77,102.32,100.75,106.55,104.67,99.01,105.54,107.51,99.30,95.64,95.28,109.75,97.98,100.97,89.41,97.92,105.54,100.57,104.67,110.08,95.71,92.57,83.53,109.15,101.23,98.40,111.76,99.95,105.31,94.34,99.25,95.72,105.33,97.97,115.62,107.00,90.34,96.16,98.64,97.85,102.59,101.16,97.19,80.83,101.79,106.95,62.02,99.38,110.76,,105.42,37.83,97.78,104.18,89.67,90.28,101.52,114.90,103.18,95.27,97.05,102.80,102.14,100.88,107.64,97.37,102.19,104.43,95.19,106.99,83.02,98.38,104.57,102.82,99.03,97.23,111.15,96.60,95.20,88.48,100.71,103.10,101.39,94.67,78.30,104.12,98.98,157.49,104.51,100.64,102.49,97.18,99.16,105.31,104.17,99.88,96.49,105.18,99.21,99.72,95.26,102.80,104.86,103.44,104.27,84.66,117.93,89.70,104.41,98.09,104.56,91.83,99.12,106.14,,90.01,99.80,96.82,104.38,100.98,104.08,105.33,97.63,102.34,96.08,101.30,103.38,110.74,94.65,103.81,90.46,113.45,104.37,101.76,117.52,105.47,104.53,96.13,89.90,102.63,96.66,104.64,108.39,118.94,76.58,102.55,105.87,88.23,105.59,95.85,101.12,99.17,106.06,98.75,89.71,,106.03,105.12,96.57,92.63,103.17,104.74,99.76,100.79,95.65,95.97,97.15,99.21,92.73,91.15,93.45,91.99,90.85,102.31
237430-03-4,82.03,91.22,110.93,88.22,96.89,85.14,85.10,74.51,74.53,79.83,96.48,62.01,94.27,70.57,93.01,70.30,101.26,96.58,92.88,96.21,,96.83,54.50,89.72,75.14,108.10,97.58,91.67,166.70,95.50,71.41,43.37,22.64,106.86,94.26,107.28,92.70,98.76,68.50,91.75,88.23,86.38,108.89,108.64,64.43,98.96,96.49,92.38,87.77,50.30,,95.02,80.37,91.43,82.92,83.11,10.47,56.54,20.35,97.03,98.21,79.28,93.90,,102.79,93.89,19.65,92.73,82.44,37.46,111.23,90.23,106.24,109.51,93.79,98.60,103.64,57.65,11.97,53.08,81.18,101.44,102.92,95.91,88.62,76.69,102.89,106.09,52.31,102.56,98.31,87.53,86.88,101.05,34.49,52.37,99.48,101.18,99.25,39.71,8.37,36.70,87.33,98.23,96.50,99.73,63.41,89.16,,88.91,83.71,38.04,106.95,97.97,85.91,92.47,62.54,91.25,4.47,116.75,105.89,9.22,101.05,8.77,81.56,95.95,103.10,99.26,54.60,97.10,96.17,97.19,94.17,99.65,94.99,76.90,71.72,111.51,16.76,72.03,19.62,87.23,94.17,97.82,7.90,101.41,96.73,83.64,77.52,112.72,97.07,97.15,102.94,98.86,97.73,96.33,86.91,10.49,100.71,78.59,80.44,98.14,7.98,86.84,40.98,66.85,101.63,104.88,77.41,90.64,67.53,38.67,92.02,96.04,56.50,,96.99,62.33,50.97,94.85,99.62,56.77,94.54,89.33,94.15,80.19,88.83,88.31,67.66,95.58,88.07,112.31,93.39,102.71,100.21,57.65,59.88,87.44,71.75,96.69,99.86,103.39,93.50,101.96,93.06,42.35,102.33,87.44,79.69,99.03,90.00,105.63,99.34,137.38,37.15,87.27,48.59,100.37,91.57,92.88,92.66,11.81,91.78,108.51,96.01,83.31,88.86,91.67,109.27,92.06,100.23,106.39,109.58,43.43,88.37,92.59,83.27,90.53,96.60,90.00,,66.39,106.67,23.19,94.52,90.80,86.15,79.47,53.90,76.17,46.41,104.74,72.66,93.67,74.85,97.23,94.84,2.68,87.43,86.07,93.06,110.67,97.19,102.54,79.95,100.39,74.69,114.44,0.97,115.96,103.52,96.19,92.66,78.03,98.49,92.11,94.78,98.16,101.42,77.82,89.67,,39.66,24.19,94.83,90.62,106.66,97.84,46.28,104.94,131.82,19.42,55.45,102.94,98.22,92.48,15.93,95.42,68.61,105.04
852527-97-0,28.59,38.92,95.44,77.98,99.43,95.36,94.23,77.88,78.37,74.86,73.85,24.40,99.28,28.62,92.18,40.89,98.47,103.64,87.73,73.10,,88.41,24.78,59.89,72.72,103.67,93.93,86.67,154.56,89.69,60.27,25.99,28.58,94.19,99.94,111.30,94.55,99.72,62.95,87.41,84.02,77.09,103.85,109.47,92.93,97.72,85.19,92.74,75.49,31.01,,95.29,74.08,106.44,62.94,77.54,5.79,48.15,29.86,94.59,99.66,57.84,86.36,,99.29,79.97,15.08,94.28,83.73,45.15,99.55,96.33,99.00,99.45,91.53,88.47,104.53,25.87,14.12,52.23,78.20,100.39,104.61,91.40,91.90,66.01,105.01,110.25,30.92,97.98,97.22,76.83,96.90,97.37,42.00,65.49,99.29,104.02,102.67,46.80,2.93,52.10,91.76,111.01,96.11,101.07,61.23,98.41,91.84,97.07,76.57,13.37,107.27,100.69,79.96,90.30,67.37,88.64,6.82,119.09,100.14,7.72,94.08,13.97,80.78,78.71,106.89,100.51,49.81,100.57,87.23,96.49,78.84,96.52,83.56,66.67,88.60,99.08,6.79,46.84,13.36,82.16,78.84,93.90,12.59,99.06,93.20,91.07,96.42,104.49,99.89,92.68,102.48,100.71,103.64,98.20,94.44,18.22,94.17,65.10,97.08,99.26,2.60,91.22,55.59,73.12,101.36,104.16,83.43,85.82,38.14,11.76,93.57,87.86,44.19,,96.75,70.91,43.41,93.85,93.07,39.69,99.20,77.70,95.52,70.96,95.21,78.74,67.28,87.49,82.19,98.93,89.24,93.01,95.54,47.80,80.91,87.57,63.81,94.84,93.74,102.58,95.05,96.28,87.02,35.83,99.23,83.89,58.78,87.49,89.68,107.67,97.56,119.51,22.97,67.64,29.99,106.76,89.76,78.63,94.63,18.43,96.37,83.43,102.95,54.06,86.45,84.76,109.92,97.64,81.60,118.68,105.91,21.54,69.14,97.06,65.29,90.27,96.31,67.09,,57.70,115.26,9.89,66.03,97.51,85.86,86.84,58.02,53.56,46.76,97.36,73.09,79.75,75.44,93.30,91.74,2.71,71.66,86.39,74.92,113.59,97.07,95.11,78.80,83.35,59.19,103.71,0.80,112.27,96.52,94.46,93.60,61.55,97.86,91.82,96.02,94.58,100.66,66.49,87.39,,30.77,23.72,98.57,89.11,103.02,91.94,37.94,131.68,160.83,10.12,62.54,112.65,100.26,93.33,7.61,100.52,67.63,76.26
