iter	Passed	Remaining
0	59	177605
1	59	89261
2	59	59853
3	60	45127
4	60	36293
5	60	30355
6	61	26150
7	61	23003
8	61	20553
9	62	18588
10	62	16937
11	62	15601
12	63	14487
13	63	13516
14	63	12671
15	63	11935
16	64	11286
17	64	10710
18	65	10308
19	66	9839
20	66	9420
21	66	9034
22	67	8679
23	67	8357
24	67	8063
25	68	7788
26	68	7533
27	68	7295
28	69	7075
29	69	6866
30	69	6672
31	70	6556
32	70	6377
33	71	6214
34	71	6064
35	71	5915
36	72	5777
37	72	5647
38	72	5526
39	73	5409
40	73	5297
41	73	5194
42	74	5092
43	74	4995
44	74	4908
45	75	4817
46	75	4724
47	75	4643
48	75	4566
49	76	4493
50	76	4421
51	76	4355
52	77	4292
53	77	4232
54	77	4169
55	78	4109
56	78	4054
57	78	4001
58	79	3951
59	79	3899
60	79	3852
61	80	3804
62	80	3759
63	80	3715
64	81	3670
65	81	3626
66	81	3585
67	82	3545
68	82	3506
69	82	3468
70	83	3432
71	83	3397
72	83	3360
73	84	3327
74	84	3296
75	84	3262
76	85	3230
77	85	3199
78	85	3168
79	86	3139
80	86	3111
81	86	3083
82	86	3056
83	87	3029
84	87	2998
85	87	2972
86	88	2951
87	88	2927
88	88	2903
89	89	2881
90	89	2860
91	89	2836
92	90	2814
93	90	2791
94	90	2769
95	90	2748
96	91	2729
97	91	2709
98	91	2688
99	92	2672
100	92	2655
101	92	2640
102	93	2627
103	93	2612
104	94	2600
105	94	2586
106	95	2575
107	95	2560
108	95	2545
109	96	2528
110	96	2512
111	96	2497
112	97	2482
113	97	2468
114	97	2455
115	98	2440
116	99	2443
117	99	2429
118	99	2416
119	100	2405
120	100	2392
121	100	2382
122	101	2370
123	101	2358
124	102	2362
125	103	2351
126	103	2339
127	103	2328
128	104	2315
129	104	2305
130	104	2293
131	105	2281
132	105	2270
133	105	2260
134	105	2248
135	106	2238
136	106	2227
137	106	2218
138	107	2208
139	107	2200
140	108	2200
141	108	2192
142	109	2184
143	109	2181
144	110	2174
145	110	2166
146	111	2159
147	111	2150
148	111	2142
149	112	2134
150	112	2125
151	112	2115
152	113	2107
153	113	2099
154	113	2091
155	114	2083
156	114	2075
157	114	2066
158	115	2060
159	115	2053
160	116	2046
161	116	2038
162	116	2030
163	116	2022
164	117	2015
165	117	2008
166	117	2000
167	118	1993
168	119	1995
169	119	1988
170	119	1982
171	120	1988
172	121	1983
173	121	1975
174	121	1969
175	122	1961
