Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_halogen,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_morpholine,fr_nitrile,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_thiazole,fr_thiophene,fr_urea
UNC10225469A,13.581465158857984,-3.764085403591851,13.581465158857984,0.06372661564625837,0.6496481295816974,420.2999999999998,401.14800000000014,419.0915802080005,146,0.2773497830075345,-0.3777758791877088,0.3777758791877088,0.2773497830075345,1.3571428571428572,2.142857142857143,2.892857142857143,11.308099324494577,-0.18048663009857902,2.2910153088158755e-16,-2.6718604014557457,0.1740360434677936,-2.79835961890078,2.351735685766321,-1.0056654083044327,36.204224112214405,32.30849350444597,14.820351396482883,20.90826083367678,16.90001168395479,8.155940629973246,5.21635423839045,5.972283184408902,3.510890425529053,4.2690603025048715,2.2454272326296354,2.5239127409968285,-2.0900000000000003,6.720777881555385,7.060683910684876,3.170957228828765,197.68777428343313,9.636772684650527,11.642267275834955,0.0,5.777653723919194,5.559266895052007,0.0,9.361636831863176,0.0,9.499376414562832,5.098681808301038,35.286717195791624,24.35172000201905,31.783888542509363,48.85071658401429,30.781275521034225,34.79739628221925,0.0,19.165157870655225,0.0,25.136667172337784,31.011599585314947,55.956601526956575,0.0,64.66000000000001,114.00593787144126,4.794537184071822,0.0,13.982407272257454,0.0,0.0,0.0,0.0,0.0,14.819523283048294,49.246292347699246,161.67640118590566,12.249685952949681,17.01893730575759,2.1046580003289943,-2.7542252893955927,-7.127696081261723,-4.342143142971593,-6.318245432606604,-18.451816943150927,0.0,0.42105263157894735,28,0,7,1,1,2,1,2,3,7,0,9,4,1,1,2,5,2.9601000000000006,107.81800000000001,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC10225012A,14.133658867195987,-3.7189288278013413,14.133658867195987,0.1285587289139989,0.4016517215861884,465.5819999999999,442.3980000000003,465.16233135600066,168,0.23092022598005593,-0.38314161188505347,0.38314161188505347,0.23092022598005593,1.2647058823529411,2.176470588235294,3.0,11.454134182775695,-0.24350624078159216,0.24662754101351897,-2.452183912962402,0.2671317071927159,-2.5827541072347304,2.6889648433322617,-0.985057194438129,43.13242734248992,39.55256455842752,17.369061139355242,25.969786120268306,20.719260806445522,10.141330196373332,6.691845040247207,7.508341621174933,4.680041641372218,5.598600294915913,3.2138956543355284,4.167322874639545,-3.969999999999999,7.515264370764509,8.11054385832718,3.4514007841316596,233.2621556317931,10.619626706576751,5.817862777835028,2.8236841566564013,5.907179729351506,0.0,0.0,9.476340119217006,4.9839785209472085,5.098681808301038,11.336785877934737,36.25451224597977,40.504231201414555,67.8776717801277,31.736439898527216,36.40415102030285,38.83535879073873,0.0,14.76446326439343,6.975826900282246,12.745849802658759,17.116486390892696,83.34105268681225,22.253805966787983,77.04,154.61204803719212,6.165295740242042,0.0,20.001349558191038,11.336785877934737,0.0,0.0,0.0,0.0,10.082660329248245,30.238855280060797,192.88317155703,0.4231937547179758,17.827563255518683,2.418946014719432,-6.106061238347754,-2.817972211533477,-8.890023425971288,-9.79858754489638,-6.7735634945705225,0.0,0.14814814814814814,34,2,6,0,1,1,2,3,5,6,1,7,6,0,0,0,6,5.077800000000003,137.8733999999999,0,0,1,0,3,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
UNC10225159A,14.318117742707603,-5.9556514213762854,14.318117742707603,0.16445245967718325,0.2400030162544118,581.7020000000015,550.4540000000003,581.220908852001,214,0.22722210517560051,-0.3258335605479372,0.3258335605479372,0.22722210517560051,1.119047619047619,1.9523809523809523,2.761904761904762,11.198547088741524,-0.24282507723719163,0.012028119460389407,-2.7698054968499353,0.1303588991537243,-2.6884407688749734,2.143988111973367,-1.1516625860264305,56.33953412367647,51.26348833035516,21.07998491128289,32.74760756660122,26.449807735278814,12.538543791873288,7.613948525817546,8.824946246436028,4.864518965806864,5.3373718503214285,3.2725381993784577,3.6433290112770553,-4.64,9.177744672602449,11.690583123258317,6.306620335322139,287.37183668826304,10.619626706576751,5.693927994848461,12.660937293073903,11.855519010338,0.0,0.0,4.794537184071822,18.385754026223353,9.72878298927049,5.098681808301038,43.288449534641316,60.60623224799881,63.29403314789675,40.29889831952475,55.788016453993585,38.584245413738884,0.0,24.795421839465945,5.893957685363079,37.56958139179706,16.80355080769321,84.37584769762279,22.514758973090913,131.24,200.4321286160176,14.583092724570978,0.0,5.309813353288376,4.630101180969453,0.0,0.0,0.0,0.0,20.16532065849649,41.204923729422575,285.2003433243818,0.0,21.930178311873668,6.784720561513067,-13.628466245355437,-8.376205565182705,-14.837866667953193,-27.867052297901026,0.0,-5.9556514213762854,0.25806451612903225,42,2,10,1,0,1,2,3,5,9,2,11,9,1,0,1,6,5.660300000000005,162.92619999999962,0,0,0,0,5,0,0,0,0,1,1,5,2,0,0,0,0,0,0,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UNC10225310A,14.852957703273034,-3.5704088063084507,14.852957703273034,0.024358940431877585,0.21593689164409421,560.5890000000012,535.3890000000002,560.1972168800007,208,0.2627286797290453,-0.4957762077863213,0.4957762077863213,0.2627286797290453,0.9523809523809523,1.7380952380952381,2.5714285714285716,11.845539272585459,-0.24553519095520174,0.5089694842796361,-2.332636312622746,0.6105500905690486,-2.3472484733818404,2.8693859669716697,-0.9437389599833085,50.5880927891904,45.28599091740057,20.285990917400564,30.764115424546272,23.513704928913953,11.11927773791404,7.607165017483708,7.607165017483708,5.148656384094211,5.148656384094211,3.4908283161346962,3.4908283161346962,-5.769999999999999,10.25142196873441,11.378911380137833,5.203344792893884,275.3944122912717,20.09335261417685,28.573623994159163,2.8236841566564013,5.948339280986494,5.907179729351506,0.0,4.794537184071822,18.87376998318486,5.098681808301038,0.0,30.212093538316473,60.42418707663295,29.28401446269364,62.377431913842024,53.00980908791824,28.746992277321386,0.0,19.582036743811077,0.0,0.0,24.69553162434193,114.36274336932186,34.01378263965872,102.67,196.5092365573556,10.555710787916862,0.0,5.309813353288376,4.5153978936156225,0.0,0.0,0.0,0.0,15.066638850195453,42.45409830000135,231.4243181197818,0.0,22.068732945602775,3.660158842914715,-8.365214815011285,-7.604073693345748,-17.447514902425294,-2.095588884900061,0.0,-7.1408176126169005,0.0625,42,2,9,0,0,0,3,3,6,8,2,10,10,0,0,0,6,6.6105000000000045,158.8358999999997,0,0,0,0,4,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,1,3,0,3,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UNC10225187A,13.284208963699545,-5.370040338317236,13.284208963699545,0.4430437452758884,0.8307737602469432,294.2759999999998,281.172,294.09799769600033,110,0.4159855244059726,-0.30772147914830283,0.4159855244059726,0.30772147914830283,1.1428571428571428,1.8095238095238095,2.4285714285714284,11.862623456174896,-0.2435391805385467,0.014208950939857757,-2.347910609621822,0.4192,-2.421764820507919,2.4419516966925485,-0.9457451642127163,26.66025403784439,22.93656890049146,9.93656890049146,15.261536563608846,11.559925236745604,5.165498045745688,3.4511536481276277,3.4511536481276277,1.9219740431744061,1.9219740431744061,1.1095814177647148,1.1095814177647148,-2.4999999999999987,5.363905325443787,5.865650969529086,4.23721340388007,137.72190611144754,10.619626706576751,0.0,2.8236841566564013,0.0,0.0,12.207413029781547,0.0,4.794537184071822,13.171245143024459,0.0,23.69070761468688,37.06398565561216,15.487048217877783,16.529519941058755,35.8678106016251,17.405887061705197,0.0,0.0,0.0,13.028190634739154,10.619626706576751,59.46625264470035,0.0,41.13,100.51995704772145,17.96578232709628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.90202827452882,139.12324192897074,0.0,12.63503507653061,-1.0043786611866974,-5.610846119126918,0.0,-12.502564908533662,-5.370040338317236,-3.1037803116701648,0.0,0.13333333333333333,21,2,3,0,0,0,2,0,2,1,2,6,3,0,0,0,2,4.657820000000002,75.26440000000002,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,3,0,2,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UNC10225062A,7.6847260015117165,-3.105803335222979,7.6847260015117165,0.03149140211640189,0.6613593002754281,163.18400000000008,154.112,163.08579528799999,62,0.1648973198824175,-0.38173116810781627,0.38173116810781627,0.1648973198824175,1.8333333333333333,2.8333333333333335,3.6666666666666665,11.452965205940474,-0.24747477714237195,3.5621297720953105e-17,-2.410574284923261,2.7932610317925906e-17,-2.3926883263309087,1.7211489555822317,-1.063014028857227,16.162772227887025,14.73606797749979,5.73606797749979,9.464232620803163,7.380495168499706,2.9860679774997902,1.978444185374864,1.978444185374864,1.3208203932499376,1.3208203932499376,0.806836287918731,0.806836287918731,-1.65,2.184915997078159,2.4386476072908185,0.8273464044495593,82.02176619347425,10.286816623517627,14.561589543922928,14.288724155259157,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,0.0,6.851892117295679,13.350652465167045,6.303371713966227,12.418994049847942,16.98174071621902,0.0,19.51903521063298,0.0,13.348751801611623,5.719716975726273,12.606743427932454,0.0,69.62,37.42053522814683,0.0,0.0,11.236417693342535,4.567099647791355,0.0,0.0,0.0,0.0,14.951935562841626,12.418994049847942,66.81823719765684,0.0,10.660563114134542,0.0,-0.6955919312169305,-0.4457482993197275,0.0,-1.4040584845049122,-6.10006826341648,0.0,0.2857142857142857,12,2,5,0,0,0,0,2,2,5,1,5,3,0,0,0,2,0.4283999999999999,45.409400000000005,0,0,1,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC10225296A,8.94963649282282,-4.079667450653555,8.94963649282282,0.011315536090934941,0.4055441290005669,413.5209999999997,386.3050000000002,413.2103271040007,158,0.29309401811025215,-0.5078857914513725,0.5078857914513725,0.29309401811025215,1.1935483870967742,2.129032258064516,3.0,10.43563979164521,-0.24379749365052722,7.605223565543042e-17,-2.771836385558643,1.4801239092072409e-16,-2.779548884166472,1.554752268652772,-1.128646438657967,44.74567599654179,42.1581373674276,15.158137367427601,26.042576867565813,21.78308190590947,8.427620019945648,5.766485491436601,5.766485491436601,3.759398094913455,3.759398094913455,2.438935786667061,2.438935786667061,-3.309999999999999,5.726534536737978,8.437901789065322,4.275247022188895,219.97285695653443,14.835772481448934,17.27000667103279,1.4118420783282006,0.0,1.4311996572326342,0.0,9.883888251797686,0.0,0.0,0.0,18.45776231665597,74.4094250262631,52.35962340421987,28.46266307597484,45.206765110744286,22.277697481448183,1.4311996572326342,9.883888251797686,0.0,32.467526505599764,18.303532721920263,71.87836249035585,17.07321074385534,61.53,161.59042632074153,0.0,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,10.092786712054421,41.529156576869696,230.42359629587418,0.0,3.09868112386025,3.41945153585318,-5.03319127159783,-3.6500532746610483,-10.284125671662276,-13.068118963702302,-15.489573107297408,0.0,0.2692307692307692,31,2,5,0,1,1,2,2,4,5,2,5,7,0,1,1,5,6.238320000000004,124.69950000000004,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
UNC10225430A,14.13573521366,-5.470125734254524,14.13573521366,0.2379971340388014,0.4418169075054933,395.38399999999973,379.25600000000003,395.12454679200044,146,0.43293651188134696,-0.5078857914513649,0.5078857914513649,0.43293651188134696,1.0344827586206897,1.8620689655172413,2.586206896551724,12.18475935747504,-0.2435856154695391,0.5381248753700966,-2.3650650042339523,0.6525594918069401,-2.239488769380935,2.880028156278215,-0.9448564108034218,34.24567599654179,29.88378249599142,13.883782495991419,20.587235066304338,15.468173527209467,7.612711641245647,5.405327399649429,5.405327399649429,3.4754092758285866,3.4754092758285866,2.239686607768644,2.239686607768644,-3.6099999999999985,7.665067990051726,7.087497907384857,3.8451722400689023,186.86139329167975,10.418621544395588,11.443439828132366,1.4118420783282006,0.0,1.4311996572326342,6.176298517443475,4.9839785209472085,4.9839785209472085,13.171245143024459,0.0,12.08483741532659,59.796758838366436,33.57409528695184,26.28243111017224,38.88251519884297,22.277697481448183,1.4311996572326342,9.967957041894417,0.0,13.028190634739154,5.309813353288376,77.98493827714464,16.876414816677897,58.04,130.16724121000985,13.171245143024459,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,15.07676523300163,22.033661521943912,172.59700635538576,0.0,6.632058881700992,2.9386125653436803,-8.640951166521603,-1.0805278220039674,-10.427451095799693,-7.260786218792658,-3.424628165979179,0.0,0.09090909090909091,29,2,4,0,0,0,2,2,4,4,2,7,5,0,0,0,4,6.073220000000004,106.10249999999999,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,3,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
UNC10225266A,8.896452716889225,-3.003664904614216,8.896452716889225,0.2972988709372639,0.49517289631918926,352.4009999999998,336.2730000000001,352.14364451200044,130,0.19006305489697173,-0.33957366152513246,0.33957366152513246,0.19006305489697173,1.0740740740740742,2.037037037037037,3.0,11.788118826451644,-0.24358127940757965,0.4764171225198214,-2.2884102496479093,0.5269055191094985,-2.189292394784005,2.939130487409102,-0.9458378372690058,32.03013304691797,29.183281572999746,13.183281572999748,19.89354829110419,15.330495168499708,7.436067977499791,5.149264578624801,5.149264578624801,3.427050983124841,3.427050983124841,2.2811938188061442,2.2811938188061442,-3.7999999999999994,6.126697530864196,6.17408479988119,2.868025987512822,177.47557207346676,5.309813353288376,11.51179077268349,8.648088654656329,0.0,0.0,0.0,5.091706557583081,14.951935562841626,5.098681808301038,0.0,18.127256122989884,49.14882307093875,26.266038366972275,32.284640763919704,22.01430394303948,33.311098916680706,0.0,25.142323928725745,0.0,6.851892117295679,5.309813353288376,72.29101028229616,11.518332492848387,79.38000000000001,113.0694088770399,0.0,0.0,10.902924932081056,10.401519910871457,0.0,0.0,0.0,0.0,20.050617371142664,22.01430394303948,130.79519888376456,0.0,12.053852418658511,3.391357694247895,-3.081576612138411,-1.3658931720836476,-7.601314853994519,-0.6046261205068364,-3.003664904614216,0.0,0.047619047619047616,27,2,6,0,0,0,2,3,5,5,2,6,4,0,0,0,5,4.620120000000003,106.8824,0,0,0,0,5,1,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
UNC10225324A,13.002182097814655,-5.543197241107289,13.002182097814655,0.08140985316557892,0.40486237070389697,487.55899999999986,466.39100000000025,487.08717739200057,172,0.26217206008013205,-0.4927853088803528,0.4927853088803528,0.26217206008013205,1.2121212121212122,1.9696969696969697,2.6666666666666665,12.01905088531143,-0.24553563529316216,2.6670449391476933e-16,-2.344169539681677,0.04973493826087256,-2.4810769366029417,2.577868742078748,-0.9466177079671412,41.58253928972526,36.60762711021078,17.240620272066234,24.263268101969047,18.564766908384367,10.469999545906573,5.764100196749644,8.17829282936284,3.73264055232622,5.516347577540022,2.3555011723707864,3.5594745230416804,-3.5699999999999994,8.332467590238341,8.754820657293672,4.500312593297957,223.4190504296753,19.93030583712642,29.860856516725807,24.159960959641708,0.0,5.907179729351506,0.0,9.361636831863176,13.401775505276145,0.0,11.336785877934737,12.08483741532659,17.648288907023584,28.423455892617003,50.56616817106882,56.29101975369153,38.11462017893626,0.0,9.551078168738563,5.719716975726273,11.454468718434065,20.259829018881636,59.040901353007584,22.24961747653958,122.74,145.5023678435907,13.212334168400758,0.0,11.336785877934737,4.567099647791355,0.0,0.0,0.0,0.0,4.9839785209472085,43.07868558529074,206.1988967424182,0.08140985316557892,14.184238955045263,-0.727410245670302,-3.367663493435413,-5.110141683670377,-9.206210429997475,-4.853885279800997,-3.6824757907466026,-12.266758627307933,0.18181818181818182,33,2,9,0,0,0,2,2,4,9,1,11,11,0,0,0,4,3.185600000000001,124.45270000000005,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
