iter	Passed	Remaining
0	2	11660
1	4	10690
2	6	10496
3	8	10269
4	10	10191
5	12	10088
6	14	10116
7	16	10039
8	18	10060
9	20	10208
10	22	10163
11	24	10237
12	27	10390
13	29	10356
14	31	10350
15	33	10332
16	35	10495
17	38	10613
18	41	10847
19	44	11076
20	46	11050
21	48	11026
22	50	11023
23	53	11154
24	55	11130
25	58	11181
26	61	11362
27	63	11331
28	65	11294
29	67	11238
30	69	11195
31	71	11176
32	74	11138
33	76	11149
34	78	11186
35	81	11210
36	83	11178
37	85	11197
38	87	11170
39	89	11153
40	92	11134
41	94	11160
42	96	11158
43	98	11136
44	100	11118
45	103	11139
46	106	11177
47	108	11174
48	110	11145
49	112	11123
50	114	11098
51	117	11138
52	119	11178
53	121	11148
54	123	11145
55	126	11145
56	128	11124
57	130	11111
58	132	11063
59	134	11088
60	136	11069
61	138	11060
62	141	11072
63	143	11061
64	145	11039
65	147	11011
66	149	11011
67	151	10990
68	153	11002
69	156	11014
70	158	11028
71	160	11006
72	162	10986
73	164	10957
74	166	10943
75	168	10929
76	170	10932
77	173	10948
78	175	10934
79	177	10927
80	180	10932
81	182	10917
82	184	10925
83	187	10944
84	188	10924
85	191	10916
86	193	10920
87	196	10942
88	198	10943
89	200	10934
90	202	10919
91	204	10924
92	207	10923
93	209	10909
94	211	10906
95	213	10895
96	215	10888
97	217	10876
98	219	10864
99	221	10863
100	224	10871
101	226	10881
102	228	10879
103	231	10885
104	234	10910
105	236	10919
106	238	10912
107	240	10906
108	242	10893
109	245	10904
110	247	10899
111	249	10904
112	252	10907
113	254	10896
114	256	10882
115	258	10873
116	260	10891
117	263	10881
118	265	10885
119	267	10871
120	269	10875
121	272	10878
122	274	10900
123	276	10889
124	279	10883
125	281	10872
126	283	10859
127	285	10866
128	290	10951
129	292	10948
130	294	10952
131	296	10944
132	298	10940
133	301	10947
134	303	10939
135	305	10937
136	308	10937
137	310	10956
138	314	10995
139	317	11017
140	320	11041
141	323	11061
142	325	11050
143	327	11052
144	329	11039
145	332	11038
146	334	11034
147	336	11035
148	340	11092
149	343	11115
150	346	11123
151	349	11137
152	352	11152
153	354	11159
154	360	11256
155	362	11254
156	364	11252
157	366	11244
158	370	11285
159	374	11322
160	376	11325
161	379	11322
162	381	11323
163	383	11312
164	391	11475
165	393	11465
166	396	11461
167	399	11501
168	401	11490
169	404	11495
170	406	11478
171	409	11485
172	412	11516
173	415	11535
174	418	11550
175	420	11535
176	423	11551
177	428	11602
178	431	11622
179	434	11634
180	436	11625
181	438	11612
182	441	11609
183	445	11648
184	449	11699
185	451	11690
186	453	11679
187	456	11689
188	460	11733
189	466	11812
190	468	11805
191	470	11790
192	473	11788
193	477	11829
194	481	11872
195	484	11866
196	486	11856
197	488	11848
198	491	11861
199	494	11877
200	498	11907
201	501	11912
202	504	11916
203	507	11936
204	511	11958
205	514	11972
206	516	11960
207	518	11948
208	520	11937
209	523	11942
210	528	11999
211	530	11990
212	534	12003
213	536	12002
214	541	12040
215	545	12076
216	548	12087
217	550	12076
218	553	12074
219	555	12068
220	559	12088
221	561	12080
222	563	12077
223	566	12078
224	569	12081
225	571	12073
226	573	12063
227	575	12048
228	578	12048
229	581	12054
230	583	12040
231	585	12037
232	588	12037
233	590	12028
234	592	12015
235	594	12008
236	597	12000
237	599	11990
238	601	11983
239	604	11981
240	606	11973
241	608	11962
242	610	11949
243	612	11941
244	614	11927
245	617	11941
246	621	11954
247	623	11943
248	625	11940
249	627	11931
250	630	11920
251	632	11911
252	634	11907
253	637	11911
254	639	11903
255	641	11891
256	643	11885
257	646	11877
258	648	11865
259	650	11864
260	653	11862
261	656	11870
262	659	11870
263	661	11860
264	663	11851
265	665	11842
266	667	11840
267	670	11840
268	672	11829
269	674	11817
270	676	11804
271	678	11801
272	681	11794
273	683	11788
274	685	11783
275	688	11775
276	690	11774
277	693	11771
278	695	11772
279	698	11775
280	701	11772
281	703	11763
282	704	11749
283	706	11737
284	708	11726
285	711	11719
286	713	11709
