Molecule,y1_true,y1_pred,y1_pred_stdev,y1_pred_res,y1_pred_freq,y1_recalc,y1_recalc_stdev,y1_recalc_res,y1_recalc_freq
CMPLOGP00003235,3.0000,2.7253,0.2210,0.2747,5,2.9948,0.0328,0.0052,20
CMPLOGP00003686,3.4300,3.3203,0.0597,0.1097,5,3.3704,0.0485,0.0596,16
CMPLOGP00004605,4.6000,5.5684,0.3533,-0.9684,5,4.6692,0.0420,-0.0692,18
CMPLOGP00002394,2.2400,2.4588,0.3357,-0.2188,5,2.2058,0.0457,0.0342,13
CMPLOGP00000259,-0.5390,1.0206,0.5644,-1.5596,5,-0.4752,0.0460,-0.0638,12
CMPLOGP00003089,2.8700,3.0749,0.1657,-0.2049,5,2.8964,0.0366,-0.0264,15
CMPLOGP00004112,3.9000,2.8401,0.2357,1.0599,5,3.7600,0.0592,0.1400,15
CMPLOGP00004348,4.2000,4.0238,0.0735,0.1762,5,4.1682,0.0267,0.0318,16
CMPLOGP00003251,3.0100,3.9237,0.0869,-0.9137,5,3.0641,0.0427,-0.0541,19
CMPLOGP00003052,2.8300,2.8363,0.3072,-0.0063,5,2.7907,0.0257,0.0393,16
CMPLOGP00002702,2.5000,2.1201,0.0765,0.3799,5,2.3942,0.0307,0.1058,16
CMPLOGP00002257,2.1100,1.9901,0.2279,0.1199,5,2.0537,0.0719,0.0563,16
CMPLOGP00000388,-0.1200,0.2238,0.0495,-0.3438,5,0.0249,0.0397,-0.1449,16
CMPLOGP00001886,1.7700,1.7516,0.0642,0.0184,5,1.8091,0.0271,-0.0391,17
CMPLOGP00004064,3.8600,4.0842,0.3060,-0.2242,5,3.8913,0.0672,-0.0313,13
CMPLOGP00001334,1.2100,0.6612,0.2091,0.5488,5,1.1694,0.0301,0.0406,15
CMPLOGP00000002,-3.0500,2.7845,0.7338,-5.8345,5,-2.8992,0.0587,-0.1508,17
CMPLOGP00002500,2.3400,3.2666,0.2764,-0.9266,5,2.3767,0.0392,-0.0367,16
CMPLOGP00002895,2.7000,4.0421,0.1549,-1.3421,5,2.8381,0.0407,-0.1381,19
CMPLOGP00005217,6.0200,6.1958,0.1055,-0.1758,5,6.0964,0.0429,-0.0764,16
CMPLOGP00000118,-1.2200,0.1702,0.5896,-1.3902,5,-1.1579,0.0491,-0.0621,17
CMPLOGP00002517,2.3500,2.9525,0.4017,-0.6025,5,2.3780,0.0456,-0.0280,17
CMPLOGP00000818,0.5000,1.0343,0.0848,-0.5343,5,0.5907,0.0747,-0.0907,17
CMPLOGP00004201,4.0000,4.7235,0.4051,-0.7235,5,4.0363,0.0567,-0.0363,16
CMPLOGP00002076,1.9500,2.3701,0.1345,-0.4201,5,1.9791,0.0332,-0.0291,17
CMPLOGP00002173,2.0300,0.8945,0.2921,1.1355,5,2.0219,0.0163,0.0081,14
CMPLOGP00003085,2.8600,3.0958,0.1015,-0.2358,5,2.9209,0.0526,-0.0609,19
CMPLOGP00003370,3.1500,1.7589,0.3233,1.3911,5,3.0752,0.0487,0.0748,19
CMPLOGP00004561,4.5200,2.9740,0.1931,1.5460,5,4.4631,0.0368,0.0569,14
CMPLOGP00003880,3.6200,4.3409,0.1781,-0.7209,5,3.5881,0.0454,0.0319,18
CMPLOGP00000521,0.0500,0.2366,0.2227,-0.1866,5,0.0413,0.0318,0.0087,17
CMPLOGP00003502,3.2800,3.4065,0.0931,-0.1265,5,3.3344,0.0344,-0.0544,15
CMPLOGP00003025,2.8000,4.2794,0.4300,-1.4794,5,2.8968,0.0416,-0.0968,19
CMPLOGP00000601,0.1800,-0.2740,0.2032,0.4540,5,0.1189,0.0404,0.0611,14
CMPLOGP00000319,-0.3600,0.5607,0.1272,-0.9207,5,-0.2934,0.0280,-0.0666,14
CMPLOGP00000045,-2.1100,-0.2439,0.8654,-1.8661,5,-2.0753,0.0171,-0.0347,14
CMPLOGP00000397,-0.1000,0.1851,0.1561,-0.2851,5,-0.0574,0.0428,-0.0426,14
CMPLOGP00004761,4.8800,4.2307,0.2352,0.6493,5,4.8140,0.0339,0.0660,16
CMPLOGP00000329,-0.3100,-0.1826,0.2298,-0.1274,5,-0.3040,0.0660,-0.0060,17
CMPLOGP00005420,6.9400,4.6612,0.1033,2.2788,5,6.6690,0.0564,0.2710,17
CMPLOGP00003844,3.5900,3.6438,0.1269,-0.0538,5,3.6076,0.0660,-0.0176,18
CMPLOGP00000095,-1.3900,-1.1476,0.2872,-0.2424,5,-1.4251,0.0521,0.0351,17
CMPLOGP00002092,1.9600,3.5137,0.3124,-1.5537,5,1.9836,0.0161,-0.0236,19
CMPLOGP00005193,5.9400,6.1398,0.1034,-0.1998,5,5.9933,0.0415,-0.0533,13
CMPLOGP00000632,0.2300,0.3424,0.1758,-0.1124,5,0.2555,0.0270,-0.0255,17
CMPLOGP00004741,4.8300,4.0710,0.2300,0.7590,5,4.8044,0.0318,0.0256,16
CMPLOGP00003391,3.1700,3.2484,0.3809,-0.0784,5,3.1594,0.0369,0.0106,16
CMPLOGP00004609,4.6100,4.4805,0.1853,0.1295,5,4.5802,0.0489,0.0298,16
CMPLOGP00005485,7.4000,6.5040,0.1356,0.8960,5,7.3029,0.0330,0.0971,18
CMPLOGP00004835,5.0100,4.4871,0.1824,0.5229,5,4.8598,0.0580,0.1502,18
CMPLOGP00003857,3.6000,4.4808,0.6475,-0.8808,5,3.6041,0.0591,-0.0041,18
CMPLOGP00002469,2.3100,2.7100,0.3174,-0.4000,5,2.3457,0.0345,-0.0357,16
CMPLOGP00004276,4.1000,3.4691,0.2985,0.6309,5,4.0475,0.0356,0.0525,16
CMPLOGP00003248,3.0100,2.2589,0.1395,0.7511,5,2.8372,0.0513,0.1728,15
CMPLOGP00002723,2.5200,2.1799,0.0681,0.3401,5,2.4358,0.0320,0.0842,16
CMPLOGP00001534,1.4500,1.9685,0.0262,-0.5185,5,1.4800,0.0397,-0.0300,12
CMPLOGP00001726,1.6400,1.5441,0.4080,0.0959,5,1.6322,0.0558,0.0078,14
CMPLOGP00002727,2.5200,1.8660,0.2842,0.6540,5,2.4233,0.0709,0.0967,17
CMPLOGP00002629,2.4400,2.3229,0.1991,0.1171,5,2.4353,0.0524,0.0047,14
CMPLOGP00004174,3.9800,4.5362,0.1565,-0.5562,5,4.0860,0.0237,-0.1060,17
CMPLOGP00000410,-0.0600,0.6307,0.1664,-0.6907,5,-0.0055,0.0453,-0.0545,17
CMPLOGP00003812,3.5500,3.8856,0.2521,-0.3356,5,3.6312,0.0499,-0.0812,18
CMPLOGP00003371,3.1500,3.2325,0.1221,-0.0825,5,3.1803,0.0448,-0.0303,17
