Molecule,y1_true,y1_pred,y1_pred_stdev,y1_pred_res,y1_pred_freq,y1_recalc,y1_recalc_stdev,y1_recalc_res,y1_recalc_freq
CMPLOGP00000722,0.3700,0.6736,0.2198,-0.3036,5,0.4034,0.0276,-0.0334,15
CMPLOGP00004856,5.0600,5.0290,0.1291,0.0310,5,5.0226,0.0479,0.0374,14
CMPLOGP00000864,0.5900,0.7724,0.2261,-0.1824,5,0.5928,0.0394,-0.0028,15
CMPLOGP00005199,5.9600,5.5376,0.3375,0.4224,5,5.9120,0.0368,0.0480,15
CMPLOGP00003136,2.9000,2.4576,0.3954,0.4424,5,2.8906,0.0302,0.0094,16
CMPLOGP00002742,2.5400,3.5242,0.3785,-0.9842,5,2.5985,0.0230,-0.0585,17
CMPLOGP00003523,3.3000,2.7598,0.1585,0.5402,5,3.1529,0.0447,0.1471,15
CMPLOGP00004063,3.8600,2.2140,0.0850,1.6460,5,3.7613,0.0281,0.0987,14
CMPLOGP00003794,3.5200,3.4158,0.0518,0.1042,5,3.4872,0.0393,0.0328,17
CMPLOGP00005127,5.7800,4.2766,0.3189,1.5034,5,5.7318,0.0158,0.0482,15
CMPLOGP00004809,4.9700,4.8060,0.1682,0.1640,5,4.9638,0.0364,0.0062,19
CMPLOGP00003028,2.8000,2.8287,0.1280,-0.0287,5,2.7811,0.0388,0.0189,11
CMPLOGP00000790,0.4800,1.5145,0.3614,-1.0345,5,0.6461,0.0478,-0.1661,16
CMPLOGP00002628,2.4400,2.5069,0.1198,-0.0669,5,2.4309,0.0413,0.0091,16
CMPLOGP00004258,4.0900,2.8080,0.5051,1.2820,5,4.0630,0.0289,0.0270,13
CMPLOGP00001339,1.2200,1.1854,0.0910,0.0346,5,1.2293,0.0428,-0.0093,15
CMPLOGP00000272,-0.4800,0.1535,0.0804,-0.6335,5,-0.4463,0.0254,-0.0337,15
CMPLOGP00000517,0.0400,-0.1358,0.1559,0.1758,5,0.0276,0.0345,0.0124,14
