iter	Passed	Remaining
0	2	12141
1	4	12272
2	6	12409
3	8	12282
4	10	12138
5	12	12194
6	14	12184
7	16	12122
8	18	12109
9	20	12248
10	22	12272
11	24	12299
12	26	12267
13	28	12265
14	30	12203
15	32	12161
16	34	12123
17	36	12101
18	38	12056
19	40	12115
20	42	12077
21	44	12143
22	46	12196
23	48	12185
24	51	12214
25	53	12210
26	55	12290
27	57	12307
28	59	12320
29	61	12304
30	63	12307
31	65	12303
32	68	12323
33	70	12303
34	72	12305
35	74	12291
36	76	12286
37	78	12250
38	80	12245
39	82	12232
40	84	12219
41	85	12191
42	87	12169
43	89	12150
44	91	12126
45	93	12111
46	95	12102
47	97	12100
48	99	12098
49	101	12096
50	103	12084
51	105	12076
52	107	12088
53	109	12086
54	111	12081
55	113	12063
56	115	12061
57	118	12089
58	120	12089
59	122	12108
60	124	12090
61	126	12078
62	128	12064
63	130	12066
64	132	12067
65	134	12075
66	136	12081
67	138	12107
68	140	12103
69	142	12105
70	144	12108
71	146	12098
72	148	12093
73	150	12070
74	152	12064
75	154	12070
76	156	12065
77	158	12056
78	160	12046
79	162	12035
80	164	12030
81	166	12020
82	168	12041
83	171	12065
84	173	12068
85	175	12071
86	177	12064
87	179	12064
88	181	12078
89	184	12090
90	186	12093
91	188	12093
92	190	12087
93	192	12078
94	194	12071
95	196	12075
96	198	12067
97	200	12060
98	202	12057
99	204	12050
100	206	12048
101	208	12036
102	210	12026
103	212	12019
104	214	12017
105	216	12014
106	218	12015
107	220	12014
108	222	12049
109	225	12064
110	227	12071
111	229	12068
112	231	12062
113	233	12063
114	235	12060
115	237	12064
116	239	12062
117	241	12062
118	243	12057
119	245	12048
120	247	12042
121	249	12030
122	251	12022
123	253	12014
124	255	12008
125	257	11998
126	259	11991
127	261	11991
128	263	11989
129	265	11978
130	267	11967
131	269	11960
132	270	11950
133	272	11942
134	274	11928
135	276	11914
136	278	11908
137	280	11919
138	282	11919
139	284	11912
140	286	11910
141	288	11907
142	290	11901
143	292	11896
144	294	11898
145	296	11894
146	298	11894
147	300	11894
148	302	11888
149	304	11882
150	306	11877
151	308	11872
152	310	11871
153	312	11865
154	314	11863
155	316	11858
156	318	11856
157	320	11848
158	322	11838
159	324	11832
160	326	11827
161	327	11819
162	329	11813
163	331	11808
164	333	11801
165	335	11797
166	337	11788
167	339	11789
168	341	11788
169	343	11791
170	346	11797
171	348	11791
172	349	11788
173	352	11788
174	354	11786
175	356	11791
176	358	11791
177	360	11790
178	362	11784
179	364	11783
180	366	11781
181	368	11784
182	370	11781
183	372	11780
184	374	11778
185	376	11774
186	378	11778
187	380	11777
188	382	11770
189	384	11767
190	386	11763
191	388	11760
192	390	11755
193	392	11748
194	394	11747
195	396	11742
196	399	11760
197	401	11765
198	403	11764
199	405	11762
200	407	11766
201	409	11767
202	412	11767
203	414	11768
204	416	11772
205	418	11773
206	420	11770
207	422	11771
208	424	11768
209	426	11762
210	428	11760
211	430	11757
212	432	11753
213	434	11744
214	436	11739
215	438	11734
216	440	11725
217	441	11719
218	443	11712
219	445	11706
220	447	11701
221	449	11698
222	451	11694
223	453	11694
224	455	11702
225	458	11702
226	460	11699
227	462	11696
228	464	11694
229	466	11690
230	467	11683
231	469	11678
232	471	11680
233	473	11676
234	476	11682
235	478	11680
236	480	11678
237	482	11672
238	484	11668
239	485	11662
240	487	11658
241	489	11653
242	491	11651
243	493	11649
244	495	11644
245	497	11643
246	499	11638
247	501	11629
248	503	11625
249	505	11620
250	507	11614
251	509	11618
252	511	11616
253	513	11614
254	515	11618
255	517	11618
256	519	11615
257	521	11612
258	523	11609
259	526	11622
260	528	11616
261	530	11615
262	532	11612
263	534	11611
264	536	11610
265	538	11610
266	540	11607
267	542	11603
268	544	11599
269	546	11596
270	548	11590
271	550	11584
272	552	11580
273	553	11575
274	555	11567
275	557	11563
276	559	11559
277	561	11556
278	563	11549
279	565	11551
280	567	11550
281	569	11552
282	571	11554
283	573	11549
284	575	11545
285	577	11543
286	579	11540
287	581	11537
288	583	11536
289	585	11533
290	587	11529
291	589	11529
292	591	11526
293	593	11526
294	595	11524
295	597	11518
296	599	11512
297	601	11508
298	603	11503
299	605	11499
300	607	11497
301	609	11493
302	611	11489
303	612	11485
304	614	11479
305	616	11473
306	618	11468
307	620	11463
308	622	11460
309	624	11464
310	626	11465
311	628	11465
312	630	11464
313	633	11465
314	635	11463
315	637	11460
316	639	11459
317	641	11455
318	642	11450
319	644	11446
320	646	11442
321	648	11442
322	650	11437
323	652	11433
324	654	11433
325	656	11431
326	658	11428
327	660	11424
328	662	11418
329	664	11415
330	666	11410
331	668	11410
332	670	11406
333	672	11410
334	674	11407
335	676	11405
336	678	11403
337	681	11410
338	683	11411
339	685	11409
340	687	11408
341	689	11404
342	691	11402
343	693	11398
344	695	11397
345	697	11396
346	699	11394
347	701	11391
348	703	11388
349	705	11386
350	707	11381
351	709	11379
352	711	11377
353	713	11373
354	715	11374
355	717	11369
356	718	11363
357	720	11359
358	722	11357
359	724	11351
360	726	11346
361	728	11341
362	729	11335
363	731	11331
364	733	11326
365	735	11323
366	737	11318
367	739	11318
368	741	11318
369	743	11320
370	745	11318
371	747	11315
372	749	11313
373	751	11311
374	753	11309
375	756	11307
376	758	11306
377	760	11305
378	762	11302
379	765	11315
380	767	11316
381	769	11314
382	771	11312
383	773	11312
384	775	11308
385	777	11306
386	779	11302
387	781	11300
388	783	11296
389	785	11293
390	786	11288
391	788	11284
392	790	11279
393	792	11277
394	794	11279
395	797	11279
396	799	11282
397	801	11281
398	803	11279
399	805	11278
400	807	11274
401	809	11271
402	811	11269
403	813	11268
404	815	11265
405	817	11262
406	819	11259
407	821	11258
408	823	11257
409	825	11252
410	827	11249
411	829	11246
412	831	11242
413	832	11238
414	834	11234
415	836	11230
416	838	11226
417	840	11222
418	842	11219
419	844	11217
420	846	11214
421	848	11210
422	850	11213
