Molecule,y1_true,y1_pred,y1_pred_stdev,y1_pred_res,y1_pred_freq,y1_recalc,y1_recalc_stdev,y1_recalc_res,y1_recalc_freq
CMPLOGP00004826,5.0000,5.0209,0.1268,-0.0209,5,4.9982,0.0443,0.0018,16
CMPLOGP00002344,2.1900,0.6653,0.1911,1.5247,5,2.0269,0.0338,0.1631,18
CMPLOGP00004750,4.8530,4.8316,0.1669,0.0214,5,4.8584,0.0299,-0.0054,13
CMPLOGP00004316,4.1760,4.2009,0.1192,-0.0249,5,4.1625,0.0321,0.0135,13
CMPLOGP00002444,2.2900,3.2216,0.1290,-0.9316,5,2.4496,0.0241,-0.1596,17
CMPLOGP00000364,-0.2100,0.1493,0.1294,-0.3593,5,-0.1851,0.0232,-0.0249,19
CMPLOGP00001205,1.0700,1.4745,0.2940,-0.4045,5,1.0900,0.0495,-0.0200,14
CMPLOGP00005008,5.4200,5.0252,0.1011,0.3948,5,5.3909,0.0312,0.0291,17
CMPLOGP00004764,4.8900,5.1174,0.1467,-0.2274,5,4.9083,0.0438,-0.0183,15
CMPLOGP00005327,6.4700,6.4171,0.0337,0.0529,5,6.4240,0.0484,0.0460,18
CMPLOGP00001734,1.6500,1.5977,0.1365,0.0523,5,1.6050,0.0298,0.0450,15
CMPLOGP00005468,7.3000,7.4012,0.2241,-0.1012,5,7.3622,0.0433,-0.0622,15
CMPLOGP00004006,3.8000,4.1106,0.1818,-0.3106,5,3.8408,0.0457,-0.0408,17
CMPLOGP00004879,5.0800,5.1402,0.3206,-0.0602,5,5.1238,0.0262,-0.0438,19
CMPLOGP00002943,2.7300,2.7383,0.0714,-0.0083,5,2.7477,0.0428,-0.0177,16
CMPLOGP00001206,1.0800,1.4600,0.1203,-0.3800,5,1.0993,0.0189,-0.0193,17
CMPLOGP00001323,1.2000,0.4205,0.2550,0.7795,5,1.1599,0.0285,0.0401,17
CMPLOGP00004470,4.4000,3.9341,0.1751,0.4659,5,4.3628,0.0265,0.0372,16
CMPLOGP00003199,2.9600,2.5810,0.0509,0.3790,5,2.8882,0.0362,0.0718,15
CMPLOGP00004959,5.3000,4.0698,0.2114,1.2302,5,5.2052,0.0377,0.0948,18
CMPLOGP00001330,1.2000,1.2134,0.3494,-0.0134,5,1.2226,0.0255,-0.0226,15
CMPLOGP00000620,0.2080,-0.0366,0.1285,0.2446,5,0.1807,0.0269,0.0273,12
CMPLOGP00004120,3.9100,4.2418,0.3824,-0.3318,5,3.9116,0.0192,-0.0016,19
CMPLOGP00002763,2.5600,1.9510,0.1757,0.6090,5,2.3918,0.0383,0.1682,14
CMPLOGP00000605,0.1800,1.4736,0.3451,-1.2936,5,0.2236,0.0581,-0.0436,19
CMPLOGP00000945,0.7200,-0.0104,0.2737,0.7304,5,0.7101,0.0137,0.0099,15
CMPLOGP00000075,-1.7000,-0.3391,0.3514,-1.3609,5,-1.6454,0.0217,-0.0546,12
CMPLOGP00001851,1.7400,1.8160,0.2853,-0.0760,5,1.7183,0.0287,0.0217,19
CMPLOGP00001543,1.4600,1.7187,0.1344,-0.2587,5,1.4760,0.0158,-0.0160,15
CMPLOGP00004328,4.1900,4.1920,0.0459,-0.0020,5,4.2087,0.0463,-0.0187,14
CMPLOGP00002251,2.1000,1.6799,0.0995,0.4201,5,2.0604,0.0425,0.0396,16
CMPLOGP00000062,-1.8940,-0.8869,0.2117,-1.0071,5,-1.7744,0.0381,-0.1196,17
CMPLOGP00004717,4.7900,4.7322,0.1949,0.0578,5,4.8358,0.0256,-0.0458,16
CMPLOGP00005024,5.5000,4.9823,0.0923,0.5177,5,5.3644,0.0266,0.1356,15
CMPLOGP00000089,-1.4980,-1.1484,0.2218,-0.3496,5,-1.4644,0.0269,-0.0336,16
CMPLOGP00003990,3.7700,3.5170,0.0811,0.2530,5,3.7137,0.0530,0.0563,16
CMPLOGP00004839,5.0200,5.0520,0.2208,-0.0320,5,5.0217,0.0432,-0.0017,15
CMPLOGP00004110,3.9000,3.9711,0.1868,-0.0711,5,3.9004,0.0386,-0.0004,16
