Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
SM25,11.921976,-3.763437,11.921976,0.090797,0.916766,289.356000,274.236000,289.077264,104.000000,0.900000,1.450000,2.050000,14.424439,10.820709,11.637206,9.577317,6.224180,7.707343,4.327326,6.009729,2.785268,4.174436,1.762014,2.797095,-2.140000,14.272933,6.341718,3.927907,118.055484,0.000000,0.000000,0.000000,5.907180,10.023291,0.000000,4.794537,13.139892,0.000000,0.000000,48.530937,24.117007,6.420822,4.895483,13.212334,15.930471,0.000000,4.722095,0.000000,17.737127,0.000000,66.227122,0.000000,63.240000,15.930471,13.212334,11.316305,6.420822,5.563451,12.132734,18.199101,30.331835,4.722095,0.000000,25.920044,0.000000,11.805836,0.000000,0.999777,-0.502124,17.310679,0.645893,0.000000,-3.763437,0.133333,20.000000,1.000000,4.000000,0.000000,0.000000,0.000000,2.000000,0.000000,2.000000,3.000000,1.000000,5.000000,5.000000,0.000000,0.000000,0.000000,2.000000,2.124300,76.533500
SM26,11.282346,-3.478567,11.282346,0.072824,0.822977,227.285000,214.181000,227.061614,82.000000,1.266667,1.866667,2.400000,11.311555,8.433958,9.250455,6.994800,4.544494,6.196759,3.212719,5.054587,1.801521,3.141565,1.166909,2.211374,-1.360000,11.713314,4.929027,4.598680,89.363332,0.000000,0.000000,0.000000,15.930471,0.000000,0.000000,9.516632,8.417797,0.000000,0.000000,30.331835,11.984273,6.923737,5.752854,13.212334,15.930471,0.000000,4.722095,0.000000,13.344559,5.752854,35.895287,0.000000,63.240000,15.930471,13.212334,5.752854,6.420822,5.563451,6.923737,0.000000,35.053930,0.000000,0.000000,24.487356,0.000000,10.580425,0.000000,0.936507,-0.625545,9.262998,0.406204,1.180622,-3.478567,0.300000,15.000000,1.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,3.000000,1.000000,5.000000,4.000000,0.000000,0.000000,0.000000,1.000000,0.695000,57.749500
SM27,11.845609,-3.228313,11.845609,0.117662,0.851563,255.339000,238.203000,255.092914,94.000000,1.294118,1.941176,2.470588,12.355525,9.848172,10.664668,7.992512,5.624827,7.277092,4.709992,6.551860,2.745453,4.290838,1.790513,3.265688,-0.910000,12.544415,4.758936,3.523307,102.039408,4.736863,0.000000,0.000000,10.023291,0.000000,0.000000,0.000000,13.139892,0.000000,0.000000,30.331835,18.908010,0.000000,24.505543,13.154660,10.023291,0.000000,4.722095,0.000000,18.883484,18.966618,35.895287,0.000000,55.400000,15.562216,8.417797,5.752854,19.634586,5.563451,0.000000,0.000000,37.255573,4.722095,4.736863,31.397363,0.000000,0.000000,0.000000,0.627860,0.117662,9.614384,0.534832,2.769545,-3.228313,0.500000,17.000000,1.000000,4.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,5.000000,5.000000,0.000000,1.000000,1.000000,2.000000,0.937400,66.292500
SM28,11.343948,-2.953807,11.343948,0.061918,0.882139,267.350000,250.214000,267.092914,98.000000,1.277778,1.888889,2.388889,13.225768,10.348172,11.164668,8.409014,5.939705,7.761072,4.979360,7.043850,3.168662,5.153486,2.480362,4.512667,-1.360000,13.080660,4.723354,3.100369,107.316949,5.316789,0.000000,9.837253,5.907180,0.000000,0.000000,4.794537,8.417797,0.000000,0.000000,30.331835,18.405095,6.923737,17.044632,13.212334,15.744433,0.000000,5.316789,0.000000,25.304306,11.505707,35.895287,0.000000,63.240000,15.376178,13.212334,17.412887,6.420822,11.984273,6.923737,0.000000,30.331835,5.316789,0.000000,22.687895,0.000000,11.168573,2.800512,0.603768,-0.044718,9.875009,1.436968,1.425800,-2.953807,0.461538,18.000000,1.000000,4.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,5.000000,4.000000,0.000000,1.000000,1.000000,2.000000,0.922500,69.964500
SM29,11.284314,-3.177025,11.284314,0.399380,0.851563,255.339000,238.203000,255.092914,94.000000,1.294118,1.941176,2.411765,12.355525,9.848172,10.664668,7.992512,5.597953,7.489365,4.632956,6.381411,2.893665,3.697468,2.024330,3.030810,-0.910000,12.544415,4.758936,3.523307,102.039408,4.736863,0.000000,0.000000,10.023291,0.000000,0.000000,0.000000,13.139892,0.000000,0.000000,30.331835,18.405095,0.000000,25.008458,13.154660,10.023291,0.000000,4.722095,0.000000,18.380568,19.469533,35.895287,0.000000,55.400000,15.562216,8.417797,0.000000,13.213764,12.841643,11.819221,0.000000,30.331835,4.722095,4.736863,30.400782,0.000000,0.000000,0.000000,0.817357,0.000000,10.049960,2.811895,0.930364,-3.177025,0.500000,17.000000,1.000000,4.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,5.000000,5.000000,0.000000,1.000000,1.000000,2.000000,0.937400,66.292500
SM30,12.485240,-3.513182,12.485240,0.292580,0.889708,317.410000,298.258000,317.108564,116.000000,0.954545,1.545455,2.090909,15.468409,12.234923,13.051420,10.597684,7.304513,8.787676,5.677279,7.359682,3.896140,5.490650,2.574651,3.997914,-1.690000,15.215118,6.201333,3.376423,130.731560,4.736863,0.000000,0.000000,10.023291,0.000000,0.000000,0.000000,13.139892,0.000000,0.000000,48.530937,30.537829,0.000000,23.648173,13.154660,10.023291,0.000000,4.722095,0.000000,23.276052,13.213764,66.227122,0.000000,55.400000,15.562216,8.417797,0.000000,18.109247,12.841643,5.563451,30.331835,18.199101,16.854829,4.736863,33.091937,0.000000,0.292580,0.000000,0.706040,0.000000,18.531375,1.546217,0.845034,-3.513182,0.294118,22.000000,1.000000,4.000000,0.000000,1.000000,1.000000,2.000000,0.000000,2.000000,3.000000,1.000000,5.000000,6.000000,0.000000,1.000000,1.000000,3.000000,2.366700,85.076500
SM31,11.909314,-3.417766,11.909314,0.437404,0.839787,284.381000,264.221000,284.119463,106.000000,1.263158,1.894737,2.368421,13.932875,11.295385,12.111882,8.935887,6.266706,7.706770,5.148218,7.032772,3.317963,4.970363,1.995936,2.945626,-0.950000,14.458925,5.582243,3.535529,114.299561,4.736863,0.000000,0.000000,0.000000,10.209329,0.000000,0.000000,0.000000,17.445108,0.000000,30.331835,18.405095,14.095344,18.752689,13.154660,10.209329,0.000000,9.027311,0.000000,18.380568,27.309108,35.895287,0.000000,58.640000,15.748254,8.417797,0.000000,13.213764,12.841643,23.964011,0.000000,30.331835,4.722095,4.736863,32.964573,0.000000,0.000000,0.000000,0.746940,0.000000,10.049960,1.573643,0.874809,-0.376591,0.538462,19.000000,1.000000,5.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,6.000000,6.000000,0.000000,1.000000,1.000000,2.000000,0.784200,74.055500
SM32,11.330611,-3.110358,11.330611,0.214195,0.885603,271.407000,254.271000,271.070071,94.000000,1.294118,1.941176,2.411765,12.355525,9.848172,11.481165,7.992512,5.597953,8.644065,4.632956,7.367009,2.893665,5.210888,2.024330,4.369962,-0.520000,12.924575,4.999300,3.724923,107.048973,0.000000,0.000000,0.000000,10.023291,0.000000,0.000000,0.000000,13.139892,11.761885,0.000000,30.331835,18.405095,11.505707,11.794694,8.417797,21.785176,0.000000,4.722095,0.000000,18.380568,17.761476,35.895287,0.000000,46.170000,10.023291,8.417797,5.538925,0.000000,24.347350,11.819221,11.761885,18.199101,16.854829,0.000000,25.451942,1.792876,0.000000,0.000000,1.048838,1.763698,10.190647,3.029025,0.000000,-3.110358,0.500000,17.000000,1.000000,3.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,5.000000,5.000000,0.000000,1.000000,1.000000,2.000000,1.654000,72.798500
SM33,12.531536,-3.446516,12.531536,0.310334,0.883513,333.478000,314.326000,333.085721,116.000000,0.954545,1.545455,2.090909,15.468409,12.234923,13.867916,10.597684,7.304513,9.942376,5.677279,8.345280,3.896140,7.004070,2.574651,5.337066,-1.300000,15.590178,6.442493,3.536709,135.741125,0.000000,0.000000,0.000000,10.023291,0.000000,0.000000,0.000000,13.139892,11.761885,0.000000,48.530937,30.537829,11.505707,10.434409,8.417797,21.785176,0.000000,4.722095,0.000000,23.276052,11.505707,66.227122,0.000000,46.170000,10.023291,8.417797,5.538925,4.895483,24.347350,5.563451,36.027353,24.265468,16.854829,0.000000,28.007219,1.788066,0.338876,0.000000,0.937521,1.678367,18.812749,1.717050,0.000000,-3.446516,0.294118,22.000000,1.000000,3.000000,0.000000,1.000000,1.000000,2.000000,0.000000,2.000000,3.000000,1.000000,5.000000,6.000000,0.000000,1.000000,1.000000,3.000000,3.083300,91.582500
SM34,11.955611,-3.351099,11.955611,0.274195,0.866008,300.449000,280.289000,300.096620,106.000000,1.263158,1.894737,2.368421,13.932875,11.295385,12.928378,8.935887,6.266706,8.861470,5.148218,8.018370,3.317963,6.483783,1.995936,4.284778,-0.560000,14.840938,5.827616,3.717993,119.309126,0.000000,0.000000,0.000000,0.000000,10.209329,0.000000,0.000000,0.000000,29.206993,0.000000,30.331835,18.405095,25.601051,5.538925,8.417797,21.971214,0.000000,9.027311,0.000000,18.380568,25.601051,35.895287,0.000000,49.410000,10.209329,8.417797,5.538925,0.000000,24.347350,9.868667,25.857229,18.199101,16.854829,0.000000,28.000805,1.786073,0.000000,0.000000,0.978422,1.708142,10.190647,1.744476,0.000000,-0.241897,0.538462,19.000000,1.000000,4.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,3.000000,1.000000,6.000000,6.000000,0.000000,1.000000,1.000000,2.000000,1.500800,80.561500
