Molecule,LogP_chembl
CMPLOGP00000001,-5.44
CMPLOGP00000002,-4.23
CMPLOGP00000003,-4.11
CMPLOGP00000004,-4.04
CMPLOGP00000005,-3.98
CMPLOGP00000006,-3.96
CMPLOGP00000007,-3.7
CMPLOGP00000008,-3.67
CMPLOGP00000009,-3.56
CMPLOGP00000010,-3.5
CMPLOGP00000011,-3.4
CMPLOGP00000012,-3.29
CMPLOGP00000013,-3.24
CMPLOGP00000014,-3.1
CMPLOGP00000015,-3.1
CMPLOGP00000016,-3
CMPLOGP00000017,-3
CMPLOGP00000018,-3
CMPLOGP00000019,-2.96
CMPLOGP00000020,-2.91
CMPLOGP00000021,-2.84
CMPLOGP00000022,-2.8
CMPLOGP00000023,-2.79
CMPLOGP00000024,-2.75
CMPLOGP00000025,-2.68
CMPLOGP00000026,-2.66
CMPLOGP00000027,-2.64
CMPLOGP00000028,-2.61
CMPLOGP00000029,-2.57
CMPLOGP00000030,-2.49
CMPLOGP00000031,-2.46
CMPLOGP00000032,-2.42
CMPLOGP00000033,-2.39
CMPLOGP00000034,-2.37
CMPLOGP00000035,-2.31
CMPLOGP00000036,-2.3
CMPLOGP00000037,-2.29
CMPLOGP00000038,-2.26
CMPLOGP00000039,-2.24
CMPLOGP00000040,-2.22
CMPLOGP00000041,-2.18
CMPLOGP00000042,-2.14
CMPLOGP00000043,-2.13
CMPLOGP00000044,-2.11
CMPLOGP00000045,-2.11
CMPLOGP00000046,-2.1
CMPLOGP00000047,-2.093
CMPLOGP00000048,-2.09
CMPLOGP00000049,-2.02
CMPLOGP00000050,-2
CMPLOGP00000051,-2
CMPLOGP00000052,-2
CMPLOGP00000053,-2
CMPLOGP00000054,-2
CMPLOGP00000055,-2
CMPLOGP00000056,-1.95
CMPLOGP00000057,-1.95
CMPLOGP00000058,-1.94
CMPLOGP00000059,-1.94
CMPLOGP00000060,-1.93
CMPLOGP00000061,-1.92
CMPLOGP00000062,-1.894
CMPLOGP00000063,-1.89
CMPLOGP00000064,-1.84
CMPLOGP00000065,-1.8
CMPLOGP00000066,-1.8
CMPLOGP00000067,-1.77
CMPLOGP00000068,-1.76
CMPLOGP00000069,-1.75
CMPLOGP00000070,-1.74
CMPLOGP00000071,-1.74
CMPLOGP00000072,-1.713
CMPLOGP00000073,-1.71
CMPLOGP00000074,-1.701
CMPLOGP00000075,-1.7
CMPLOGP00000076,-1.69
CMPLOGP00000077,-1.64
CMPLOGP00000078,-1.592
CMPLOGP00000079,-1.57
CMPLOGP00000080,-1.56
CMPLOGP00000081,-1.55
CMPLOGP00000082,-1.55
CMPLOGP00000083,-1.55
CMPLOGP00000084,-1.55
CMPLOGP00000085,-1.55
CMPLOGP00000086,-1.54
CMPLOGP00000087,-1.526
CMPLOGP00000088,-1.524
CMPLOGP00000089,-1.498
CMPLOGP00000090,-1.49
CMPLOGP00000091,-1.48
CMPLOGP00000092,-1.46
CMPLOGP00000093,-1.41
CMPLOGP00000094,-1.4
CMPLOGP00000095,-1.39
CMPLOGP00000096,-1.39
CMPLOGP00000097,-1.38
CMPLOGP00000098,-1.38
CMPLOGP00000099,-1.376
