Molecule,Selectivity 70%,Selectivity 80%,Selectivity 90%
CHEMBL1909411,2,1,0
CHEMBL175321,12,6,3
CHEMBL1909379,2,2,2
CHEMBL1096290,1,0,0
CHEMBL1909349,38,29,15
CHEMBL518953,1,1,1
CHEMBL473420,1,0,0
CHEMBL471789,0,0,0
CHEMBL518968,0,0,0
CHEMBL482326,1,1,1
CHEMBL477069,42,24,8
CHEMBL458865,32,21,10
CHEMBL476259,39,25,9
CHEMBL450071,9,8,4
CHEMBL458438,4,4,1
CHEMBL517171,4,3,2
CHEMBL505915,7,5,1
CHEMBL384073,3,0,0
CHEMBL514261,10,6,3
CHEMBL517123,3,3,1
CHEMBL512076,3,3,2
CHEMBL1909408,2,2,1
CHEMBL473629,3,2,0
CHEMBL456252,19,16,8
CHEMBL463931,26,18,12
CHEMBL458415,9,8,4
CHEMBL511765,17,14,7
CHEMBL467581,2,2,1
CHEMBL1895450,15,13,9
CHEMBL521806,8,2,1
CHEMBL222419,16,10,6
CHEMBL466412,3,3,2
CHEMBL1909409,1,1,1
CHEMBL220465,10,6,1
CHEMBL1909410,2,1,0
CHEMBL1909363,10,4,4
CHEMBL441702,4,2,1
CHEMBL374453,3,2,1
CHEMBL475599,2,1,0
CHEMBL480382,6,2,2
CHEMBL493326,2,2,1
CHEMBL522709,3,3,1
CHEMBL485598,2,0,0
CHEMBL373751,28,11,3
CHEMBL1794068,8,4,3
CHEMBL218720,6,4,0
CHEMBL427058,5,3,0
CHEMBL1794065,11,6,3
CHEMBL1794064,4,1,1
CHEMBL1794069,10,5,1
CHEMBL1794070,5,3,2
CHEMBL230597,0,0,0
CHEMBL231013,0,0,0
CHEMBL1909375,12,8,5
CHEMBL1794066,20,12,5
CHEMBL231623,0,0,0
CHEMBL230911,2,0,0
CHEMBL230592,0,0,0
CHEMBL268885,0,0,0
CHEMBL505187,0,0,0
CHEMBL1096626,13,7,4
CHEMBL1096634,15,9,5
CHEMBL1909350,5,3,2
CHEMBL483748,0,0,0
CHEMBL514938,2,1,0
CHEMBL1794067,3,3,2
CHEMBL483747,0,0,0
CHEMBL513897,17,10,6
CHEMBL1794059,3,0,0
CHEMBL271843,4,1,0
CHEMBL269827,10,3,1
CHEMBL1794058,3,1,0
CHEMBL1909397,0,0,0
CHEMBL270054,7,6,3
CHEMBL1909380,6,5,2
CHEMBL1909398,0,0,0
CHEMBL30432,5,5,2
CHEMBL215993,2,1,0
CHEMBL1794057,10,4,1
CHEMBL272026,10,3,1
CHEMBL1956068,38,21,7
CHEMBL271595,24,11,6
CHEMBL271594,0,0,0
CHEMBL272165,14,5,3
CHEMBL272028,18,14,3
CHEMBL410072,13,4,1
CHEMBL1794056,1,0,0
CHEMBL531804,2,1,1
CHEMBL1880739,6,3,1
CHEMBL409892,41,26,7
CHEMBL405042,8,7,2
CHEMBL1909399,3,0,0
CHEMBL270544,14,10,6
CHEMBL1794052,9,5,1
CHEMBL1789963,11,4,1
CHEMBL220243,2,2,0
CHEMBL1794053,3,1,1
CHEMBL1909357,25,18,8
CHEMBL272414,4,1,0
CHEMBL269883,32,19,4
CHEMBL220244,0,0,0
CHEMBL1794050,8,7,3
CHEMBL218932,1,1,0
CHEMBL485745,1,1,0
CHEMBL218088,5,2,1
CHEMBL374060,5,3,1
CHEMBL581096,39,34,22
CHEMBL1516890,5,1,0
CHEMBL1909352,14,7,1
CHEMBL176857,5,5,2
CHEMBL218859,4,1,0
CHEMBL263796,1,0,0
CHEMBL218969,0,0,0
CHEMBL218970,0,0,0
CHEMBL385426,0,0,0
CHEMBL1909353,1,0,0
CHEMBL1909385,4,2,2
CHEMBL1909354,2,1,1
CHEMBL1909355,5,4,3
CHEMBL1789961,20,9,1
CHEMBL365286,2,0,0
CHEMBL318728,2,1,0
