Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL1909411,5.827838923575756,0.5455929187072696,5.827838923575756,0.5455929187072696,0.5283996043024779,357.41300000000007,338.26100000000014,357.147726848,134,0,0.14132183723276712,-0.4967407262365067,0.4967407262365067,0.14132183723276712,0.8518518518518519,1.6296296296296295,2.4074074074074074,16.4774315842853,10.182617584056946,2.0593061908982677,-2.1056746996458107,2.270182360360785,-1.974284524556138,5.911139374083372,0.3060473183548048,1.490890910518519,1034.2942675306315,18.476480726871785,14.923584052579328,14.923584052579328,13.313994385738889,8.642421160391557,8.642421160391557,6.02900634913934,6.02900634913934,4.207878305503775,4.207878305503775,2.7744423131934344,2.7744423131934344,-3.5999999999999996,2477499.216884364,16.846280991735537,7.742349957734573,3.979400314186189,157.17338889666823,14.790514511606428,30.2510884836803,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,30.33183534230805,48.02802097092827,11.073610489148358,12.626498258893795,9.473725907600098,22.40817398459965,0.0,9.967957041894417,0.0,6.606881964512918,12.426586145283864,84.68717638800088,0.0,11.49902366656781,14.790514511606428,11.50524905251859,11.49902366656781,0.0,17.077754583171952,6.606881964512918,0.0,5.563451491696996,79.12372489630388,0.0,10.902924932081056,0.0,56.269999999999996,0.0,0.0,0.0,0.0,6.606881964512918,39.47064914286445,0.0,13.437117616042075,72.79640482153933,15.284745645900749,9.473725907600098,11.134569572956647,0.0,8.666456456855398,4.240948147430346,2.918610921840921,2.319890464942254,23.64544156459764,1.5500823908534946,0.5455929187072696,1.6450742284826951,0.09090909090909091,27,1,5,0,0,0,3,1,4,5,1,5,6,0,0,0,4,4.961000000000004,106.58870000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL175321,12.276612496850593,-0.025810185185185075,12.276612496850593,0.025810185185185075,0.7170030827714209,263.296,250.19199999999995,263.094628656,98,0,0.2561675725536464,-0.5079556351031842,0.5079556351031842,0.2561675725536464,1.0,1.85,2.75,16.254722247103146,9.965132586583337,2.2983215035532836,-2.0555801677098327,2.4283247072439265,-2.0477219707736203,6.366202522435807,-0.11034320846104115,1.960665904359069,774.3095137151448,13.689869965382485,10.811127332664299,10.811127332664299,9.737183443017882,6.700221865070669,6.700221865070669,5.1947113172732715,5.1947113172732715,4.0317254545781935,4.0317254545781935,3.152223540580769,3.152223540580769,-2.5499999999999994,82274.92573950216,11.291213287821089,3.9699183097808364,1.495177459703536,116.11756059414915,10.423315998847038,5.749511833283905,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,24.26546827384644,47.7407519647001,11.250837766380558,5.573104530069267,9.901064578912528,22.740775064173604,0.0,0.0,0.0,12.841643245852019,5.316788604006331,59.15492395432226,0.0,5.749511833283905,5.316788604006331,5.687386274683562,5.749511833283905,0.0,11.013707124192212,11.21535880699783,0.0,23.111176098016998,42.46456947923127,0.0,11.146209060138535,0.0,49.33,0.0,9.901064578912528,0.0,11.65669156263541,0.0,46.3655930557651,0.0,12.13273413692322,30.33183534230805,5.316788604006331,0.0,0.0,0.0,12.276612496850593,12.482772016226654,5.9328493743176285,0.25777649176954753,13.16716436573354,1.716158588435374,0.0,0.0,0.11764705882352941,20,2,3,1,1,2,2,0,2,2,2,3,0,0,0,0,4,3.2013000000000007,78.31350000000002,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1909379,4.6971283663960435,0.786537418393028,4.6971283663960435,0.786537418393028,0.48609132341198674,351.413,334.2770000000001,351.14839554400004,130,0,0.141183824757467,-0.34163420537664363,0.34163420537664363,0.141183824757467,0.8148148148148148,1.6666666666666667,2.5925925925925926,15.019061620454742,10.144335207164268,2.0702524301395595,-2.0758856020860073,2.24671053898517,-1.9529708969124486,5.9100373483687445,1.038535838497507,1.4564958348342187,1222.133850457007,18.05383099606141,14.554301067151561,14.554301067151561,13.348469228349536,8.843999495105956,8.843999495105956,6.442225678307108,6.442225678307108,4.550881488866629,4.550881488866629,3.254281747816304,3.254281747816304,-3.7299999999999986,3786474.3211384714,15.519100353135181,6.533311936344787,3.106762620708197,155.6918292569539,10.30076712495354,17.969587350599497,0.0,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,42.46456947923127,35.89528683400505,17.494432112074367,16.550102152848787,0.0,33.44157541983217,0.0,19.935914083788834,0.0,6.4208216229260096,5.316788604006331,90.51158088600081,0.0,0.0,5.316788604006331,11.50524905251859,0.0,0.0,19.935914083788834,6.4208216229260096,0.0,11.387855989696924,79.12372489630387,0.0,21.936326367313576,0.0,66.49000000000001,0.0,0.0,0.0,0.0,0.0,45.68680154075811,5.563451491696996,6.3273200747645415,54.59730361615449,38.46782537223279,4.9839785209472085,0.0,0.0,16.825241726753582,4.394003466780308,5.07843457192518,1.7544539223836666,24.413948563673316,2.3672510818172796,0.0,0.0,0.045454545454545456,27,2,5,0,0,0,3,2,5,4,2,5,4,0,0,0,5,4.840500000000003,108.1624,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1096290,10.060314069932126,-1.1293906551818265,10.060314069932126,0.18461223674246763,0.6419983757973993,395.4670000000001,370.2670000000001,395.2069730400001,152,0,0.19915274099210872,-0.3788607226150547,0.3788607226150547,0.19915274099210872,1.2413793103448276,2.0,2.6206896551724137,16.564473729481765,10.122384164943282,2.2191976165537244,-2.142999305177128,2.284418814794603,-2.1919390931018867,5.853135477254341,0.14340603023664975,1.9016682297715857,1091.9010159419656,20.5956473593183,16.93608468446211,16.93608468446211,13.853486507463533,9.819206191051533,9.819206191051533,7.799944273409483,7.799944273409483,4.9028614032860975,4.9028614032860975,3.57427764858447,3.57427764858447,-2.960000000000001,4738790.812196182,19.360492680372467,7.461199124567624,3.9458853871542763,168.4315852948088,15.407294519794245,16.81167952344841,17.336195270683415,0.0,0.0,0.0,4.899909730850478,14.596995978787767,0.0,0.0,5.920434318855644,69.00249555831718,13.08951281182515,11.210628712464722,9.735566331734056,16.85126421306755,0.0,29.748292934787138,0.0,52.303418467732726,18.823180288987334,17.454223058158533,0.0,23.35920113055968,5.733667477162185,5.817862777835028,0.0,0.0,53.54538395243668,13.08951281182515,11.840868637711289,45.000710834620804,10.69540600535496,0.0,22.551733928080914,0.0,119.12,5.601050810983688,5.106527394840706,0.0,5.817862777835028,29.273717611225685,30.84489793020245,12.841643245852019,13.847474399381248,17.55720391594359,27.054104882812656,20.33066345594995,6.777955861178263,0.0,11.870977983014193,17.642283036161103,8.16608625898579,6.621614918988206,2.0482379062736205,2.4227880805929147,8.866722621472576,0.0,0.5,29,3,9,0,1,1,0,3,3,9,2,9,4,0,1,1,4,1.8015999999999992,108.59320000000004,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1909349,10.123116513359083,-1.2169529557627041,10.123116513359083,0.12577579716690623,0.37802759737978775,447.4990000000002,422.29900000000015,447.2018876600001,170,0,0.21684549830008595,-0.46801792781115487,0.46801792781115487,0.21684549830008595,1.2121212121212122,1.9696969696969697,2.5757575757575757,16.564613439163193,10.1080973348434,2.2237913873670854,-2.1728417756994,2.3072649600893627,-2.187560720174125,5.857963948547095,0.14339085826182002,1.8924787098935067,1327.3314237174648,23.587211190881018,18.6101441390072,18.6101441390072,15.80217491244728,10.47265122608069,10.47265122608069,7.9164687505521485,7.9164687505521485,4.890462232090564,4.890462232090564,3.375220863185392,3.375220863185392,-3.9400000000000004,31031758.247665804,22.260960924405225,8.895609670184427,4.643683595879564,190.09328656752842,25.87782495075648,22.915645911196712,17.336195270683415,5.879988336435371,0.0,0.0,0.0,14.596995978787767,0.0,0.0,36.252269661163695,42.5684239238754,19.15587988028676,5.516700717616262,14.472429285534105,16.85126421306755,0.0,24.84838320393666,5.733667477162185,39.020985203716435,12.27842388307476,47.655581897315116,0.0,29.239189466995047,16.20419790812442,5.817862777835028,5.879988336435371,0.0,42.100717815673626,6.544756405912575,11.840868637711289,38.13255747336564,41.027241347663015,0.0,22.55173392808091,0.0,151.13,11.70501719873199,5.106527394840706,0.0,12.362619183747604,40.67040666527732,5.563451491696996,0.0,19.913841467842857,41.822672189790026,32.12215219385659,20.83323684501777,12.836713165701575,0.0,9.260266698889534,17.667321758256378,13.506997652578878,6.647772617436184,11.441490261266527,-0.40361555964978657,5.95972007218738,0.0,0.30434782608695654,33,5,10,0,0,0,1,3,4,10,3,10,6,0,0,0,4,2.2845999999999997,122.94760000000002,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL518953,11.865036533131772,-0.5066683069832865,11.865036533131772,0.33586600844041326,0.5080239759760186,428.3110000000001,414.19900000000024,426.999009788,130,0,0.2621720601134192,-0.48705533240756144,0.48705533240756144,0.2621720601134192,1.1923076923076923,1.9615384615384615,2.769230769230769,79.91873123039373,10.217125652698869,2.1763216887440207,-2.0684311844172716,2.3387386112759163,-2.102066123061116,9.103221119069918,0.09999715915210917,1.6927759070486064,1103.06875712703,18.0956473593183,13.555096277673169,15.957589397715598,12.631030293135233,7.855651457528376,9.465146308013455,5.625633801456706,7.5106195825575925,3.9407886930751,5.844586332592367,2.6654267589997747,4.0026394363001785,-2.6399999999999992,1531168.612796318,16.808370985606093,6.932934528385386,3.1097476898732035,161.71878908332573,10.470530430962235,28.56194304295053,0.0,0.0,5.907179729351506,0.0,9.361636831863176,4.9839785209472085,0.0,11.336785877934737,46.2617792402574,18.19910120538483,16.10253807599102,11.033401435232523,9.53140013787187,44.20731094046811,0.0,9.551078168738563,5.733667477162185,6.606881964512918,0.0,75.83794189214974,0.0,10.750593809971772,10.470530430962235,0.0,5.749511833283905,27.266729775884087,15.458257898090068,6.606881964512918,0.0,15.235135869470117,65.39734320675144,0.0,16.03448341192039,0.0,70.14,5.907179729351506,4.794537184071822,0.0,0.0,17.233540991498124,26.070654419449795,11.336785877934737,6.3273200747645415,59.16440326394584,20.913922418896558,10.470530430962235,8.785526303369016,4.790941452902998,16.648832795374553,0.8283586729444866,8.386325812885609,-0.028858877655999926,17.434716962922263,1.734957535483329,0.33586600844041326,0.0,0.05263157894736842,26,2,5,0,0,0,2,2,4,5,1,7,5,0,0,0,4,4.527400000000003,105.93889999999999,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL473420,13.333414126926414,-4.52700675240318,13.333414126926414,0.052335331990398304,0.31796474806933384,492.4750000000002,473.3230000000004,492.09667736800003,178,0,0.41630220595969103,-0.4927853088803528,0.4927853088803528,0.41630220595969103,1.0294117647058822,1.7352941176470589,2.411764705882353,32.133571925306924,10.086769018269173,2.3290102729728717,-2.1297301251539924,2.380528058288787,-2.1084739800251273,7.163786375764678,-0.1381351424439202,1.7283899179169762,1346.3729074956507,24.45745467888409,18.303719287514333,19.12021586844206,16.26090001856309,9.859408372219804,10.67590495314753,7.023652680600363,8.054301562526728,5.0517183305490185,6.147379307548219,3.412766643459501,4.41681534817056,-3.7299999999999995,50043326.06340263,23.428919711202404,9.256708100110606,4.3813274154029624,195.80836113555748,18.947451815200196,23.684795849249234,16.37617086026911,0.0,0.0,12.145603805395325,4.567099647791355,9.77851570501903,13.171245143024459,11.336785877934737,18.19910120538483,6.06636706846161,23.762552697081826,37.92624555076212,36.913234142296474,28.339492601119105,0.0,9.551078168738563,0.0,12.783180481956393,21.3293926238326,64.7959397310911,0.0,22.24961747653958,14.210588861400147,13.171245143024459,17.248535499851716,11.336785877934737,36.849776080523014,17.520043435756442,0.0,20.79858736116711,48.79188955399581,0.0,16.03448341192039,0.0,71.81,17.70905529709232,17.96578232709628,0.0,22.79699248319512,27.5335070784882,17.403152946396347,39.52849382921743,29.093520927940723,0.0,4.9839785209472085,18.947451815200196,62.90585745382723,1.06218417999916,16.851419894289215,0.5502096587091629,0.4367766047707985,0.431427566172214,10.1247422436909,-2.972272132532377,-0.3833840038795848,4.243038534953287,0.21739130434782608,34,0,7,0,0,0,2,2,4,8,0,11,7,0,0,0,4,5.488600000000005,119.16650000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,4,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL471789,13.298827350066912,-4.500988233884661,13.298827350066912,0.016514753759105938,0.3107256567039957,476.4760000000002,457.32400000000035,476.101762748,172,0,0.41630220595947487,-0.4927853088803529,0.4927853088803529,0.41630220595947487,1.0606060606060606,1.7575757575757576,2.4242424242424243,32.1335717188788,10.08649733393398,2.3277679438405605,-2.12925031702897,2.379316308108513,-2.1055098247901967,7.164627136537379,-0.13813259766294186,1.709395986141963,1327.2329994125375,23.750347897697544,17.89547099705047,18.711967577978196,15.722895216102303,9.747035936524009,10.563532517451735,7.088257274651064,8.11890615657743,5.000687294241036,6.217139083138834,3.4231703475334143,4.4042811248604385,-3.5299999999999994,28901346.28812594,22.656378575603984,8.778513174764695,4.382015702118946,190.6948159060506,14.210588861400147,28.56194304295053,17.28226861293275,0.0,0.0,6.176298517443475,9.361636831863176,4.9839785209472085,13.171245143024459,11.336785877934737,18.19910120538483,6.06636706846161,30.686289896772447,30.81644800948459,32.176371188496425,28.153432259532195,0.0,9.551078168738563,0.0,19.706917681647017,14.219595082555067,64.7959397310911,0.0,22.24961747653958,14.210588861400147,13.171245143024459,17.248535499851716,11.336785877934737,29.553918197658568,12.783180481956393,0.0,27.722324560857736,48.79188955399581,0.0,16.03448341192039,0.0,62.58000000000001,11.73975000914047,17.96578232709628,0.0,23.703090235858756,32.4106542721895,17.403152946396347,39.34243348763052,29.093520927940723,0.0,4.9839785209472085,14.210588861400147,58.02469163693676,1.1626008466658266,16.904178381943535,0.6194689179684223,0.5635232139082803,0.9901546093310758,10.302172799246454,-2.915641369115899,1.0494820150154744,3.049368948100078,0.21739130434782608,33,0,6,0,0,0,2,2,4,7,0,10,7,0,0,0,4,5.904600000000006,117.8315,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,3,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL518968,13.343414126926415,-4.514661073390834,13.343414126926415,0.03192716872509216,0.391208952291808,491.4910000000002,471.33100000000036,491.11266178,178,0,0.4163022059595893,-0.4927853088803528,0.4927853088803528,0.4163022059595893,1.088235294117647,1.7941176470588236,2.4705882352941178,32.13357185379602,10.086704892754152,2.3284425705727134,-2.130669123583864,2.377845493276411,-2.1718038194360916,7.164559841129405,-0.13813281428375554,1.7283899179169762,1347.227660467924,24.45745467888409,18.39547099705047,19.211967577978196,16.26090001856309,9.997035936524009,10.813532517451735,7.111195202035098,8.141844083961464,5.114218330549018,6.228608046830851,3.4495859557090625,4.48172776934407,-3.7299999999999995,50043326.06340263,23.428919711202404,9.256708100110606,4.3813274154029624,196.2446780896586,19.527377465406477,28.56194304295053,11.49902366656781,0.0,5.907179729351506,6.176298517443475,9.361636831863176,4.9839785209472085,13.171245143024459,11.336785877934737,18.19910120538483,6.06636706846161,30.810224679759013,30.81644800948459,32.176371188496425,28.27736704251876,0.0,14.867866772744893,0.0,12.783180481956393,21.267267065232257,64.7959397310911,0.0,22.24961747653958,19.527377465406477,13.171245143024459,17.248535499851716,11.336785877934737,36.72552496332233,12.783180481956393,0.0,20.79858736116711,48.79188955399581,0.0,16.03448341192039,0.0,74.61,17.646929738491977,17.96578232709628,0.0,22.79699248319512,27.5335070784882,17.403152946396347,39.46636827061709,29.093520927940723,0.0,10.30076712495354,14.210588861400147,58.17991087476963,1.12468417999916,17.089267116511436,3.1248694456547543,0.5088429313014108,0.76627324518456,10.243029280727935,-2.9395182902547248,-0.3556062261018069,4.508247442207649,0.21739130434782608,34,1,7,0,0,0,2,2,4,7,1,11,7,0,0,0,4,5.061600000000004,121.2172,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHEMBL482326,13.398000903785917,-4.515988233884662,13.398000903785917,0.026931420425772457,0.3364171283494927,505.51800000000026,483.3420000000004,505.128311844,184,0,0.4163022059595893,-0.4927853088803528,0.4927853088803528,0.4163022059595893,1.0571428571428572,1.7428571428571429,2.4,32.133571933981685,10.086667656121824,2.3292986758608314,-2.1415157792945174,2.3817680568621276,-2.2087387136503716,7.164492542893321,-0.13813314259864737,1.7504372418341756,1378.3471641209935,25.32769816688717,19.342684592550427,20.159181173478153,16.63357881862526,10.365069925273904,11.18156650620163,7.731650812211566,8.762299694137933,5.281351451106361,6.3849661876897565,3.529948390738421,4.6372148277433,-3.7299999999999995,70768534.4030341,24.396330844444147,9.491893694163307,4.762670324162857,202.81959169065055,19.110498592250625,28.56194304295053,11.49902366656781,0.0,5.907179729351506,6.176298517443475,9.361636831863176,4.9839785209472085,13.171245143024459,11.336785877934737,18.19910120538483,6.06636706846161,37.857896662436204,30.81644800948459,32.176371188496425,28.27736704251876,0.0,14.450987899589041,0.0,12.783180481956393,28.314939047909444,64.7959397310911,0.0,22.24961747653958,14.210588861400147,13.171245143024459,17.248535499851716,11.336785877934737,48.67310667685,12.783180481956393,0.0,20.79858736116711,48.79188955399581,0.0,16.03448341192039,0.0,65.82000000000001,11.73975000914047,17.96578232709628,0.0,28.704172212546624,27.5335070784882,17.403152946396347,37.318606018790376,43.188864893295104,0.0,4.9839785209472085,14.210588861400147,58.4511723531902,1.1492675133324934,18.893198343897296,0.6009503994499037,0.5262289752251531,0.8772375600503901,10.302172799246454,-2.9306413691158997,-0.35192141884557104,6.23233484356958,0.25,35,0,7,0,0,0,2,2,4,7,0,11,7,0,0,0,4,5.403800000000005,125.84450000000001,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
